Metric,10.11,11.12,12.13,13.14,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,0.565,0.928,0.812,,,0.672,0.672,0.768
AR52,,,0.701,0.776,0.804,0.675,0.558,0.807,0.828,0.76
ARGO,,,0.692,0.877,0.771,0.67,0.731,0.814,0.813,0.78
RMSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,2.609,0.379,1.127,,,1.61,1.61,1.372
AR52,,,1.574,0.703,1.102,0.463,1.266,1.019,1.078,1.126
ARGO,,,1.603,0.607,1.287,0.459,1.037,1.015,1.132,1.166
MAPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,0.516,0.996,0.471,,,0.696,0.696,0.661
AR52,,,0.349,1.588,0.647,0.701,0.894,0.811,0.832,0.861
ARGO,,,0.326,2.012,0.769,0.599,0.828,0.931,1.008,1.036
