Metric,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.812,,,0.83,0.83,0.83
AR52,0.804,0.675,0.558,0.751,0.822,0.654
ARGO(gt),0.84,0.691,0.705,0.812,0.855,0.759
"ARGO(gt,ath)",0.76,0.663,0.718,0.772,0.783,0.745
Net,0.881,0.675,0.729,0.834,0.891,0.781
ARGONet,0.808,0.658,0.761,0.809,0.825,0.785
RMSE,0.0,0.0,0.0,0.0,0.0,0.0
GFT,1.127,,,1.052,1.052,1.052
AR52,1.102,0.463,1.266,0.953,1.031,1.11
ARGO(gt),1.021,0.445,1.07,0.851,0.955,0.96
"ARGO(gt,ath)",1.365,0.456,1.07,0.99,1.275,1.03
Net,0.886,0.469,1.121,0.822,0.828,0.971
ARGONet,1.223,0.48,0.963,0.898,1.143,0.931
MAPE,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.471,,,0.477,0.477,0.477
AR52,0.647,0.701,0.894,0.768,0.755,0.831
ARGO(gt),0.609,0.646,0.902,0.796,0.647,0.849
"ARGO(gt,ath)",0.786,0.656,0.796,0.812,0.813,0.804
Net,0.625,0.624,0.947,0.759,0.644,0.853
ARGONet,0.62,0.646,0.783,0.764,0.677,0.773
