Week,NE,athena_flu,athena_ILI,athena_viral,thermoscan,influenza b symptoms,strep,flu fever,flu how long,how long flu,upper respiratory,strep throat,ear thermometer,expectorant,how long contagious,influenza a treatment,rsv in adults,influenza a symptoms,fever cough,oscillococcinum,flu symptoms,cold and flu,acute bronchitis,fever flu,what to eat when you have the flu,tamiflu side effects,symptoms of flu,cold,flu shots,high fever,symptoms of rsv,body temperature,symptoms of bronchitis,robitussin,influenza symptoms,walking pneumonia,clarithromycin,tessalon,symptoms of pneumonia,stomach flu,tussin,how long does the flu last,flu virus,rsv baby,flu shot,rsv infection,symptoms of influenza,symptoms of influenza b,what is influenza,rsv,pneumonia,influenza a incubation period,bronchitis,cough fever,flu and cold,sinus,how to break a fever,what is influenza b,the flu,what is influenza a,flu a,normal body temperature,how long does influenza last,gripe,rsv symptoms,oseltamivir,flu vaccine,cold vs flu,a influenza,human temperature,influenza a,influenza b,flu medicine,cold symptoms,stomach flu symptoms,symptoms of the flu,what is rsv,incubation period for influenza
2009-10-04,6.974096214,,,,333.854521647,0.0,787.164298089,337.172148464,339.352541366,339.352541366,0.0,673.140690435,0.0,0.0,338.380605617,0.0,0.0,0.0,340.883516572,333.050295157,5615.19206509,342.221121678,0.0,337.172148464,0.0,338.431128068,1345.93858979,8201.40522064,1347.0552221,0.0,0.0,334.258093145,0.0,333.854521647,335.020643209,449.188080441,335.222828268,333.150611511,0.0,667.211746259,0.0,0.0,508.463924445,0.0,2586.629381,0.0,0.0,0.0,0.0,0.0,788.355034775,0.0,673.959630598,340.883516572,342.221121678,1838.16738757,0.0,0.0,2246.22380031,0.0,1572.80150843,343.361167813,0.0,0.0,0.0,0.0,1348.64815498,0.0,561.044776695,333.250988315,561.044776695,342.842024832,0.0,1015.29319959,334.437154435,672.769286753,0.0,0.0
2009-10-11,12.5,,,,0.0,0.0,995.441980859,332.618545235,499.826078081,499.826078081,0.0,883.030487636,0.0,0.0,657.428612005,0.0,0.0,496.029212988,0.0,0.0,6295.5499193,660.957087956,0.0,332.618545235,0.0,330.998763435,2316.61974575,6299.36769392,1213.76543873,332.819159557,0.0,661.774017053,0.0,665.820081269,495.233774875,330.300347005,0.0,0.0,655.44959752,327.626175588,0.0,0.0,332.473033925,0.0,1880.30460781,0.0,328.912924919,0.0,0.0,666.04003204,2436.74514312,0.0,1445.05070664,0.0,660.957087956,551.428475406,0.0,0.0,2318.76306007,327.72479876,1326.17593967,331.353642489,0.0,0.0,0.0,0.0,1215.59741345,0.0,772.8838065,0.0,772.8838065,0.0,330.603066712,662.571151733,0.0,331.964062026,0.0,0.0
2009-10-18,12.72836178,,,,342.07533713,0.0,902.513712454,337.631402593,1016.12712169,1016.12712169,0.0,787.887621927,340.232560159,343.006013682,337.868984293,0.0,0.0,0.0,0.0,0.0,7888.19850785,337.499872874,0.0,337.631402593,0.0,508.562555894,2813.7730629,6767.56984876,1576.31358601,509.348840546,0.0,450.153694629,0.0,672.765992076,508.27758608,0.0,340.181452551,0.0,0.0,339.054776272,0.0,0.0,343.006013682,0.0,2934.08141654,0.0,338.345068917,0.0,335.33315909,0.0,1694.75973348,0.0,1020.689266,0.0,337.499872874,1462.53942982,0.0,0.0,2818.61538588,0.0,1352.83472517,336.617088192,0.0,0.0,0.0,336.788276756,1465.66109034,0.0,509.400443412,0.0,509.400443412,338.112210109,684.15067426,342.07533713,342.902355171,502.444519108,0.0,0.0
2009-10-25,9.530791789,,,,0.0,0.0,766.062494727,327.115619905,328.487851928,328.487851928,654.081306617,437.015473087,328.958346886,0.0,491.551191497,0.0,0.0,328.369845336,0.0,328.363126717,3936.49871708,0.0,0.0,327.115619905,327.534523217,492.205736218,1091.91088422,6566.16687387,1473.7646922,0.0,0.0,655.416981018,0.0,327.70082399,491.814350008,0.0,328.97216458,0.0,327.191798085,327.267576139,327.68440844,0.0,329.157233432,0.0,2518.04972294,0.0,328.958346886,0.0,0.0,490.958960285,1206.05487089,0.0,440.168934236,0.0,0.0,872.879151498,0.0,0.0,2295.85715162,327.770056651,1150.23656574,329.569933504,0.0,327.930694397,0.0,327.62934336,2077.92971834,0.0,327.881868162,0.0,327.881868162,656.330396741,328.320362251,328.264132708,658.115520214,326.896942154,0.0,0.0
2009-11-01,6.976744186,,,,0.0,0.0,994.031914035,327.841703677,332.171314836,332.171314836,0.0,494.977146874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2205.27842508,0.0,0.0,327.841703677,0.0,0.0,660.134622089,6181.22085739,440.789427336,494.618357762,0.0,495.924329783,0.0,665.851763809,329.920092392,495.365064492,0.0,0.0,327.053148768,0.0,0.0,0.0,331.767798473,0.0,1104.45348056,0.0,0.0,0.0,0.0,0.0,1990.60259246,0.0,776.240060046,0.0,0.0,1431.29811215,0.0,0.0,1543.48346936,0.0,882.310125247,0.0,0.0,330.318581283,0.0,0.0,2428.38389894,0.0,332.197342738,0.0,332.197342738,0.0,0.0,0.0,0.0,332.424185277,0.0,0.0
2009-11-08,5.429200293,,,,0.0,0.0,1077.34756057,320.25248933,323.198219947,323.198219947,0.0,537.699869295,322.54229569,0.0,323.756076744,0.0,0.0,0.0,0.0,0.0,2689.47009834,0.0,0.0,320.25248933,0.0,0.0,537.212481951,6891.58385493,482.017163189,324.193172034,0.0,323.705516842,322.251017278,0.0,324.486471044,324.682298727,0.0,322.221405087,0.0,321.102857209,0.0,0.0,484.842495401,0.0,2154.43429464,0.0,0.0,0.0,0.0,0.0,863.273476834,0.0,541.128979565,0.0,0.0,644.319590792,0.0,0.0,967.615617824,0.0,647.805470286,324.682298727,0.0,0.0,0.0,0.0,968.682236216,641.859111806,322.502386795,0.0,322.502386795,642.635476018,0.0,321.684009759,322.445144397,320.910497045,0.0,0.0
2009-11-15,2.641056423,,,,323.630430789,0.0,1400.7665392,322.559451626,323.435178644,323.435178644,0.0,967.764557389,320.684804706,324.708975422,0.0,0.0,0.0,0.0,0.0,0.0,1506.45086568,319.911604453,0.0,322.559451626,0.0,0.0,809.103240781,5275.49787469,752.138313091,0.0,0.0,486.254624946,0.0,319.815216504,323.245443382,483.95206684,325.199768916,0.0,323.728145292,319.430244832,0.0,0.0,0.0,0.0,1077.37736905,0.0,0.0,0.0,0.0,430.015611596,1402.13537489,0.0,979.166773704,0.0,319.911604453,967.147640341,0.0,0.0,969.262449613,0.0,649.22198888,323.337640894,0.0,0.0,0.0,0.0,1721.68363265,0.0,320.491154461,320.491154461,320.491154461,0.0,0.0,320.00805052,0.0,0.0,0.0,0.0
2009-11-22,4.069264069,,,,391.603261996,0.0,779.545507784,0.0,388.319716739,388.319716739,0.0,518.104177126,0.0,0.0,386.215002827,0.0,0.0,0.0,0.0,0.0,1425.84045754,387.483568983,0.0,0.0,0.0,0.0,0.0,7391.79890411,580.272836887,0.0,387.147607724,0.0,386.900360721,385.86643333,391.721357069,0.0,0.0,392.431425994,0.0,582.752704527,0.0,0.0,0.0,0.0,519.159791523,0.0,0.0,0.0,0.0,0.0,776.269728277,0.0,779.928196098,0.0,387.483568983,647.083878743,0.0,0.0,969.932107364,0.0,1177.29427798,0.0,0.0,0.0,0.0,387.133433227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,774.967137965,392.550021166,0.0,0.0,0.0
2009-11-29,3.795483061,,,,0.0,0.0,834.326974657,311.149230477,312.562260589,312.562260589,311.149230477,520.893190004,0.0,0.0,313.173730477,0.0,0.0,0.0,0.0,311.149230477,520.923804544,0.0,0.0,311.149230477,0.0,0.0,312.685526314,6981.78150044,312.984730036,311.336895876,0.0,310.868156195,0.0,313.25181462,310.214286876,0.0,0.0,0.0,0.0,415.734946823,0.0,0.0,313.552416971,0.0,469.358475512,0.0,0.0,0.0,0.0,312.244714707,1566.74188104,0.0,470.224237633,0.0,0.0,1144.83970021,0.0,0.0,417.024597955,0.0,0.0,0.0,0.0,312.70165672,0.0,0.0,520.986187143,313.725290761,0.0,0.0,0.0,0.0,0.0,312.111846645,313.457659516,0.0,0.0,0.0
2009-12-06,4.966887417,,,,0.0,0.0,540.728818064,0.0,0.0,0.0,325.243341546,487.072822549,0.0,0.0,324.949535456,0.0,0.0,0.0,0.0,323.731715271,756.459401715,0.0,0.0,0.0,0.0,0.0,325.243341546,8648.00659294,809.383271428,0.0,0.0,323.192068254,0.0,323.119875541,0.0,323.968775711,322.218304867,0.0,322.899321816,323.304256149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,866.383324951,0.0,651.106577688,0.0,0.0,1618.18091587,0.0,0.0,487.859426347,0.0,324.01696205,323.927087459,0.0,0.0,0.0,0.0,647.215296493,0.0,0.0,0.0,0.0,0.0,0.0,325.635910455,323.266731219,0.0,0.0,0.0
