Metric,10.11,11.12,12.13,13.14,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.871,0.41,0.791,0.589,0.796,0.883,0.874,0.691
ARGO,,,0.918,0.691,0.788,0.574,0.875,0.882,0.868,0.799
ARGO_top10,,,0.9,0.698,0.802,0.638,0.868,0.879,0.864,0.8
ARGO_all_weighted1,,,0.901,0.653,0.765,0.585,0.908,0.87,0.851,0.773
ARGO_all_weighted2,,,0.907,0.674,0.764,0.677,0.894,0.885,0.868,0.782
ARGO_all_weighted_more_ar,,,0.911,0.701,0.788,0.671,0.897,0.895,0.879,0.8
ARGO_top10_weighted1,,,0.899,0.663,0.774,0.63,0.894,0.871,0.852,0.779
ARGO_top10_weighted2,,,0.9,0.668,0.765,0.67,0.896,0.884,0.867,0.778
ARGO_top10_weighted_more_ar,,,0.902,0.694,0.788,0.666,0.902,0.894,0.879,0.795
ARGO_obs_weight,,,0.915,0.576,0.789,0.595,0.891,0.885,0.871,0.76
ARGO_top10_obs,,,0.893,0.656,0.792,0.679,0.893,0.884,0.867,0.78
ARGO_top10_weighted2_obs,,,0.893,0.654,0.766,0.683,0.896,0.884,0.867,0.771
GFT,,,0.917,0.795,0.819,,,0.764,0.764,0.844
RMSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,1.383,0.904,0.801,0.316,0.606,0.844,1.018,1.029
ARGO,,,1.166,1.159,0.951,0.379,0.494,0.863,1.047,1.092
ARGO_top10,,,1.262,1.058,0.999,0.366,0.555,0.871,1.057,1.106
ARGO_all_weighted1,,,1.482,1.361,0.987,0.388,0.439,0.948,1.168,1.277
ARGO_all_weighted2,,,1.345,1.111,0.945,0.304,0.492,0.871,1.07,1.134
ARGO_all_weighted_more_ar,,,1.289,1.115,0.828,0.31,0.464,0.837,1.027,1.077
ARGO_top10_weighted1,,,1.404,1.304,1.084,0.378,0.496,0.932,1.144,1.264
ARGO_top10_weighted2,,,1.368,1.108,0.944,0.309,0.502,0.872,1.069,1.14
ARGO_top10_weighted_more_ar,,,1.32,1.066,0.828,0.313,0.464,0.832,1.021,1.071
ARGO_obs_weight,,,1.189,1.105,0.955,0.384,0.457,0.857,1.044,1.083
ARGO_top10_obs,,,1.309,0.982,1.009,0.34,0.491,0.862,1.055,1.1
ARGO_top10_weighted2_obs,,,1.429,1.016,0.955,0.298,0.505,0.876,1.076,1.134
GFT,,,2.672,2.397,2.781,,,2.25,2.25,2.617
MAPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.218,1.034,0.366,0.518,0.411,0.558,0.606,0.539
ARGO,,,0.186,1.402,0.424,0.566,0.431,0.631,0.686,0.671
ARGO_top10,,,0.178,1.251,0.375,0.589,0.429,0.575,0.625,0.601
ARGO_all_weighted1,,,0.2,1.7,0.444,0.67,0.4,0.676,0.747,0.782
ARGO_all_weighted2,,,0.19,1.298,0.384,0.502,0.385,0.563,0.628,0.624
ARGO_all_weighted_more_ar,,,0.185,1.304,0.375,0.52,0.372,0.567,0.632,0.621
ARGO_top10_weighted1,,,0.188,1.511,0.422,0.658,0.411,0.619,0.677,0.707
ARGO_top10_weighted2,,,0.19,1.277,0.378,0.518,0.396,0.561,0.618,0.615
ARGO_top10_weighted_more_ar,,,0.184,1.248,0.375,0.53,0.381,0.564,0.621,0.602
ARGO_obs_weight,,,0.187,1.323,0.42,0.562,0.409,0.626,0.687,0.644
ARGO_top10_obs,,,0.187,1.155,0.386,0.537,0.392,0.545,0.6,0.576
ARGO_top10_weighted2_obs,,,0.191,1.164,0.374,0.486,0.379,0.539,0.596,0.576
GFT,,,0.32,2.003,1.574,,,1.157,1.157,1.299
