Metric,10.11,11.12,12.13,13.14,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,0.917,0.795,0.819,,,0.764,0.764,0.844
AR52,,,0.871,0.41,0.791,0.589,0.796,0.883,0.874,0.691
ARGO,,,0.9,0.698,0.802,0.638,0.868,0.879,0.864,0.8
RMSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,2.672,2.397,2.781,,,2.25,2.25,2.617
AR52,,,1.383,0.904,0.801,0.316,0.606,0.844,1.018,1.029
ARGO,,,1.262,1.058,0.999,0.366,0.555,0.871,1.057,1.106
MAPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,0.32,2.003,1.574,,,1.157,1.157,1.299
AR52,,,0.218,1.034,0.366,0.518,0.411,0.558,0.606,0.539
ARGO,,,0.178,1.251,0.375,0.589,0.429,0.575,0.625,0.601
