Metric,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.819,,,0.847,0.847,0.847
AR52,0.791,0.589,0.796,0.828,0.818,0.812
ARGO(gt),0.823,0.587,0.883,0.859,0.845,0.871
"ARGO(gt,ath)",0.809,0.622,0.874,0.856,0.833,0.865
Net,0.823,0.742,0.829,0.846,0.845,0.838
ARGONet,0.861,0.68,0.863,0.878,0.877,0.871
RMSE,0.0,0.0,0.0,0.0,0.0,0.0
GFT,2.781,,,2.409,2.409,2.409
AR52,0.801,0.316,0.606,0.543,0.718,0.574
ARGO(gt),0.889,0.471,0.485,0.579,0.783,0.532
"ARGO(gt,ath)",0.889,0.398,0.501,0.56,0.781,0.531
Net,1.006,0.516,0.581,0.643,0.878,0.612
ARGONet,0.778,0.376,0.501,0.515,0.689,0.508
MAPE,0.0,0.0,0.0,0.0,0.0,0.0
GFT,1.574,,,1.428,1.428,1.428
AR52,0.366,0.518,0.411,0.471,0.451,0.441
ARGO(gt),0.421,0.73,0.403,0.535,0.427,0.469
"ARGO(gt,ath)",0.384,0.635,0.44,0.492,0.398,0.466
Net,0.465,0.825,0.487,0.572,0.463,0.53
ARGONet,0.385,0.623,0.439,0.492,0.4,0.466
