Week,NH,athena_flu,athena_ILI,athena_viral,strep,flu fever,flu how long,how long flu,upper respiratory,strep throat,expectorant,fever cough,oscillococcinum,flu symptoms,cold and flu,acute bronchitis,fever flu,tamiflu side effects,symptoms of flu,cold,flu shots,high fever,body temperature,symptoms of bronchitis,robitussin,walking pneumonia,clarithromycin,tessalon,symptoms of pneumonia,stomach flu,how long does the flu last,flu virus,rsv baby,flu shot,rsv,tussionex,pneumonia,bronchitis,cough fever,flu and cold,sinus,the flu,normal body temperature,gripe,rsv symptoms,oseltamivir,flu vaccine,human temperature,influenza a,influenza b,flu vs cold,flu medicine,cold symptoms,symptoms of the flu,what is rsv
2009-10-04,1.009708738,0.0,0.0,0.0111731843575,628.469890589,376.892284145,757.241039696,757.241039696,0.0,629.228501893,0.0,0.0,0.0,3403.00479508,0.0,0.0,376.892284145,0.0,1006.12770878,6424.38885034,2009.4144585,0.0,567.533270209,0.0,0.0,374.957284617,0.0,0.0,0.0,376.330787208,0.0,754.966913362,0.0,2639.51836274,761.366024682,0.0,628.583140661,755.264535259,0.0,0.0,1257.73651067,2144.0533132,378.619068298,0.0,0.0,0.0,2266.33287414,0.0,0.0,0.0,0.0,0.0,379.651975666,0.0,0.0
2009-10-11,1.192250373,0.0,0.00480769230769,0.00480769230769,895.885763352,383.216370112,767.126553809,767.126553809,387.757646407,1155.84236493,0.0,0.0,0.0,1925.47577436,385.191260059,0.0,383.216370112,0.0,768.640097867,10133.9740264,2174.31526918,0.0,384.100886966,0.0,383.216370112,382.791162529,0.0,0.0,764.272944162,382.481672146,0.0,576.585557032,0.0,3068.90172018,384.95720765,0.0,1408.29761852,383.542422721,0.0,385.191260059,1537.32129971,2316.01373928,383.752759274,0.0,0.0,0.0,1924.38716145,0.0,0.0,0.0,0.0,0.0,387.757646407,0.0,0.0
2009-10-18,1.26889345,0.00490196078431,0.00980392156863,0.0294117647059,616.917920148,370.313814182,740.666370761,740.666370761,376.212508258,557.387553566,0.0,367.73146279,369.78072515,4209.41132312,0.0,368.064452343,370.313814182,552.54734051,988.53419143,8040.16607466,1974.23895343,0.0,372.546891706,0.0,367.620600124,368.777098333,0.0,0.0,370.808764524,0.0,752.652541468,493.392841845,0.0,4071.05378092,373.024820239,0.0,1481.55331046,1105.19413651,367.73146279,0.0,1117.50014091,1486.70852046,0.0,374.965645471,0.0,0.0,2720.83078541,368.777098333,374.514287486,0.0,0.0,368.843778164,1303.09878657,0.0,0.0
2009-10-25,4.229195089,0.00392156862745,0.0078431372549,0.0196078431373,495.961018442,496.109728419,868.79217098,868.79217098,0.0,745.626114052,368.509372006,0.0,0.0,8337.26909822,557.920026486,0.0,496.109728419,369.733655634,2358.01845951,7834.05778111,2107.5333263,371.056894647,496.822992634,374.60948124,0.0,0.0,0.0,0.0,0.0,0.0,369.398954075,619.988370933,0.0,4338.66139544,0.0,0.0,1364.52640606,739.69071529,0.0,557.920026486,1737.54632635,3607.89891716,372.505105047,369.845357645,376.879841733,371.497426675,2484.22003326,374.271284297,373.498127166,0.0,369.622021076,374.310096471,748.620192941,370.274779646,0.0
2009-11-01,5.269781343,0.00606060606061,0.00606060606061,0.0242424242424,1284.14888094,727.727651238,1951.20236011,1951.20236011,735.612091975,732.266330765,365.807856075,0.0,366.690916681,8924.3547956,732.071239547,0.0,727.727651238,734.046329133,1950.61080637,9162.57046346,852.527292378,365.055448857,977.941842736,366.476626544,0.0,547.441727621,0.0,0.0,0.0,366.469752075,364.083218942,1461.91121549,0.0,3410.89303948,0.0,0.0,1706.44916322,913.546421929,0.0,732.071239547,1586.11733224,3425.69868285,366.805538342,0.0,0.0,0.0,2320.55644647,0.0,0.0,0.0,487.625443086,367.361835787,1101.55717047,365.477803874,0.0
2009-11-08,4.193927193,0.0322580645161,0.0322580645161,0.0537634408602,855.626331307,611.118807573,978.138634363,978.138634363,0.0,611.930765938,366.496735524,366.227410992,367.22525736,5517.4489737,0.0,0.0,611.118807573,735.115978793,1344.93356812,7593.85592225,977.142672108,367.557989397,734.888428126,0.0,366.25345852,366.496735524,0.0,0.0,0.0,0.0,367.22525736,610.60434545,0.0,1833.21639749,0.0,0.0,2567.06066803,856.54827216,366.227410992,0.0,1100.13285925,2820.25708102,366.275821277,367.16108006,0.0,0.0,2204.76959469,0.0,732.675241731,366.782550601,366.861011715,0.0,0.0,732.33092799,0.0
2009-11-15,3.839832661,0.0604651162791,0.0604651162791,0.0697674418605,1080.00618407,0.0,359.949920785,359.949920785,360.561771364,722.485184357,0.0,0.0,0.0,4694.69240976,358.826215305,0.0,0.0,360.276060852,1081.19936182,6858.61182611,540.557747306,360.208849525,360.920979076,0.0,359.87535475,359.191218753,0.0,0.0,0.0,360.990537695,0.0,361.708939368,0.0,1561.34133607,0.0,360.500775887,1320.79767006,902.123158744,0.0,358.826215305,1922.58621239,1084.17960533,360.343909267,0.0,0.0,0.0,2044.45099081,0.0,360.317689548,360.452807396,360.167281848,361.680065004,481.881678592,360.100532399,0.0
2009-11-22,2.775897089,0.0128205128205,0.0192307692308,0.025641025641,612.729155764,410.679452089,407.424825527,407.424825527,412.045073,410.008197955,0.0,0.0,408.040829194,3419.9179563,410.061703214,0.0,410.679452089,410.751190763,613.102936397,6559.9399968,408.489398392,406.565538459,612.915167548,0.0,611.744715107,410.803225281,0.0,0.0,409.63770862,0.0,0.0,0.0,0.0,821.36771008,411.870742767,0.0,1364.38372948,408.773482644,0.0,410.061703214,1364.92143306,1094.56961532,0.0,0.0,0.0,0.0,683.34611633,0.0,0.0,0.0,410.432129323,408.658698408,411.37241156,0.0,0.0
2009-11-29,1.022676745,0.00531914893617,0.00531914893617,0.00531914893617,889.935317152,0.0,356.837303291,356.837303291,0.0,538.606691158,354.867353254,0.0,0.0,1432.91556344,0.0,0.0,0.0,355.617374834,354.97430544,8116.71947807,356.978166862,0.0,596.438856594,0.0,355.617374834,0.0,0.0,711.234749668,354.333557596,718.087509114,0.0,358.015953059,0.0,714.567695919,0.0,0.0,1190.78780065,834.745381035,0.0,0.0,1310.93175325,716.583096801,355.832249381,358.664924575,0.0,0.0,1435.41627227,358.935511037,0.0,0.0,357.800150797,0.0,359.533888656,358.0719068,0.0
2009-12-06,0.701334246,0.00515463917526,0.00515463917526,0.0103092783505,878.146387691,351.436548878,351.01351361,351.01351361,352.214928393,469.130451801,0.0,350.907913877,0.0,703.947818021,0.0,0.0,351.436548878,0.0,0.0,8922.19949756,350.675049151,0.0,527.471499193,0.0,352.185512621,0.0,0.0,0.0,0.0,352.394473225,0.0,350.200221003,0.0,351.705609886,0.0,0.0,937.411412802,1056.86239612,350.907913877,0.0,937.942937269,939.607160428,352.822376116,351.436548878,0.0,0.0,821.402987026,0.0,351.01351361,0.0,351.224903862,0.0,709.063987857,0.0,0.0
