Metric,10.11,11.12,12.13,13.14,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,0.915,0.775,0.898,,,0.873,0.873,0.863
AR52,,,0.859,0.672,0.846,0.809,0.706,0.843,0.857,0.793
ARGO,,,0.886,0.779,0.908,0.864,0.791,0.88,0.898,0.858
RMSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,0.511,0.197,0.299,,,0.313,0.313,0.336
AR52,,,0.46,0.213,0.29,0.201,0.32,0.272,0.295,0.321
ARGO,,,0.436,0.168,0.227,0.186,0.278,0.244,0.262,0.277
MAPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,0.624,0.388,0.616,,,0.618,0.618,0.542
AR52,,,0.666,0.685,0.584,0.316,0.338,0.587,0.757,0.645
ARGO,,,0.471,0.547,0.826,0.32,0.294,0.539,0.674,0.614
