Metric,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.898,,,0.91,0.91,0.91
AR52,0.846,0.809,0.706,0.825,0.866,0.765
ARGO(gt),0.913,0.87,0.704,0.849,0.921,0.777
"ARGO(gt,ath)",0.908,0.864,0.791,0.874,0.919,0.832
Net,0.883,0.91,0.804,0.875,0.897,0.84
ARGONet,0.887,0.894,0.813,0.877,0.901,0.845
RMSE,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.299,,,0.274,0.274,0.274
AR52,0.29,0.201,0.32,0.245,0.265,0.283
ARGO(gt),0.241,0.175,0.324,0.231,0.22,0.277
"ARGO(gt,ath)",0.227,0.186,0.278,0.214,0.207,0.246
Net,0.251,0.166,0.272,0.213,0.23,0.243
ARGONet,0.247,0.172,0.266,0.212,0.226,0.239
MAPE,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.616,,,0.734,0.734,0.734
AR52,0.584,0.316,0.338,0.432,0.627,0.385
ARGO(gt),0.941,0.332,0.343,0.556,0.923,0.449
"ARGO(gt,ath)",0.826,0.32,0.294,0.49,0.812,0.392
Net,0.691,0.265,0.287,0.413,0.652,0.35
ARGONet,0.623,0.282,0.279,0.422,0.61,0.351
