Week,NJ,athena_flu,athena_ILI,athena_viral,thermoscan,how long is the flu contagious,how contagious is the flu,influenza b symptoms,sinus infection cure,robitussin cough,strep,signs of flu,flu fever,flu how long,how to reduce fever,braun thermoscan,sinus infections,how long flu,upper respiratory,strep throat,intestinal flu,ear thermometer,how long does flu last,cold or flu,the flu symptoms,expectorant,how long contagious,how to get rid of the flu,treat flu,tylenol sinus,flu in children,contagious flu,flu care,flu or cold,rsv in adults,influenza a symptoms,fever cough,oscillococcinum,flu symptoms,flu incubation,cold and flu,acute bronchitis,fever flu,what to eat when you have the flu,type a flu,tamiflu side effects,flu shot symptoms,symptoms of flu,cold,type b flu,medicine for flu,flu children,treatment for flu,cough and fever,flu shots,high fever,flu cold,flu remedies,dangerous fever,do i have the flu,flu treatment,body temperature,biaxin side effects,flu incubation period,flu test,symptoms of bronchitis,robitussin,influenza symptoms,tamiflu dosage,walking pneumonia,how to treat the flu,incubation period for flu,clarithromycin,the flu virus,tessalon,symptoms of pneumonia,stomach flu,tussin,how long does the flu last,treating the flu,flu virus,rsv baby,flu shot,chest cold,remedies for flu,rsv infection,flu like symptoms,flu contagious,flu while pregnant,is the flu contagious,flu contagious period,flu cough,what is influenza,rsv,tussionex,pneumonia,signs of the flu,tamiflu generic,how long are you contagious with the flu,flu a symptoms,fever reducer,bronchitis,cough fever,flu and cold,sinus,how to break a fever,the flu,flu a,normal body temperature,gripe,flu duration,rsv symptoms,flu symptoms in toddlers,oseltamivir,how long is flu contagious,home remedies for flu,flu vaccine,cold vs flu,a influenza,human temperature,influenza a,influenza b,flu vs cold,cure flu,normal body,flu medicine,cold symptoms,tamiflu wiki,stomach flu symptoms,symptoms of the flu,early flu symptoms,flu headache,flu type b,flu type a,what is rsv,is flu contagious
2009-10-04,3.1510286,0.00252823192314,0.00286532951289,0.032698466206,43.9605817336,0.0,43.9085651959,0.0,43.5218662444,0.0,802.434259826,146.347147622,116.956856669,190.045877197,43.7192144892,43.8148853193,109.688889485,190.045877197,73.2351713796,497.262477285,0.0,43.9085651959,43.7212816389,0.0,145.832257345,65.7925184004,116.601072799,0.0,0.0,72.7255022438,197.517424324,43.8816514758,73.2796369571,0.0,0.0,0.0,131.399532436,44.0271281788,3473.47984873,109.341290065,87.59695514,0.0,116.956856669,0.0,43.8650778072,73.0324239918,73.0324239918,730.441517872,5964.4392222,0.0,0.0,189.566518595,43.6664135055,0.0,1773.41081845,73.2976129257,248.306058641,43.7260177065,44.0671528408,0.0,131.811236022,335.454954015,0.0,174.981827687,65.5282647336,43.6005913567,73.2441330029,0.0,0.0,117.062130229,0.0,87.2801216236,65.6138981129,66.0378082359,87.4120045514,87.8921311111,87.6852456914,43.7456628948,0.0,43.6796017911,131.698096704,0.0,2808.03107982,65.9454437013,0.0,0.0,43.7804525432,43.8816514758,0.0,0.0,87.7906953737,0.0,43.7540706578,87.4817122268,43.8155147389,850.111549125,43.886048314,0.0,43.8030474664,87.9450115153,44.0138027769,542.272445761,131.399532436,87.59695514,1052.38244506,0.0,1652.44047597,687.594493272,87.9916793129,160.726800741,131.675109132,0.0,0.0,0.0,87.9477498486,0.0,2201.96976155,65.8856291936,160.788085069,43.9482655261,160.788085069,43.8425571304,65.8856291936,65.5126492129,175.031447823,110.079323823,146.701902634,0.0,58.4721985273,161.24566762,43.9667819985,43.6796017911,0.0,43.8650778072,0.0,0.0
2009-10-11,4.259494401,0.00190674293638,0.0027734442711,0.033974692321,0.0,0.0,0.0,0.0,86.3884314415,86.3884314415,577.999188907,144.888960931,260.250743786,202.756357002,0.0,0.0,87.0256039517,202.756357002,86.7585505305,419.917066289,0.0,43.4762104196,86.6491873468,86.1638716308,346.608625577,43.2621752996,129.768423924,43.4172491681,86.5638100276,43.5760615139,187.670497648,57.7807759683,87.2554831536,86.1638716308,0.0,0.0,173.316040008,131.163549371,3495.60853936,245.947297888,129.71938068,43.2506809692,260.250743786,0.0,43.6409341204,65.0693454856,57.9423989743,867.86843412,6956.98418237,0.0,86.2933634728,288.660989219,43.2890518312,129.362280087,2438.78373254,129.960936415,129.933041654,86.942244345,43.3923887699,43.5443233152,173.373666499,274.772786423,0.0,144.469706718,151.382753939,64.8857691622,87.121784058,0.0,43.7079503199,115.831974698,43.3159354668,57.8459458433,65.1519812727,58.0826361066,43.4893273846,72.4528908444,115.784143625,0.0,86.7015275385,0.0,188.080506941,0.0,3011.40729425,87.6014970318,0.0,0.0,43.3507637693,57.7807759683,87.4159006398,43.3245936734,43.5156088975,65.0640843439,43.4893432575,101.116259252,86.6496309932,1117.60657013,108.497524118,43.3420924326,0.0,72.6110943242,0.0,623.94515936,173.316040008,129.71938068,1143.26382061,0.0,1809.48087656,897.464712097,65.5077110839,130.095014953,43.8672745617,43.0560918227,0.0,43.2360148833,0.0,43.4163275378,2050.56201625,43.4722407023,86.8674465762,72.3525250589,86.8674465762,43.2072181939,43.4722407023,64.6780305313,144.364822241,43.5744926655,217.847060269,0.0,72.2917143838,188.949531466,43.814037578,43.5892145659,0.0,43.6409341204,0.0,43.4041598176
2009-10-18,7.119275375,0.0087370929309,0.0101667990469,0.0484511517077,42.209099229,0.0,42.4861463344,0.0,0.0,42.6129094432,592.488775788,198.389252009,283.404080997,283.159423031,0.0,84.4406751291,85.0537439098,283.159423031,85.4062728283,481.008404302,0.0,42.3963137793,113.11446234,84.8183049746,550.83274011,56.557108638,126.843031061,0.0,63.7600691339,105.921983868,254.164525243,197.718434515,226.637702566,84.8183049746,0.0,42.6773183148,84.8903695315,113.3526794,5222.55331197,240.436452725,127.283895909,42.7031364142,283.404080997,0.0,70.9081380448,85.0795483914,113.084069718,1439.77586107,6968.65840394,0.0,0.0,423.354290942,70.5491038459,42.6129094432,2296.4573715,141.674561844,353.298879816,42.2026707173,42.7807784804,42.5223512637,268.324120373,367.322130625,42.7031364142,140.992281289,169.320561858,42.0930528568,155.79800072,63.732737945,63.7516609746,169.326670299,42.9369127084,70.6637270749,70.663729647,127.584115169,42.6257756598,127.605589744,212.094557856,0.0,113.074932882,0.0,127.229517323,0.0,4229.72850873,63.9711896081,85.170607855,0.0,42.4347569066,197.718434515,42.2842690266,63.4381146751,42.4347336465,112.917780516,84.6648891601,84.749862325,63.5721931089,1134.49992913,42.275163507,0.0,0.0,255.383908243,0.0,581.343136612,84.8903695315,127.283895909,1173.98639523,0.0,2857.89883639,1444.82342383,85.1739081344,169.586114431,42.5784960092,42.2458869367,0.0,84.5503270141,84.2114935621,42.5204034402,2977.57941102,0.0,240.411256959,70.8050959733,240.411256959,84.7028531602,0.0,63.4634970068,112.845144064,141.765213369,297.778569672,42.1693314183,63.610660127,297.625189431,42.4589494055,0.0,0.0,70.9081380448,0.0,42.355699563
2009-10-25,11.7131178,0.010281124498,0.0136546184739,0.0578313253012,128.019935699,63.7808089124,42.8542953492,0.0,0.0,42.3482672966,720.617331716,254.746328158,283.61797529,637.205047389,42.2806485184,85.5530867539,142.031279925,637.205047389,127.857409502,722.325686971,0.0,70.6894760276,240.81788261,98.8018528204,706.299575116,42.3860997022,155.513897292,42.0526522112,70.9385431859,42.4649829543,409.539277442,155.598674978,156.112514546,98.8018528204,0.0,56.7003330759,56.6488009718,84.7690046106,6909.33553365,311.269937258,113.126986053,84.9819007041,283.61797529,42.5145813624,56.6666032137,141.742561578,212.97338737,1740.34172998,6424.16908895,42.3221496423,0.0,522.136791528,105.51213012,85.2951636706,2342.46062428,141.734169118,381.939046544,98.8774895728,63.8652238278,63.986792437,183.962487342,452.501698267,0.0,282.30359646,226.06620007,147.876480161,99.3221328509,63.9887882228,99.3519881009,113.361971358,85.7345629986,85.0292866805,99.0264658751,192.234630304,84.4341371916,84.9947854107,155.825081994,42.3604965009,84.8835807108,0.0,339.528816793,0.0,3753.19672007,42.3724429184,42.2043755505,0.0,42.4245625876,155.598674978,0.0,42.2043755505,42.5740475915,169.584311015,42.2170685958,70.6767359231,42.2456638297,1249.42911877,42.625629068,42.373294234,0.0,241.429684879,42.267917218,752.319702417,56.6488009718,113.126986053,1288.04055678,0.0,3200.82780699,1274.99481726,56.7051644289,184.052226357,56.7651668229,42.8024293336,128.135895786,56.5045007197,106.367790538,63.4267191006,3996.3263724,99.2157650408,297.478723933,42.6064321634,297.478723933,42.347706496,99.2157650408,42.1998396177,211.76215715,99.2754619176,326.610212888,0.0,42.4759551528,312.625034333,42.7874973262,42.5290598068,42.3221496423,56.6666032137,0.0,113.143997191
2009-11-01,13.10608032,0.0147835269271,0.0184039825011,0.0725599637954,42.8044707233,42.8044707233,64.0178662129,0.0,0.0,42.7398699525,736.529421081,170.425916291,312.78393525,539.386522403,0.0,42.4466275157,99.5772908346,539.386522403,99.5293961453,539.675903289,0.0,42.5733073716,85.0144708592,84.7998076895,453.541177188,85.5830699019,184.116231777,0.0,85.1094971806,42.7269731903,368.243465153,212.709078579,85.3136300783,84.7998076895,0.0,42.5788063926,85.2016017783,149.312482554,5554.13726495,482.633075164,184.456767605,63.7333702712,312.78393525,0.0,85.4951278782,127.931932438,85.2279532363,1446.49136145,7178.86244635,42.5760002489,42.480883314,524.132552526,42.4771019741,42.4381134307,2006.48424034,113.655382532,425.572699867,106.30509514,0.0,85.3850852214,169.870034073,311.526007043,42.8303657449,339.624228496,155.849311986,42.3186605952,113.883356694,70.9309091959,99.6154288704,71.0243803194,85.073331633,170.223295819,42.3569695819,149.280389699,63.8695799174,42.5237798226,85.1932007484,106.580831023,70.8915435916,42.7398699525,212.855067498,0.0,3323.08234401,0.0,85.4231401922,42.4508652677,85.0294791518,212.709078579,0.0,70.8318412729,84.867592016,155.956600359,42.8044707233,141.637968362,99.2167296713,1195.84494239,85.1816800547,42.7786069948,0.0,199.44715725,0.0,669.036323153,85.2016017783,184.456767605,1036.01393107,0.0,2485.18801931,1123.60324926,71.025066287,85.1395426123,56.9206104144,42.3744689894,42.714084209,63.5486995546,85.4347752132,42.5275375108,3171.69686038,42.5275375108,142.079507583,42.5641359941,142.079507583,0.0,42.5275375108,84.7308221214,141.61686311,85.37041636,370.07598612,42.4891668002,85.7644997897,199.603734214,85.5386861013,84.9352249906,42.5760002489,85.4951278782,42.4763919455,113.385439569
2009-11-08,10.14095852,0.0119431891543,0.0148482892189,0.0669786959329,82.6462534757,41.498230955,41.4983838643,0.0,0.0,41.2431671238,718.162402809,110.740720309,124.623566375,401.267062341,0.0,41.4230919673,207.916767857,401.267062341,110.869887677,553.603576645,41.3355959976,41.5219126739,103.803055107,123.751119622,359.087381464,83.0210312858,165.584248854,41.6718511714,41.5995594284,68.9675750681,151.784217668,221.021579288,110.895345006,123.751119622,0.0,0.0,83.0204786945,41.6358616412,4306.62955321,318.191664407,69.071224682,41.5532935846,124.623566375,0.0,41.8107152619,124.581770511,55.3849224137,911.61463716,6803.69387204,41.6467021966,41.710987425,289.989466888,41.4106210845,41.4730246576,1650.4196713,152.28462887,234.625673766,165.150187475,0.0,0.0,152.046748576,427.945762162,41.2733248376,248.453812202,207.071911678,82.9455679907,291.1208879,41.6479318115,41.5772922326,69.1046945786,0.0,110.589624573,41.4619135826,104.108301589,82.6356021106,124.710130618,165.498186064,41.4356216382,41.5291026813,41.3994709417,234.992820968,0.0,3307.06782129,62.0331907419,123.974362772,0.0,41.4937233971,221.021579288,41.6987975395,41.3364497062,55.2929529453,138.259551725,82.6744321963,82.8580703673,82.9688423972,1123.85930673,41.7222403506,41.6970305377,41.2875468688,221.925494299,82.6711919951,637.865087504,83.0204786945,69.071224682,1244.86080808,0.0,2186.50746775,802.9384653,55.4104178323,144.900204095,82.8988199797,0.0,41.3605571063,0.0,82.9749349074,82.7490930321,2994.46128137,55.4478741091,124.665389623,83.1298268863,124.665389623,41.3247875906,55.4478741091,41.2432416446,151.854779696,97.2099732742,249.466127507,0.0,82.4759937151,97.1184862087,166.551893355,41.6592728885,41.6467021966,41.8107152619,0.0,193.322747082
2009-11-15,6.810035842,0.0112863070539,0.0144398340249,0.0658921161826,41.8503655499,0.0,0.0,0.0,41.8248422467,41.9053995356,600.532692456,55.9886990816,154.084049005,266.089968857,83.8268011877,41.8247178282,168.590326229,266.089968857,147.264583803,448.075198192,42.1005372342,83.9635079104,105.207693017,41.787391372,251.243721459,97.9393149395,139.607732536,41.8374705203,0.0,41.7122792245,153.547932051,69.9379886144,42.0147159357,41.787391372,0.0,42.2279601677,70.0054090279,63.105215756,2724.19706722,139.998457001,83.9002729656,42.0384235401,154.084049005,0.0,63.2327745359,70.0144527278,70.0607330661,545.580015342,5905.55135908,41.8122215942,42.1787776447,390.917787668,62.5990715986,41.8250489791,1445.86534752,147.188682335,265.356393367,62.6742087967,42.2407448968,42.0270413678,83.7197135368,349.363565418,42.0371137071,208.884722745,153.652583988,41.8247026592,126.210000106,42.1282445547,63.1370484967,293.430380688,42.0143597017,41.7870031252,105.130823807,63.2772307763,42.0002502528,70.1071979909,84.0439497584,42.0256549209,41.9812236086,0.0,139.877010893,0.0,2044.30528632,83.8909863729,0.0,0.0,0.0,69.9379886144,42.167046654,0.0,0.0,97.791171931,41.8880599647,111.795445165,84.0140225513,1080.98047457,84.053238274,0.0,41.8250489791,84.2308728836,41.9323025299,561.294465163,70.0054090279,83.9002729656,1259.16457141,42.0278138803,1329.89692295,532.349611773,70.1333244591,167.515894592,0.0,42.2151831752,0.0,0.0,0.0,0.0,1773.38994166,0.0,126.040691255,42.2919613198,126.040691255,41.9991512324,0.0,83.5488105898,97.6984597174,104.998808633,266.363052114,42.1386832963,83.9759025555,140.411544931,70.3161662479,41.8248422467,41.8122215942,63.2327745359,0.0,55.8828915196
2009-11-22,6.471306471,0.00923574232279,0.0124682521358,0.0565689217271,45.5040733257,45.5040733257,45.5040733257,0.0,45.0485287588,45.2414279759,632.29385582,75.4551831158,90.5872380009,196.187256271,0.0,0.0,135.997145811,196.187256271,113.527594038,513.073283129,0.0,67.9781190874,45.6420480781,44.8604009406,120.346982663,0.0,113.144391306,0.0,90.6700551579,45.2550014879,90.3277805037,158.576789336,75.6055839061,44.8604009406,0.0,0.0,45.1176745953,45.2801757609,2408.54768458,75.4047019677,45.0694456621,45.3644123693,90.5872380009,0.0,45.2969429744,67.6659284883,45.2776657343,557.196736701,6033.35478291,0.0,45.5365693221,105.350438952,45.2754891955,0.0,559.82519199,135.88283488,195.98667851,45.1300153951,45.1176745953,0.0,90.6604223717,210.788542882,44.95484389,90.3140461735,75.2818535006,90.2600307903,121.070588212,45.4765784174,45.3350275789,113.272282808,45.5711035793,45.0904542788,45.2822717361,45.5178332511,67.699700802,90.6827347931,90.5640537756,0.0,90.8707965961,0.0,90.8043405187,0.0,1131.34126987,91.0245019502,0.0,44.9143196918,0.0,158.576789336,0.0,45.29866824,113.431508007,90.653449898,60.2411963094,195.609730661,90.2890007632,998.33473154,44.8604009406,0.0,0.0,68.0103200649,0.0,468.883951384,45.1176745953,45.0694456621,1146.18168049,0.0,905.204228956,316.931771121,90.7338502834,75.4052210135,0.0,45.3123042027,0.0,89.7208018812,45.2137788805,0.0,1098.07123268,67.8667206364,67.8457407552,90.295873579,67.8457407552,45.0620894237,67.8667206364,44.8469414744,90.2323918478,60.51035358,151.358323668,45.6697434956,45.1572431571,113.324574418,45.5280599348,45.211797362,0.0,45.2969429744,0.0,90.5100605602
2009-11-29,3.99368033,0.00540084388186,0.00742616033755,0.044388185654,40.0242969463,39.7113769535,39.879798425,0.0,39.9638920309,59.7139802015,613.490034782,80.0803747238,66.8310904416,146.935065621,0.0,40.0340412252,160.881490585,146.935065621,66.9074615965,360.832784828,0.0,120.036604078,0.0,39.7353500154,120.045288404,120.217815309,179.770172371,0.0,39.8677209573,79.3031413259,59.6959363183,53.3799652903,80.3183212836,39.7353500154,0.0,0.0,39.7593520389,40.1428783778,1373.89085662,106.763818879,39.6754715494,0.0,66.8310904416,0.0,0.0,39.8677209573,39.8677209573,293.184780192,7316.06949193,0.0,0.0,79.9477618916,0.0,0.0,374.981979165,121.079272273,213.408095492,39.8556214023,60.5271378996,39.8556508026,66.6982365555,226.927196149,0.0,120.027028363,53.3195594179,120.446342854,147.29047873,80.0002261622,0.0,160.27705123,39.8918832124,0.0,79.446719735,40.0363998483,40.385290878,93.5791806856,160.297261245,0.0,0.0,0.0,120.219196702,39.9281815593,1121.90382039,80.3156653312,40.0123608557,0.0,0.0,53.3799652903,40.0727525116,0.0,0.0,80.7705817559,39.8794091951,173.393459502,119.84501183,843.913400152,80.6008956598,0.0,0.0,40.1957535681,80.1455050233,482.213289069,39.7593520389,39.6754715494,1282.87309293,0.0,801.712227924,387.545916648,60.3467056696,99.7738490518,0.0,39.8556214023,0.0,39.7954094924,39.6994012669,0.0,719.951974771,40.1432176855,39.9338477713,39.9039753261,39.9338477713,0.0,40.1432176855,39.9607761841,242.166081459,60.3954998442,241.344856745,0.0,80.3840314726,120.584433902,0.0,39.7593520389,0.0,0.0,39.9397810855,79.4707000307
2009-12-06,4.279164544,0.00220189701897,0.00423441734417,0.0398035230352,79.1401334928,0.0,0.0,0.0,0.0,39.9615243629,467.760946838,81.1381732089,66.981247654,133.913477244,40.3668608046,79.3315822584,121.030211368,133.913477244,40.4922401247,455.412528885,0.0,40.5077854763,39.916303304,40.2214819541,120.954069284,60.1536807453,80.0794719739,0.0,0.0,40.1491845031,40.075659731,53.4556223153,39.6777892512,40.2214819541,0.0,40.3911928485,158.471484463,40.0608192898,1269.33014101,79.9343645578,66.8516447876,81.0890878047,66.981247654,0.0,0.0,66.9529218982,40.3304176561,267.478755888,8641.08261174,0.0,0.0,66.8479072724,0.0,39.5462077975,375.662558967,120.079639913,106.871227726,59.8832508443,40.4521514854,40.6182612549,161.030913633,213.883834798,0.0,139.716166097,66.8112777913,40.3614158811,134.24570731,0.0,40.4399450426,80.2923389104,0.0,40.4222744696,99.9978398995,0.0,39.9704263995,80.4176735568,80.3933283838,39.6777892512,59.9553890207,0.0,93.769516351,0.0,803.319790375,40.2214338103,0.0,0.0,39.6178711158,53.4556223153,40.5690866045,0.0,0.0,53.5444094774,121.560092631,213.737650977,120.84578708,725.333747144,40.520030877,0.0,0.0,40.5538112327,40.5690866045,469.981936648,158.471484463,66.8516447876,883.761248411,0.0,669.48703989,361.951255337,39.7860998679,59.9802182047,40.7169690587,0.0,0.0,40.520030877,39.5581336744,0.0,801.564544146,0.0,93.809902395,39.7619797709,93.809902395,39.9735719076,0.0,0.0,93.4788129181,40.3911928485,174.488294516,0.0,66.9330281613,40.5293625676,39.8950034259,40.4588777969,0.0,0.0,0.0,39.5939545018
