Metric,10.11,11.12,12.13,13.14,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.896,0.758,0.767,0.897,0.914,0.915,0.869,0.807
ARGO,,,0.903,0.745,0.891,0.926,0.932,0.912,0.887,0.846
ARGO_top10,,,0.905,0.835,0.89,0.924,0.926,0.907,0.891,0.877
ARGO_all_weighted1,,,0.933,0.811,0.897,0.933,0.936,0.911,0.906,0.88
ARGO_all_weighted2,,,0.907,0.783,0.882,0.945,0.937,0.917,0.89,0.857
ARGO_all_weighted_more_ar,,,0.925,0.783,0.883,0.949,0.921,0.922,0.903,0.864
ARGO_top10_weighted1,,,0.938,0.873,0.898,0.934,0.928,0.916,0.911,0.903
ARGO_top10_weighted2,,,0.906,0.836,0.892,0.948,0.94,0.92,0.895,0.878
ARGO_top10_weighted_more_ar,,,0.933,0.847,0.895,0.948,0.907,0.921,0.91,0.892
ARGO_obs_weight,,,0.896,0.75,0.881,0.923,0.928,0.911,0.882,0.842
ARGO_top10_obs,,,0.887,0.833,0.885,0.928,0.93,0.908,0.882,0.868
ARGO_top10_weighted2_obs,,,0.913,0.839,0.885,0.944,0.944,0.925,0.9,0.879
GFT,,,0.841,0.829,0.872,,,0.784,0.784,0.848
RMSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.649,0.486,0.678,0.545,0.669,0.544,0.545,0.604
ARGO,,,0.877,0.542,0.483,0.547,0.627,0.555,0.57,0.634
ARGO_top10,,,0.948,0.423,0.48,0.562,0.692,0.574,0.579,0.617
ARGO_all_weighted1,,,0.915,0.527,0.482,0.613,0.64,0.575,0.582,0.641
ARGO_all_weighted2,,,0.86,0.491,0.499,0.484,0.638,0.547,0.564,0.617
ARGO_all_weighted_more_ar,,,0.747,0.499,0.499,0.502,0.664,0.527,0.523,0.582
ARGO_top10_weighted1,,,0.857,0.432,0.467,0.593,0.707,0.556,0.547,0.585
ARGO_top10_weighted2,,,0.858,0.429,0.477,0.47,0.649,0.537,0.55,0.588
ARGO_top10_weighted_more_ar,,,0.72,0.418,0.472,0.488,0.772,0.529,0.503,0.537
ARGO_obs_weight,,,0.922,0.541,0.502,0.527,0.632,0.564,0.589,0.655
ARGO_top10_obs,,,1.015,0.423,0.489,0.522,0.652,0.577,0.606,0.643
ARGO_top10_weighted2_obs,,,0.817,0.432,0.491,0.463,0.619,0.521,0.539,0.58
GFT,,,7.24,0.801,1.585,,,3.518,3.518,3.209
MAPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.196,0.145,0.196,0.33,0.13,0.279,0.269,0.179
ARGO,,,0.227,0.167,0.164,0.465,0.139,0.291,0.241,0.186
ARGO_top10,,,0.224,0.13,0.161,0.477,0.153,0.315,0.25,0.172
ARGO_all_weighted1,,,0.257,0.167,0.153,0.539,0.141,0.313,0.245,0.192
ARGO_all_weighted2,,,0.216,0.142,0.161,0.406,0.15,0.306,0.26,0.173
ARGO_all_weighted_more_ar,,,0.217,0.146,0.157,0.418,0.143,0.286,0.244,0.173
ARGO_top10_weighted1,,,0.266,0.146,0.155,0.492,0.161,0.301,0.263,0.189
ARGO_top10_weighted2,,,0.217,0.133,0.152,0.387,0.152,0.299,0.257,0.167
ARGO_top10_weighted_more_ar,,,0.206,0.135,0.149,0.394,0.165,0.287,0.256,0.163
ARGO_obs_weight,,,0.232,0.168,0.171,0.423,0.14,0.282,0.246,0.19
ARGO_top10_obs,,,0.236,0.133,0.161,0.419,0.149,0.296,0.255,0.177
ARGO_top10_weighted2_obs,,,0.207,0.139,0.155,0.368,0.145,0.283,0.256,0.167
GFT,,,1.035,0.244,0.319,,,0.508,0.508,0.533
