Metric,10.11,11.12,12.13,13.14,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,0.841,0.829,0.872,,,0.784,0.784,0.848
AR52,,,0.896,0.758,0.767,0.897,0.914,0.915,0.869,0.807
ARGO,,,0.938,0.873,0.898,0.934,0.928,0.916,0.911,0.903
RMSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,7.24,0.801,1.585,,,3.518,3.518,3.209
AR52,,,0.649,0.486,0.678,0.545,0.669,0.544,0.545,0.604
ARGO,,,0.857,0.432,0.467,0.593,0.707,0.556,0.547,0.585
MAPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,1.035,0.244,0.319,,,0.508,0.508,0.533
AR52,,,0.196,0.145,0.196,0.33,0.13,0.279,0.269,0.179
ARGO,,,0.266,0.146,0.155,0.492,0.161,0.301,0.263,0.189
