Metric,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.872,,,0.895,0.895,0.895
AR52,0.767,0.897,0.914,0.93,0.824,0.922
ARGO(gt),0.878,0.904,0.938,0.946,0.903,0.942
"ARGO(gt,ath)",0.898,0.934,0.928,0.937,0.919,0.933
Net,0.904,0.931,0.911,0.943,0.924,0.927
ARGONet,0.887,0.922,0.922,0.944,0.91,0.933
RMSE,0.0,0.0,0.0,0.0,0.0,0.0
GFT,1.585,,,1.392,1.392,1.392
AR52,0.678,0.545,0.669,0.56,0.592,0.615
ARGO(gt),0.511,0.588,0.578,0.506,0.451,0.542
"ARGO(gt,ath)",0.467,0.593,0.707,0.524,0.416,0.615
Net,0.512,0.441,0.703,0.502,0.457,0.602
ARGONet,0.5,0.477,0.683,0.493,0.446,0.588
MAPE,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.319,,,0.334,0.334,0.334
AR52,0.196,0.33,0.13,0.258,0.18,0.194
ARGO(gt),0.181,0.456,0.125,0.315,0.162,0.22
"ARGO(gt,ath)",0.155,0.492,0.161,0.291,0.15,0.226
Net,0.141,0.267,0.145,0.232,0.136,0.188
ARGONet,0.143,0.28,0.138,0.222,0.137,0.18
