Week,NM,athena_flu,athena_ILI,athena_viral,strep,flu fever,flu how long,how long flu,upper respiratory,strep throat,expectorant,rsv in adults,fever cough,oscillococcinum,flu symptoms,cold and flu,acute bronchitis,fever flu,type a flu,symptoms of flu,cold,flu shots,high fever,body temperature,symptoms of bronchitis,robitussin,walking pneumonia,clarithromycin,the flu virus,tessalon,symptoms of pneumonia,stomach flu,tussin,how long does the flu last,flu virus,rsv baby,flu shot,rsv infection,rsv,pneumonia,bronchitis,cough fever,flu and cold,sinus,the flu,normal body temperature,gripe,rsv symptoms,oseltamivir,flu vaccine,influenza a,influenza b,flu medicine,cold symptoms,stomach flu symptoms,symptoms of the flu,what is rsv
2009-10-04,15.72920484,0.067322077367,0.0735199829023,0.0874118401368,1229.9229833,463.341387367,688.969690124,688.969690124,462.643163456,463.201574034,458.271274224,0.0,460.547872061,0.0,9366.34068542,460.515950446,0.0,463.341387367,0.0,2767.46760881,6142.44166757,2920.28007289,462.922200346,690.846103491,0.0,461.002439063,0.0,462.78263984,462.78263984,460.237102842,0.0,0.0,0.0,0.0,688.694272498,0.0,3238.32564789,0.0,461.659299807,1229.36920129,616.778243975,460.547872061,460.515950446,688.832273254,3079.1347094,0.0,457.03121365,461.520078064,0.0,2305.50341838,464.602482957,458.686124502,462.78263984,768.843630533,461.659299807,1382.89208933,0.0
2009-10-11,18.50728749,0.065199506376,0.0689016865487,0.0859728506787,1113.72433563,795.58620952,475.860001978,475.860001978,0.0,717.591652992,0.0,0.0,474.85547242,0.0,6514.76843527,0.0,0.0,795.58620952,477.882224058,1909.69526351,6358.46081802,2068.90809197,478.026251198,474.861655214,474.569242479,0.0,0.0,0.0,477.063655296,0.0,0.0,0.0,0.0,0.0,475.215973046,0.0,2074.83474329,0.0,476.007626026,2866.80453149,480.203766365,474.85547242,0.0,1431.04874354,2391.04314789,474.85547242,0.0,0.0,0.0,3024.33217743,955.331181954,0.0,477.401200943,795.252084409,0.0,794.770642815,0.0
2009-10-18,10.86097946,0.0320855614973,0.0347593582888,0.0508021390374,619.081075848,696.647880726,1391.9963021,1391.9963021,464.377472867,464.43937642,464.09747439,0.0,0.0,0.0,5565.45706161,463.879473615,0.0,696.647880726,463.416673491,1857.80449733,5564.60255701,2941.38349788,0.0,695.717154934,0.0,0.0,0.0,0.0,927.915203468,0.0,696.018548645,0.0,0.0,464.691874003,927.410537696,0.0,2639.10634565,0.0,465.000632464,928.997204839,466.648505962,0.0,463.879473615,2164.40806347,3254.81092472,464.159256169,465.801081314,0.0,0.0,2631.60967556,467.215170814,0.0,0.0,464.52901973,0.0,695.646644455,0.0
2009-10-25,8.651673302,0.0241897604509,0.0251291686238,0.0328792860498,458.829164215,921.209374068,917.753079838,917.753079838,687.125171933,459.248539382,0.0,0.0,456.897770701,457.725984183,3362.04251518,456.622365173,0.0,921.209374068,0.0,1375.75160289,6724.79886614,1835.778971,459.55230025,460.664344533,0.0,914.899159206,0.0,459.079505951,459.910168507,0.0,460.048904606,455.798137077,0.0,0.0,458.970423882,0.0,2607.39364648,0.0,458.775166347,1377.04414438,766.335168641,456.897770701,456.622365173,686.091652466,2757.41868102,0.0,0.0,0.0,0.0,3210.97391261,458.279796626,0.0,0.0,688.441608251,0.0,0.0,0.0
2009-11-01,6.24934023,0.0174291938998,0.0176712660373,0.0225127087872,907.237379527,909.026535797,757.961585141,757.961585141,0.0,678.996850252,455.484887152,0.0,452.453864363,0.0,5757.29158929,0.0,0.0,909.026535797,0.0,1972.45316735,6060.12128229,1061.8574313,0.0,0.0,0.0,454.236698257,0.0,0.0,457.442882957,0.0,453.410137627,456.479555586,0.0,0.0,908.08284348,0.0,1367.5466507,0.0,0.0,1213.21317741,0.0,452.453864363,0.0,605.64707339,2277.08774289,0.0,0.0,0.0,0.0,1360.44642175,908.466047079,0.0,0.0,682.790211033,0.0,452.590227794,0.0
2009-11-08,5.819746377,0.00895299676697,0.00994777418553,0.0179059935339,600.894625721,449.242895779,450.400561858,450.400561858,0.0,1356.78123041,448.293986413,0.0,449.78738608,0.0,3451.51344769,448.429177603,0.0,449.242895779,452.941320118,1051.86082544,7056.55906167,451.970656983,0.0,675.019343581,0.0,897.128900714,447.619251334,0.0,448.158876713,0.0,449.245473566,0.0,0.0,0.0,447.215384341,0.0,2412.31328396,0.0,453.761123412,1052.45217797,451.921821047,449.78738608,448.429177603,900.573435031,1655.39025624,0.0,0.0,0.0,0.0,902.977177915,451.147904489,0.0,0.0,449.785587699,0.0,899.032532996,0.0
2009-11-15,5.021147381,0.00490316253984,0.00539347879382,0.0122579063496,887.535126467,0.0,0.0,0.0,443.309532824,443.069519559,0.0,0.0,0.0,0.0,2659.09432147,0.0,0.0,0.0,0.0,592.092281564,7241.8827004,665.995642913,0.0,443.769421698,0.0,0.0,442.375406776,443.965145985,0.0,0.0,443.735926287,0.0,0.0,0.0,0.0,0.0,593.481259437,0.0,0.0,1332.02063604,890.160596954,0.0,0.0,886.644669386,1780.28486237,0.0,0.0,0.0,0.0,1479.31495831,444.516364583,443.493228993,442.959060695,665.326366848,442.775264029,443.092482099,0.0
2009-11-22,5.102467587,0.00286532951289,0.00409332787556,0.00613999181334,545.07350124,548.051405428,0.0,0.0,0.0,818.604532811,0.0,0.0,0.0,0.0,2359.38860533,0.0,0.0,548.051405428,0.0,545.815625823,7442.82553154,545.402751316,0.0,547.555580876,0.0,548.216879886,0.0,0.0,542.452217676,544.909025229,0.0,546.237757576,0.0,0.0,0.0,0.0,549.544281533,0.0,0.0,1091.30493374,543.927609021,0.0,0.0,1365.32453339,546.064842966,0.0,0.0,0.0,0.0,1090.1488975,0.0,0.0,0.0,727.390242932,0.0,0.0,0.0
2009-11-29,4.571217348,0.00520446096654,0.00570012391574,0.0091697645601,649.780067327,438.255909445,0.0,0.0,426.516225382,432.557957624,0.0,0.0,0.0,0.0,1720.07561163,436.673282026,0.0,438.255909445,0.0,646.995890711,8456.39215552,424.776984336,0.0,0.0,437.067866317,0.0,427.495566079,0.0,0.0,0.0,428.786313561,437.595089316,0.0,0.0,0.0,0.0,868.385346874,0.0,431.61253978,860.987521953,869.765498447,0.0,436.673282026,1003.17262784,438.388313043,439.051532881,0.0,0.0,0.0,433.143460061,0.0,0.0,0.0,436.93625901,0.0,437.067866317,0.0
2009-12-06,3.187959232,0.00162488393686,0.00232126276695,0.00603528319406,1017.24418911,0.0,435.76919928,435.76919928,435.405668169,871.400911119,0.0,0.0,0.0,0.0,1306.40190305,436.294855732,436.426468057,0.0,0.0,0.0,9290.58823594,0.0,436.55815981,436.111330083,0.0,0.0,435.396891248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,875.255869204,0.0,436.821781887,1307.70148383,583.17549394,0.0,436.294855732,653.578883095,436.163322764,0.0,0.0,435.528193084,0.0,1089.32446193,0.0,0.0,0.0,0.0,0.0,0.0,0.0
