Metric,10.11,11.12,12.13,13.14,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.823,0.904,0.876,0.809,0.938,0.891,0.889,0.867
ARGO,,,0.863,0.893,0.938,0.874,0.97,0.904,0.897,0.898
ARGO_top10,,,0.826,0.897,0.911,0.855,0.975,0.889,0.88,0.878
ARGO_all_weighted1,,,0.877,0.874,0.92,0.805,0.969,0.884,0.882,0.89
ARGO_all_weighted2,,,0.869,0.907,0.916,0.854,0.966,0.906,0.902,0.897
ARGO_all_weighted_more_ar,,,0.87,0.907,0.908,0.867,0.955,0.904,0.9,0.895
ARGO_top10_weighted1,,,0.843,0.907,0.927,0.817,0.96,0.881,0.877,0.892
ARGO_top10_weighted2,,,0.848,0.906,0.915,0.846,0.969,0.897,0.891,0.89
ARGO_top10_weighted_more_ar,,,0.866,0.908,0.908,0.861,0.956,0.902,0.897,0.894
ARGO_obs_weight,,,0.853,0.908,0.939,0.883,0.967,0.907,0.9,0.9
ARGO_top10_obs,,,0.799,0.908,0.911,0.87,0.975,0.886,0.873,0.872
ARGO_top10_weighted2_obs,,,0.83,0.91,0.915,0.861,0.972,0.899,0.891,0.885
GFT,,,0.874,0.892,0.944,,,0.866,0.866,0.903
RMSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.898,0.587,0.632,0.695,0.395,0.577,0.616,0.706
ARGO,,,0.948,0.633,0.529,0.614,0.284,0.562,0.628,0.704
ARGO_top10,,,1.088,0.618,0.592,0.642,0.261,0.604,0.683,0.766
ARGO_all_weighted1,,,0.93,0.733,0.611,0.719,0.321,0.613,0.671,0.758
ARGO_all_weighted2,,,0.882,0.615,0.555,0.628,0.304,0.546,0.598,0.684
ARGO_all_weighted_more_ar,,,0.881,0.612,0.59,0.602,0.357,0.551,0.604,0.694
ARGO_top10_weighted1,,,1.019,0.683,0.587,0.706,0.331,0.617,0.678,0.763
ARGO_top10_weighted2,,,1.008,0.609,0.556,0.639,0.296,0.578,0.642,0.724
ARGO_top10_weighted_more_ar,,,0.927,0.608,0.59,0.611,0.344,0.561,0.617,0.708
ARGO_obs_weight,,,0.979,0.578,0.511,0.577,0.298,0.554,0.624,0.689
ARGO_top10_obs,,,1.194,0.579,0.59,0.598,0.26,0.618,0.711,0.788
ARGO_top10_weighted2_obs,,,1.057,0.578,0.554,0.606,0.281,0.576,0.649,0.73
GFT,,,2.683,0.972,1.576,,,1.624,1.624,1.744
MAPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.189,0.133,0.164,0.242,0.13,0.195,0.186,0.162
ARGO,,,0.254,0.168,0.184,0.218,0.113,0.208,0.217,0.202
ARGO_top10,,,0.28,0.155,0.196,0.232,0.116,0.216,0.224,0.21
ARGO_all_weighted1,,,0.288,0.152,0.211,0.244,0.121,0.234,0.246,0.217
ARGO_all_weighted2,,,0.256,0.127,0.157,0.214,0.114,0.195,0.196,0.18
ARGO_all_weighted_more_ar,,,0.246,0.132,0.185,0.208,0.13,0.199,0.199,0.188
ARGO_top10_weighted1,,,0.287,0.154,0.21,0.237,0.128,0.235,0.244,0.217
ARGO_top10_weighted2,,,0.266,0.116,0.157,0.218,0.115,0.199,0.2,0.18
ARGO_top10_weighted_more_ar,,,0.254,0.133,0.185,0.211,0.127,0.2,0.201,0.191
ARGO_obs_weight,,,0.244,0.148,0.171,0.202,0.116,0.2,0.21,0.188
ARGO_top10_obs,,,0.269,0.151,0.187,0.213,0.111,0.206,0.214,0.202
ARGO_top10_weighted2_obs,,,0.258,0.115,0.152,0.2,0.11,0.189,0.191,0.175
GFT,,,0.845,0.31,0.63,,,0.641,0.641,0.595
