Metric,10.11,11.12,12.13,13.14,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,0.874,0.892,0.944,,,0.866,0.866,0.903
AR52,,,0.823,0.904,0.876,0.809,0.938,0.891,0.889,0.867
ARGO,,,0.853,0.908,0.939,0.883,0.967,0.907,0.9,0.9
RMSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,2.683,0.972,1.576,,,1.624,1.624,1.744
AR52,,,0.898,0.587,0.632,0.695,0.395,0.577,0.616,0.706
ARGO,,,0.979,0.578,0.511,0.577,0.298,0.554,0.624,0.689
MAPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,0.845,0.31,0.63,,,0.641,0.641,0.595
AR52,,,0.189,0.133,0.164,0.242,0.13,0.195,0.186,0.162
ARGO,,,0.244,0.148,0.171,0.202,0.116,0.2,0.21,0.188
