Metric,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.944,,,0.951,0.951,0.951
AR52,0.876,0.809,0.938,0.896,0.905,0.917
ARGO(gt),0.916,0.844,0.937,0.914,0.937,0.926
"ARGO(gt,ath)",0.939,0.883,0.967,0.936,0.954,0.952
Net,0.927,0.93,0.939,0.931,0.943,0.935
ARGONet,0.923,0.927,0.966,0.943,0.941,0.954
RMSE,0.0,0.0,0.0,0.0,0.0,0.0
GFT,1.576,,,1.489,1.489,1.489
AR52,0.632,0.695,0.395,0.528,0.564,0.461
ARGO(gt),0.585,0.641,0.397,0.49,0.517,0.444
"ARGO(gt,ath)",0.511,0.577,0.298,0.431,0.457,0.364
Net,0.583,0.456,0.43,0.445,0.513,0.438
ARGONet,0.541,0.462,0.305,0.405,0.48,0.355
MAPE,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.63,,,0.781,0.781,0.781
AR52,0.164,0.242,0.13,0.205,0.193,0.167
ARGO(gt),0.188,0.223,0.134,0.194,0.197,0.164
"ARGO(gt,ath)",0.171,0.202,0.116,0.186,0.189,0.151
Net,0.188,0.188,0.186,0.199,0.192,0.192
ARGONet,0.182,0.18,0.122,0.182,0.192,0.152
