Week,NV,athena_flu,athena_ILI,athena_viral,thermoscan,strep,flu fever,flu how long,how long flu,upper respiratory,strep throat,expectorant,rsv in adults,fever cough,oscillococcinum,flu symptoms,cold and flu,acute bronchitis,fever flu,tamiflu side effects,symptoms of flu,cold,flu shots,high fever,flu cold,flu treatment,body temperature,symptoms of bronchitis,robitussin,walking pneumonia,clarithromycin,tessalon,symptoms of pneumonia,stomach flu,tussin,how long does the flu last,flu virus,rsv baby,flu shot,rsv infection,rsv,tussionex,pneumonia,bronchitis,cough fever,flu and cold,sinus,how to break a fever,the flu,flu a,normal body temperature,gripe,rsv symptoms,oseltamivir,flu vaccine,cold vs flu,human temperature,influenza a,influenza b,normal body,flu medicine,cold symptoms,stomach flu symptoms,symptoms of the flu,what is rsv
2009-10-04,4.729217552,0.0,0.0,0.0,0.0,668.542001499,0.0,0.0,0.0,0.0,446.517877605,0.0,0.0,223.473143465,669.914985952,4465.25827371,0.0,0.0,0.0,0.0,966.610943826,6478.56186141,1786.47193462,222.326435515,446.33704422,446.07239209,223.036196045,0.0,222.25934848,222.058330076,0.0,0.0,222.729809755,223.880264538,0.0,0.0,224.150732994,0.0,2159.00876389,0.0,0.0,0.0,819.167572427,222.898631017,223.473143465,0.0,745.372819855,0.0,1116.20262296,595.506619483,0.0,333.710911524,0.0,0.0,1193.46785887,0.0,0.0,223.191379749,0.0,223.146111068,0.0,298.04549479,0.0,558.711572867,0.0
2009-10-11,6.822456084,0.00847457627119,0.0169491525424,0.0169491525424,0.0,784.517707372,224.699154157,370.446126051,370.446126051,223.165643028,371.005478463,0.0,0.0,297.522583045,0.0,6165.19487624,0.0,0.0,224.699154157,226.799384201,963.430670722,6387.67209344,1335.99767772,370.982357774,673.284255523,662.780725928,222.288857739,219.430008624,334.323736198,220.160556473,0.0,226.319167719,226.250731321,449.670381339,0.0,223.50275125,332.357552416,0.0,1931.50744311,0.0,224.428085174,223.97641739,668.704006847,445.317321888,297.522583045,0.0,520.573919266,0.0,2227.91003579,446.012782056,222.590471474,222.020958799,0.0,0.0,1339.16451274,226.045670235,0.0,222.715075152,224.666072163,219.430008624,0.0,221.34915528,224.22526816,223.031084305,0.0
2009-10-18,4.306875967,0.00847457627119,0.0254237288136,0.0254237288136,0.0,437.963965506,219.205948806,876.918838906,876.918838906,0.0,655.951566601,0.0,0.0,0.0,0.0,5044.86098559,0.0,220.356684346,219.205948806,0.0,1387.10762548,6214.30264875,1535.97094519,328.610397053,218.077234993,219.654091809,292.159623281,0.0,0.0,441.113532162,0.0,0.0,0.0,655.98427263,217.945665017,0.0,220.01852128,0.0,2632.58712684,0.0,659.872823844,219.692359099,1096.77171239,365.303942089,0.0,0.0,512.522279513,0.0,1681.33448654,438.736232431,220.090472707,218.795228843,0.0,0.0,2269.56787007,218.387167058,219.361696307,328.091266687,0.0,219.169187364,0.0,328.289290756,439.252293629,327.860438943,0.0
2009-10-25,3.564028181,0.0,0.00714285714286,0.00714285714286,0.0,826.37869578,225.153441219,450.373768809,450.373768809,225.940005093,526.895337382,0.0,0.0,225.942427891,451.811033657,4742.13532398,224.232994356,0.0,225.153441219,0.0,826.880942249,6019.82042936,1354.81502992,0.0,338.419672846,338.555714045,451.234134395,0.0,226.794259296,225.425942402,0.0,0.0,0.0,339.284059787,0.0,0.0,451.597187774,0.0,2860.72047215,0.0,0.0,0.0,827.965848822,376.164578805,225.942427891,224.232994356,679.106785593,0.0,2933.97496089,677.737784584,225.420460009,562.957593536,0.0,224.571306055,2637.93420872,0.0,0.0,451.726000881,0.0,338.453924107,0.0,0.0,225.454567583,375.665749012,224.910640153
2009-11-01,2.766886473,0.0192307692308,0.0288461538462,0.0288461538462,0.0,729.888698845,365.781886445,327.382397934,327.382397934,220.240991345,438.26870615,0.0,0.0,0.0,0.0,3144.79223536,218.008970121,219.9567889,365.781886445,220.440484997,657.711850315,7309.36948525,877.792777924,219.095512317,546.722912518,0.0,730.417660784,436.544055404,218.337891319,440.083716884,0.0,0.0,219.600915571,218.80005196,0.0,0.0,512.18720376,0.0,2487.32399077,0.0,218.979593668,219.293669247,950.564434852,365.583142812,0.0,218.008970121,1100.2067691,0.0,1243.55281999,731.300422561,328.271458045,439.818606211,0.0,0.0,1318.2730573,0.0,0.0,220.240991345,0.0,437.200574199,0.0,219.899381745,0.0,219.029539564,0.0
2009-11-08,2.234662506,0.0,0.0214285714286,0.0214285714286,218.375567841,581.046472771,217.951618733,217.328311887,217.328311887,0.0,363.744440237,0.0,0.0,217.775631799,0.0,2546.20332645,219.035312759,0.0,217.951618733,0.0,547.242926105,6837.83556342,1018.28441852,218.916828972,290.731306979,0.0,290.578323621,0.0,220.257423422,216.396889481,0.0,0.0,218.573073631,219.062896871,0.0,217.492012031,219.658536168,0.0,1892.16647304,0.0,216.658159496,217.754129652,946.105208002,434.959115048,217.775631799,219.035312759,1020.24279899,0.0,873.181738896,438.032719844,0.0,218.375567841,0.0,0.0,1893.75515156,218.865067645,0.0,327.043057893,216.331670406,219.327226159,0.0,327.602552344,216.527445674,218.573073631,0.0
2009-11-15,2.90842894,0.0442477876106,0.0530973451327,0.0530973451327,0.0,503.198322872,0.0,218.371716546,218.371716546,218.63521183,217.265531768,0.0,0.0,0.0,0.0,1512.91627793,213.331449445,0.0,0.0,214.106026569,864.1474064,6552.15591985,431.963968317,218.767198073,287.715340911,215.781709894,431.33505803,0.0,215.781709894,214.170828635,0.0,0.0,0.0,359.861589171,0.0,0.0,218.899343768,0.0,864.187919761,0.0,0.0,0.0,864.209807688,434.070374823,0.0,213.331449445,1443.15251615,0.0,935.769705734,326.339823759,436.611883866,0.0,0.0,0.0,721.073201358,0.0,217.362995734,216.107762644,0.0,325.487655737,0.0,436.875061614,321.679665732,215.756432949,0.0
2009-11-22,3.313053097,0.0571428571429,0.0714285714286,0.0714285714286,0.0,876.501829194,0.0,238.666167718,238.666167718,239.59111385,718.123770044,0.0,0.0,0.0,0.0,1676.73771476,239.953033962,0.0,0.0,0.0,398.892100633,7979.99620854,239.503042322,240.033001975,358.527977166,237.874515836,239.238346495,239.5188608,0.0,239.308304025,0.0,0.0,0.0,0.0,0.0,0.0,479.761124985,238.448571983,239.575094506,0.0,0.0,0.0,798.720156497,478.109601198,0.0,239.953033962,639.819854976,240.650873129,717.401445354,319.498438974,239.635226162,0.0,238.017770588,0.0,720.007741467,237.946121651,0.0,0.0,0.0,239.133923741,0.0,239.090949728,0.0,0.0,0.0
2009-11-29,2.282363554,0.0263157894737,0.0263157894737,0.0263157894737,211.013800562,320.982496492,214.2576232,215.186006802,215.186006802,212.57332942,284.358043327,215.186006802,0.0,213.927710463,210.886760345,1493.64422154,212.445234614,0.0,214.2576232,0.0,355.550281913,7752.6354457,213.337968182,422.919298441,213.166254708,0.0,213.102189674,0.0,0.0,0.0,0.0,0.0,213.30292481,0.0,0.0,0.0,216.096159096,0.0,530.324617053,0.0,215.900478904,215.640122583,782.288627454,529.748934053,213.927710463,212.445234614,997.19851873,0.0,1388.12826018,320.099942375,0.0,0.0,0.0,215.900478904,640.788744669,213.022880267,0.0,0.0,0.0,0.0,0.0,320.518150133,0.0,532.984289996,0.0
2009-12-06,1.836056094,0.0327868852459,0.0327868852459,0.0327868852459,0.0,847.326362074,211.280110054,0.0,0.0,212.838973395,424.185696651,0.0,0.0,0.0,211.216298483,919.579989817,213.160482418,0.0,211.280110054,0.0,422.900155695,7710.61431285,425.454081859,212.35856607,212.967460551,0.0,282.74755259,0.0,0.0,212.646533094,0.0,211.535742371,0.0,212.630682737,0.0,0.0,213.096102931,0.0,318.196123984,0.0,0.0,0.0,353.764803926,424.31302474,0.0,213.160482418,991.539448669,0.0,353.594256125,212.280263999,212.935801677,212.438469345,0.0,0.0,532.895863472,0.0,0.0,212.838973395,213.482964238,0.0,0.0,354.257470455,212.486570028,210.897817937,0.0
2009-12-13,0.986121256,0.0175438596491,0.0175438596491,0.0175438596491,0.0,579.954389835,220.562431292,327.937042976,327.937042976,219.042163159,363.101821107,0.0,0.0,0.0,0.0,1234.76155172,0.0,0.0,220.562431292,0.0,324.179868829,6608.44350305,436.393843621,0.0,216.336837466,0.0,324.310271737,0.0,217.933557994,0.0,215.083881382,0.0,0.0,326.505482179,0.0,0.0,215.538741554,0.0,581.311512907,0.0,430.687132232,217.670829172,435.742464447,541.658582691,0.0,0.0,1385.04597396,0.0,726.179526235,220.762397232,0.0,0.0,0.0,0.0,645.835758487,0.0,0.0,220.362827282,0.0,0.0,0.0,217.089480052,439.929402252,0.0,0.0
2009-12-20,1.427291347,0.0,0.0,0.0,0.0,643.404871202,0.0,0.0,0.0,0.0,386.370577588,0.0,0.0,0.0,0.0,1201.46442585,0.0,0.0,0.0,0.0,256.746423314,5150.0159797,258.041646207,0.0,259.268948462,0.0,256.29487622,0.0,516.292868208,258.878247816,0.0,0.0,0.0,257.968563482,0.0,0.0,0.0,0.0,515.936515061,0.0,386.563234988,0.0,516.394514329,514.731877993,0.0,0.0,947.389400846,0.0,429.483187783,256.682145601,0.0,0.0,0.0,0.0,385.070471367,0.0,0.0,0.0,0.0,255.831692709,0.0,343.56139468,0.0,0.0,0.0
2009-12-27,3.273375466,0.0,0.0,0.0,0.0,735.739470647,490.217598389,245.163783395,245.163783395,246.087315358,368.007699587,0.0,0.0,246.161572243,0.0,1719.9673675,0.0,0.0,490.217598389,0.0,245.533117205,9907.46132147,246.052057972,244.886847369,491.06623441,0.0,368.345289408,0.0,369.533214497,0.0,0.0,0.0,245.93893591,246.087315358,0.0,0.0,489.330594291,0.0,409.572280304,0.0,245.600013431,0.0,573.000870777,409.325296936,246.161572243,0.0,1559.17131052,0.0,245.633851793,245.18287257,246.12637149,0.0,0.0,0.0,247.131005881,0.0,245.699146008,0.0,0.0,245.829386426,245.864813265,368.900808576,244.739102665,0.0,0.0
2010-01-03,1.14445015,0.00689655172414,0.00689655172414,0.00689655172414,209.31227609,418.32844924,279.208447836,208.016379211,208.016379211,0.0,628.662788097,0.0,0.0,0.0,0.0,1117.75991897,208.32975128,0.0,279.208447836,0.0,420.143141849,7119.80667976,209.490564837,0.0,209.761106995,0.0,279.061045574,210.014212404,210.297515495,315.33507893,208.518228136,0.0,209.501584751,279.292763226,0.0,0.0,0.0,0.0,418.585452853,0.0,208.707046332,209.887583394,629.748068906,419.705609745,0.0,208.32975128,1330.0672103,0.0,279.398051556,208.959336506,0.0,0.0,0.0,0.0,314.037559094,209.57167794,0.0,0.0,0.0,208.267001355,209.338917499,419.769076332,0.0,0.0,0.0
2010-01-10,0.915836934,0.00862068965517,0.00862068965517,0.00862068965517,207.954805618,414.811617844,0.0,0.0,0.0,208.27118175,620.620976714,0.0,0.0,0.0,0.0,623.177230857,0.0,0.0,0.0,207.006481558,206.261202524,7617.51930562,207.640864184,209.855761466,205.883142195,311.840110462,419.458303311,0.0,311.871470087,209.539523128,206.634132514,0.0,207.140524753,414.40587055,0.0,0.0,0.0,0.0,208.039941376,206.007355252,207.760393029,0.0,554.292519838,276.937342043,0.0,0.0,1041.40549492,0.0,484.990641865,207.078151815,0.0,0.0,0.0,0.0,421.2372843,206.318544611,0.0,0.0,206.829035242,0.0,0.0,0.0,207.265383417,207.078151815,0.0
2010-01-17,0.934872304,0.0,0.0,0.0,0.0,755.467218736,0.0,0.0,0.0,0.0,412.672627118,0.0,0.0,0.0,0.0,619.34024601,205.343277699,206.217355866,0.0,0.0,0.0,5916.53234196,0.0,0.0,205.868435556,206.023299538,275.073337596,0.0,207.15074764,205.467090348,0.0,0.0,0.0,0.0,0.0,0.0,207.338440857,0.0,0.0,0.0,310.143705589,0.0,481.803363717,550.416134407,0.0,205.343277699,621.614943886,0.0,205.591052393,310.066615971,0.0,204.972733439,0.0,0.0,206.582807593,0.0,207.088258727,0.0,0.0,0.0,0.0,206.866689179,0.0,205.529052679,205.96383762
2010-01-24,1.096330946,0.0,0.00943396226415,0.00943396226415,0.0,404.741375238,203.029057321,201.493130806,201.493130806,202.320470034,405.459165862,202.784148928,0.0,0.0,0.0,710.016935862,0.0,0.0,203.029057321,0.0,201.37196837,6078.5050861,202.345367613,0.0,202.96777478,202.101136632,405.690641234,0.0,202.906529223,303.418846494,202.661916168,203.090376879,202.528928575,270.140098686,0.0,0.0,0.0,0.0,303.940784029,0.0,540.442192809,0.0,810.867272888,337.695071069,0.0,0.0,1218.57693158,0.0,406.426254364,202.888710055,0.0,202.582491119,202.362705602,203.053293952,305.223155268,202.356977985,0.0,202.406517618,0.0,202.350609346,0.0,202.774195216,0.0,0.0,203.213127182
2010-01-31,1.099404489,0.0,0.0,0.0,0.0,664.35619666,201.373258876,0.0,0.0,0.0,332.750715894,0.0,0.0,0.0,0.0,465.688931682,0.0,0.0,201.373258876,0.0,198.34953093,6986.71221308,198.396672683,0.0,201.312476124,0.0,397.17751817,199.382416893,400.085446033,200.131711464,201.009111934,0.0,400.929016225,199.864745086,0.0,0.0,0.0,0.0,300.756713114,0.0,399.178878952,199.20214346,1331.58040575,532.118319451,0.0,0.0,1133.72763257,0.0,198.708192375,201.555827561,0.0,0.0,0.0,0.0,200.146594574,0.0,0.0,0.0,0.0,198.217128183,0.0,0.0,0.0,0.0,0.0
2010-02-07,1.699501141,0.0,0.0,0.0,0.0,474.861965563,407.381407288,0.0,0.0,0.0,543.531685677,0.0,0.0,409.11178948,203.629184253,611.666444212,0.0,203.077177428,407.381407288,0.0,407.362986133,5367.41819992,203.774291742,203.366774947,305.702241915,0.0,408.277616122,0.0,406.889697684,0.0,0.0,0.0,203.875485051,611.626455152,0.0,0.0,0.0,0.0,203.734970677,0.0,271.723985891,0.0,679.474136035,611.758706877,409.11178948,0.0,1225.55656945,0.0,611.466061839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.920389213,204.122382399,203.954234094,0.0,203.322143867,0.0
2010-02-14,1.401464072,0.0,0.0232558139535,0.0232558139535,0.0,772.728399256,210.063670606,210.258620742,210.258620742,212.611867028,774.172345509,210.258620742,0.0,0.0,0.0,210.350512647,210.702338061,211.717734815,210.063670606,0.0,209.812297039,7179.70501288,0.0,210.511944382,281.238636133,0.0,421.794727327,0.0,0.0,424.839264134,209.683579526,0.0,0.0,211.589332711,0.0,0.0,212.868722198,0.0,0.0,0.0,211.098640744,0.0,846.931878529,633.126463762,0.0,210.702338061,1623.00317528,0.0,421.277670493,0.0,212.291668433,0.0,0.0,0.0,315.525309296,212.100011796,210.12715313,0.0,0.0,211.780816339,0.0,211.78110559,209.746832491,0.0,0.0
2010-02-21,1.718027735,0.0,0.0,0.0,0.0,336.191206326,0.0,199.631961574,199.631961574,0.0,471.875526165,199.631961574,0.0,200.355265782,0.0,336.698521521,0.0,0.0,0.0,0.0,0.0,6470.04824615,0.0,402.39236498,0.0,0.0,0.0,200.1739488,203.033871249,203.413141242,0.0,0.0,199.872482009,199.932702703,0.0,0.0,200.476326366,0.0,0.0,0.0,538.749735959,203.351835292,876.139220174,606.134291238,200.355265782,0.0,878.163119951,204.461027121,302.578865978,202.77951478,0.0,0.0,203.658735134,0.0,200.234351319,0.0,203.904922786,0.0,0.0,202.534685906,0.0,200.476326366,0.0,0.0,202.77951478
2010-02-28,1.490015361,0.0,0.00531914893617,0.00531914893617,0.0,671.256973724,201.830890007,199.540007598,199.540007598,0.0,470.764130669,0.0,0.0,0.0,0.0,269.135065937,0.0,0.0,201.830890007,0.0,199.840610201,6123.56012312,0.0,203.795354855,407.590709709,0.0,201.618120533,203.610980287,203.733859575,201.344886812,0.0,0.0,0.0,202.808387167,201.953731344,0.0,303.218520443,0.0,0.0,0.0,703.125040223,204.412355626,807.222178035,268.952352245,0.0,0.0,1146.5371234,0.0,336.276718539,204.041707656,0.0,200.860447987,0.0,0.0,0.0,0.0,403.663336087,0.0,0.0,0.0,0.0,610.464747408,0.0,199.720260541,0.0
2010-03-07,1.169920929,0.00561797752809,0.0168539325843,0.0168539325843,0.0,528.432515741,0.0,0.0,0.0,200.266222206,397.473011883,0.0,0.0,0.0,199.84422836,463.26082433,0.0,0.0,0.0,0.0,196.703959352,5821.97692785,0.0,197.459229867,0.0,200.266222206,198.350801041,393.882619058,200.326652569,0.0,200.085149672,200.508162674,196.644711171,264.595350304,0.0,0.0,0.0,0.0,0.0,0.0,200.145470791,199.478927956,661.726767246,661.567312916,0.0,0.0,1326.90552216,0.0,298.991284268,0.0,0.0,197.102536428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,397.299585035,0.0,299.444353565,196.763243246,0.0,0.0
