Metric,10.11,11.12,12.13,13.14,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.883,0.883,0.914,0.812,0.876,0.91,0.918,0.893
ARGO,,,0.932,0.852,0.93,0.891,0.875,0.92,0.928,0.905
ARGO_top10,,,0.91,0.861,0.937,0.902,0.878,0.924,0.929,0.903
ARGO_all_weighted1,,,0.899,0.785,0.928,0.876,0.844,0.897,0.903,0.871
ARGO_all_weighted2,,,0.894,0.874,0.93,0.906,0.854,0.92,0.926,0.899
ARGO_all_weighted_more_ar,,,0.904,0.87,0.941,0.887,0.868,0.922,0.93,0.905
ARGO_top10_weighted1,,,0.899,0.807,0.95,0.9,0.859,0.91,0.916,0.885
ARGO_top10_weighted2,,,0.895,0.874,0.926,0.913,0.857,0.92,0.925,0.898
ARGO_top10_weighted_more_ar,,,0.907,0.87,0.941,0.894,0.906,0.924,0.93,0.906
ARGO_obs_weight,,,0.929,0.86,0.932,0.884,0.883,0.924,0.93,0.907
ARGO_top10_obs,,,0.914,0.878,0.939,0.903,0.878,0.929,0.933,0.91
ARGO_top10_weighted2_obs,,,0.898,0.883,0.929,0.91,0.873,0.924,0.928,0.903
GFT,,,0.73,0.941,0.92,,,0.798,0.798,0.864
RMSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.469,0.426,0.484,0.419,0.233,0.358,0.388,0.46
ARGO,,,0.357,0.476,0.44,0.337,0.241,0.337,0.367,0.425
ARGO_top10,,,0.406,0.463,0.426,0.322,0.234,0.331,0.367,0.432
ARGO_all_weighted1,,,0.431,0.575,0.476,0.373,0.288,0.386,0.427,0.494
ARGO_all_weighted2,,,0.44,0.445,0.445,0.306,0.263,0.339,0.376,0.443
ARGO_all_weighted_more_ar,,,0.42,0.449,0.41,0.341,0.255,0.335,0.363,0.426
ARGO_top10_weighted1,,,0.43,0.543,0.417,0.344,0.268,0.362,0.399,0.463
ARGO_top10_weighted2,,,0.435,0.445,0.453,0.303,0.255,0.34,0.378,0.444
ARGO_top10_weighted_more_ar,,,0.412,0.449,0.41,0.337,0.221,0.33,0.362,0.424
ARGO_obs_weight,,,0.365,0.465,0.431,0.342,0.232,0.33,0.361,0.42
ARGO_top10_obs,,,0.397,0.437,0.418,0.316,0.233,0.322,0.354,0.417
ARGO_top10_weighted2_obs,,,0.432,0.432,0.443,0.307,0.241,0.333,0.37,0.436
GFT,,,1.904,0.789,0.97,,,1.164,1.164,1.221
MAPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.237,0.178,0.318,0.3,0.171,0.274,0.287,0.244
ARGO,,,0.238,0.243,0.357,0.303,0.183,0.324,0.336,0.279
ARGO_top10,,,0.256,0.235,0.379,0.278,0.178,0.307,0.335,0.29
ARGO_all_weighted1,,,0.316,0.34,0.467,0.339,0.213,0.376,0.415,0.374
ARGO_all_weighted2,,,0.278,0.248,0.36,0.256,0.185,0.298,0.326,0.295
ARGO_all_weighted_more_ar,,,0.271,0.243,0.354,0.287,0.183,0.303,0.322,0.29
ARGO_top10_weighted1,,,0.304,0.309,0.427,0.301,0.189,0.361,0.399,0.347
ARGO_top10_weighted2,,,0.28,0.248,0.364,0.246,0.184,0.302,0.329,0.297
ARGO_top10_weighted_more_ar,,,0.278,0.242,0.355,0.292,0.142,0.305,0.329,0.292
ARGO_obs_weight,,,0.241,0.251,0.341,0.312,0.176,0.301,0.32,0.278
ARGO_top10_obs,,,0.245,0.219,0.366,0.269,0.178,0.297,0.321,0.277
ARGO_top10_weighted2_obs,,,0.27,0.234,0.342,0.257,0.18,0.29,0.318,0.282
GFT,,,0.988,0.729,1.253,,,1.427,1.427,0.99
