Metric,10.11,11.12,12.13,13.14,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,0.73,0.941,0.92,,,0.798,0.798,0.864
AR52,,,0.883,0.883,0.914,0.812,0.876,0.91,0.918,0.893
ARGO,,,0.914,0.878,0.939,0.903,0.878,0.929,0.933,0.91
RMSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,1.904,0.789,0.97,,,1.164,1.164,1.221
AR52,,,0.469,0.426,0.484,0.419,0.233,0.358,0.388,0.46
ARGO,,,0.397,0.437,0.418,0.316,0.233,0.322,0.354,0.417
MAPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,0.988,0.729,1.253,,,1.427,1.427,0.99
AR52,,,0.237,0.178,0.318,0.3,0.171,0.274,0.287,0.244
ARGO,,,0.245,0.219,0.366,0.269,0.178,0.297,0.321,0.277
