Metric,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.92,,,0.936,0.936,0.936
AR52,0.914,0.812,0.876,0.909,0.933,0.892
ARGO(gt),0.916,0.858,0.869,0.918,0.935,0.894
"ARGO(gt,ath)",0.932,0.902,0.875,0.929,0.947,0.902
Net,0.921,0.839,0.831,0.908,0.939,0.87
ARGONet,0.896,0.881,0.884,0.915,0.92,0.9
RMSE,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.97,,,1.005,1.005,1.005
AR52,0.484,0.419,0.233,0.346,0.421,0.29
ARGO(gt),0.465,0.359,0.236,0.327,0.407,0.282
"ARGO(gt,ath)",0.435,0.321,0.236,0.31,0.382,0.273
Net,0.459,0.391,0.346,0.353,0.4,0.349
ARGONet,0.511,0.334,0.23,0.334,0.444,0.282
MAPE,0.0,0.0,0.0,0.0,0.0,0.0
GFT,1.253,,,2.292,2.292,2.292
AR52,0.318,0.3,0.171,0.293,0.374,0.232
ARGO(gt),0.277,0.269,0.188,0.305,0.36,0.247
"ARGO(gt,ath)",0.357,0.285,0.181,0.319,0.428,0.25
Net,0.273,0.342,0.262,0.323,0.346,0.292
ARGONet,0.316,0.256,0.18,0.287,0.377,0.234
