Week,NY,athena_flu,athena_ILI,athena_viral,thermoscan,how long is the flu contagious,how contagious is the flu,what to do if you have the flu,influenza b symptoms,z pack and alcohol,how long does the flu last in adults,sinus infection cure,robitussin cough,strep,fever and cough,signs of flu,flu fever,flu recovery time,flu how long,how to reduce fever,braun thermoscan,sinus infections,how long flu,treatment for the flu,upper respiratory,strep throat,intestinal flu,ear thermometer,how long does flu last,cold or flu,the flu symptoms,expectorant,how long contagious,how to get rid of the flu,tamiflu pediatric dosing,treat flu,tylenol sinus,flu in children,reduce fever,how long does it take to get over the flu,over the counter flu,how to treat flu,medicine for the flu,contagious flu,flu care,flu or cold,can adults get rsv,rsv in adults,influenza a symptoms,flu relief,fever cough,signs of rsv,oscillococcinum,type a influenza,flu symptoms,painful cough,flu incubation,how to get over the flu,cold and flu,acute bronchitis,fever flu,what to eat when you have the flu,type a flu,tamiflu side effects,flu shot symptoms,flu and fever,symptoms of flu,cold,how long does the flu last?,type b flu,flu versus cold,medicine for flu,flu children,treatment for flu,cough and fever,flu shots,influenza type a,high fever,symptoms of rsv,flu cold,flu remedies,flu recovery,dangerous fever,do i have the flu,how to cure the flu,rsv contagious,influenza treatment,flu treatment,body temperature,remedies for the flu,biaxin side effects,flu incubation period,flu test,symptoms of bronchitis,tamiflu dose,robitussin,rsv treatment,influenza symptoms,tamiflu dosage,walking pneumonia,oscillo,how to treat the flu,break a fever,incubation period for flu,clarithromycin,over the counter flu medicine,the flu virus,cold with fever,tessalon,when is the flu contagious,symptoms of pneumonia,stomach flu,tussin,how long does the flu last,treating the flu,flu virus,is tamiflu an antibiotic,rsv baby,flu shot,chest cold,remedies for flu,rsv infection,flu like symptoms,flu contagious,symptoms of influenza,flu while pregnant,flu report,i have the flu,is the flu contagious,flu complications,flu contagious period,incubation period for the flu,flu cough,what is influenza,rsv,tussionex,pneumonia,is rsv contagious,signs of the flu,tamiflu generic,influenza incubation period,cure the flu,how long are you contagious with the flu,robitussin cf,flu a symptoms,fever reducer,bronchitis,tamiflu and alcohol,cough fever,flu and cold,sinus,how to break a fever,what is influenza b,the flu,what is influenza a,flu a,normal body temperature,gripe,flu duration,when is the flu no longer contagious,rsv symptoms,how long is the flu,flu symptoms in toddlers,oseltamivir,how long is flu contagious,treating flu,home remedies for flu,flu a and b,flu vaccine,cold vs flu,respiratory flu,a influenza,human temperature,tamiflu and pregnancy,influenza a,influenza b,flu vs cold,cure flu,how to get rid of flu,normal body,flu medicine,cold symptoms,rsv infant,tamiflu wiki,stomach flu symptoms,how long does rsv last,how long is rsv contagious,treat the flu,symptoms of the flu,early flu symptoms,flu headache,flu type b,flu type a,what is rsv,is flu contagious
2009-10-04,1.502192194,0.000838066859112,0.00158301517832,0.0182512338207,18.8069635396,28.1164437422,18.8065798661,0.0,0.0,0.0,0.0,0.0,37.5477019025,678.144575949,18.9124291237,28.1444764098,106.705604082,0.0,144.389134258,18.7138226043,18.6291446739,113.119164406,144.389134258,0.0,37.6629504188,407.84641588,0.0,18.8728859579,62.8325463866,75.4882715445,219.250553684,31.325313933,94.2070614257,18.9299727273,0.0,37.5624653086,18.8615098965,93.9797971328,18.6291446739,0.0,0.0,18.8842757503,37.4276452085,50.3056835374,100.279155913,75.4882715445,0.0,0.0,18.9119786037,0.0,28.1899935739,0.0,50.2295677224,28.150267325,2478.00990571,0.0,94.1216207556,0.0,62.643116943,28.321529348,106.705604082,18.5787047515,25.0730912531,43.8637182389,56.639638192,46.9137162463,527.472898629,6729.39529139,0.0,18.6516504361,0.0,37.3033008723,194.871678179,37.5088943823,18.9124291237,1572.96652564,28.150267325,81.4460011967,0.0,263.348865767,37.619602921,18.8669222759,18.8122013686,18.9267537046,0.0,0.0,37.7002950822,87.6296099514,201.232421831,0.0,0.0,62.779380721,125.267285336,55.8705801514,18.6460188992,132.155161534,0.0,31.3821589123,28.0851611341,106.641410284,18.6855112236,19.0047038677,18.9807911396,37.6721912836,50.1840492719,18.9013862387,75.4052232601,18.6235267171,18.9526065397,18.9176939191,43.833521095,88.1380504336,18.7887785331,18.8728859579,18.9062667407,163.257428789,0.0,0.0,2885.61935904,47.0616605615,18.7422199071,0.0,37.6414771621,50.3056835374,18.866380102,28.1728729361,37.5202289389,50.2448881052,18.758277166,18.8810315913,28.3957759149,18.8839163704,56.3361576551,31.2913344023,62.9755323398,18.8611062988,981.084727624,0.0,28.1105435523,0.0,0.0,19.0336039649,18.9931683874,0.0,131.542156576,18.6291446739,526.839566114,0.0,28.1899935739,62.643116943,1216.14339799,0.0,0.0,1675.5034761,18.9725951708,796.412345657,68.9784836898,106.512730591,37.8011166536,18.9234126899,0.0,37.4049755264,0.0,37.2021774663,37.4617013006,18.8646594223,18.7785241456,0.0,2422.50322193,66.4098114478,18.6911666447,75.3274083684,69.2237125922,18.6516504361,75.3274083684,18.8891518341,66.4098114478,31.3765188755,18.6798592239,138.204330071,62.6922233996,250.402186793,0.0,18.9467964157,31.3878238431,0.0,0.0,37.7913585969,137.839933319,18.9070966273,43.9474246353,18.6516504361,25.0730912531,0.0,25.1091568398
2009-10-11,3.36916081,0.00393829996718,0.00459468329504,0.0260365386719,19.0434227563,19.1494741833,19.0321905778,0.0,0.0,0.0,0.0,37.694813182,18.95176478,659.145989241,0.0,75.888611864,69.6772075137,19.0745364457,164.808053519,28.6965827921,19.0301191281,101.516607088,164.808053519,0.0,88.6178914387,519.529891972,19.1379069986,25.3083285424,47.5839971718,57.0699899884,170.723111543,18.9745495972,101.279326396,18.9559548557,0.0,37.9452951583,19.0387023972,101.225650482,19.0789987029,0.0,0.0,38.0715748818,0.0,88.8434694989,120.202013994,57.0699899884,0.0,0.0,0.0,19.08669589,38.0610139379,0.0,47.6599824523,38.4616753096,2488.72842491,0.0,76.0223761693,19.0687962903,75.9709448578,38.2181001644,69.6772075137,0.0,18.9916820486,37.986222121,57.1478470291,38.0773180654,747.815600785,7179.26459672,0.0,19.1494741833,19.0091422089,47.761030552,203.096795044,19.0271743937,0.0,1772.21333008,38.4616753096,88.5095661128,18.9709958449,278.49823554,44.3727824216,19.0135892578,19.1263537798,18.9945452594,0.0,0.0,0.0,75.8753774316,311.009080898,0.0,19.1090500822,126.794042405,75.8905903497,31.6076939706,19.0376807582,101.643523201,18.9861495966,37.7289261351,28.4118004476,69.6811596455,0.0,57.7275524499,0.0,44.3574254852,44.3133964335,0.0,57.1561411169,18.9232057613,28.624283683,18.9043818225,37.9376549362,76.2954388619,37.9149738623,25.3026000552,0.0,139.43275668,0.0,37.8692380676,3330.49128703,50.9066827801,18.974674136,0.0,19.06069046,88.8434694989,0.0,28.6300314099,25.3216683631,38.1042340895,19.0243071289,56.5933892027,31.651734433,19.0860271303,69.4635180603,18.8303809301,114.476783388,37.9338417265,780.701446696,0.0,56.7867320314,0.0,18.8701554221,0.0,0.0,0.0,101.189385234,18.8644630676,557.08797165,0.0,38.0610139379,75.9709448578,1221.15847028,0.0,0.0,1583.67480111,0.0,771.801452242,50.6128010975,107.586444755,19.0300537817,0.0,19.0206594111,38.1579415459,0.0,18.8909390379,28.641573438,19.0809243142,0.0,0.0,2419.9326959,63.5391916525,18.9632125388,63.3913864029,50.7085601602,18.8872531166,63.3913864029,25.3293803834,63.5391916525,0.0,28.595443169,69.7598379714,63.2764614818,183.20578637,0.0,19.2133444732,47.5782795599,0.0,0.0,28.4861216856,126.509223274,19.0472868238,44.3731635409,19.1494741833,18.9916820486,0.0,25.3236264393
2009-10-18,6.85961479,0.0113354204901,0.0118752024182,0.051171326784,18.3546344227,18.321476765,24.4556546923,18.4435248243,0.0,0.0,0.0,18.2662957494,30.5786822427,722.107751296,27.4891242066,128.244089115,250.843296198,0.0,409.965034088,36.9317747771,18.3768757247,104.154485868,409.965034088,36.7760332022,85.4418190406,428.090943822,0.0,18.2937475172,73.4813241575,54.8455540808,390.73553382,42.7437631654,103.93454049,0.0,0.0,42.7143385737,18.3103951445,152.668419312,18.2828263338,0.0,27.4975357381,18.349003551,18.3435339483,159.337079143,134.359856645,54.8455540808,0.0,0.0,18.3519993183,18.3714972103,45.7167443284,0.0,27.5112599268,30.5660504976,4617.09078175,0.0,275.25056091,0.0,116.121671968,24.4371109478,250.843296198,0.0,48.8852576803,91.6086873422,79.6508784508,73.3795673458,997.677985852,7256.63711185,18.2607921954,0.0,18.454699332,18.3049137109,349.210117278,36.6390548237,27.4891242066,2017.66203003,30.5660504976,67.0841215245,0.0,378.933697813,64.3798592103,18.4327155172,27.57220665,27.5055752331,18.3492489545,18.2387452697,27.4641411782,128.135979611,288.038338885,37.0103052824,27.5152176526,214.189485804,97.6895190807,48.8318166514,24.4814727132,116.560452239,0.0,55.0114862775,48.7546553254,91.7676609858,0.0,18.3768757247,18.3935921065,55.0582720612,55.0120711287,0.0,67.3915915382,18.2773128156,18.426970554,18.3324468924,73.2450053969,85.9153694676,27.5152026099,64.1068965056,0.0,293.740091596,0.0,0.0,3894.56281665,55.2681394195,73.9756678747,0.0,27.6027610945,159.337079143,18.2827205446,30.6139202482,36.6648707083,91.9922590212,48.853926112,36.67589322,36.7315191981,27.530606758,97.5644889096,27.4035175571,92.1034913195,45.8407878433,925.475929794,0.0,42.7234896896,0.0,18.2883431794,18.3104438963,0.0,0.0,158.688360648,27.4779369893,568.475101706,0.0,45.7167443284,116.121671968,1276.89279853,0.0,18.2552919568,2581.16236392,18.363056132,1111.90175931,128.288402636,91.7325519961,36.6814166904,0.0,18.393443955,42.8841810454,18.3270545197,36.6261874221,30.6583492421,18.3548059651,18.4045203912,18.3270545197,3160.19806791,67.4955285874,55.2970915233,128.42705904,61.2630724559,0.0,128.42705904,55.3640979959,67.4955285874,42.7347766904,36.7536984028,171.534018802,48.8871359695,244.02486134,18.3878546619,0.0,27.5527107296,0.0,0.0,18.2552919568,256.336052181,30.5916320478,61.2947954628,0.0,48.8852576803,18.3548059651,42.7732746056
2009-10-25,8.687808583,0.0192266836626,0.0206076056936,0.0818992989165,30.6615677289,27.6600359295,36.7817786728,18.5348779223,0.0,0.0,0.0,18.3454887436,18.2632955988,723.047021148,27.4156763734,177.334776995,373.708390242,18.3290490933,496.304213068,0.0,18.3213973188,116.566961343,496.304213068,18.5968734304,48.9148733194,477.705702456,18.6137541022,18.3565950296,98.1046718801,54.9699369625,440.160626214,55.0494010951,122.538850752,0.0,18.3400906891,67.2140474224,18.1493648363,293.476487748,18.4985333278,0.0,54.3659211095,36.4990106299,18.3954388208,171.846309953,146.798994226,54.9699369625,0.0,18.4121866005,18.5489237566,18.6476075501,49.0570687574,0.0,79.6962440151,24.5064541932,5600.39801945,0.0,391.975824236,0.0,104.084247393,55.7737600253,373.708390242,24.4693501024,64.6232492498,128.418375614,85.9259327379,67.3153849743,1311.51207767,6806.126856,0.0,18.1603444884,27.4682228552,46.2503983121,454.12101941,54.7209869684,27.4156763734,1829.85457736,24.5064541932,158.926765292,0.0,397.755763896,55.2012218737,0.0,18.387084418,30.6282851303,18.6250249191,0.0,18.2192610978,164.929480443,362.185032331,18.4960817399,18.5185000927,324.756919228,171.192673123,48.8942427945,18.5097022909,135.127858575,18.4066206432,36.7390891106,42.711646175,85.799826008,0.0,18.4904649523,36.6789302773,110.294813572,24.4803459652,0.0,116.474283477,18.3362646908,18.307647577,0.0,73.345096537,122.884494177,36.2548906271,42.8314503974,18.1329202291,287.984383862,0.0,0.0,3820.06265111,61.4591495421,37.1569627948,0.0,36.8075699382,171.846309953,18.3381987826,45.8290743361,30.5930421585,55.2218954389,55.4311642805,45.7958581168,30.6431023875,24.4933528898,128.319035262,36.6265271596,153.73400691,63.7550608702,1202.66202517,0.0,36.6836175955,0.0,27.4129782809,18.3787485319,18.4792416048,18.4512427539,195.656482621,18.5576040144,728.35287282,0.0,49.0570687574,104.084247393,1046.11354314,18.2275229192,0.0,2909.12565976,18.4680318738,1168.62911803,134.654869501,153.076394577,48.9108439341,0.0,0.0,67.4802426257,18.602496918,61.1141578006,67.5695013385,49.1481371746,18.3954988181,18.1383984527,3353.89525349,86.0057998922,36.2658404582,201.987393853,42.9556598822,24.4860296283,201.987393853,18.279921121,86.0057998922,48.9517249798,18.1493648363,214.667188046,97.8918851284,287.10178086,0.0,18.3020351721,36.5183126787,0.0,0.0,18.3381230978,262.84338813,30.6170849397,61.2995419523,18.1603444884,64.6232492498,0.0,97.9474942626
2009-11-01,7.865436995,0.0231149692137,0.024326233976,0.0842838397093,30.7293237209,18.3787495734,27.5321757547,24.5882985616,0.0,0.0,0.0,0.0,24.55483245,657.074953295,36.924872686,134.835793334,208.746813044,0.0,392.994206919,0.0,27.6448906531,196.706220099,392.994206919,18.4785803639,134.949670444,460.282673686,0.0,27.4849650438,147.477541974,36.8055124299,422.743576971,30.6532545893,177.912289601,27.7444543353,0.0,48.9691506581,18.3915997051,226.784663029,18.4175560665,0.0,46.1269146176,55.3214092754,18.4813831142,221.413847196,79.6777325663,36.8055124299,0.0,0.0,27.755641604,18.5855565611,55.3120734719,0.0,85.9576996276,27.7196785677,5080.18599685,0.0,294.617133728,18.3239307386,61.3122076236,24.5288930208,208.746813044,18.4457734943,67.4234485715,134.833910732,36.9020087586,91.9856127465,1375.53913798,6691.98753526,0.0,18.378090631,18.5237918716,46.1379891365,430.519434282,42.8982549708,36.924872686,1150.68964032,27.7196785677,135.053294705,0.0,374.124322629,30.7386266214,37.0300498277,18.3516271272,27.6448906531,0.0,0.0,18.3171993669,165.397329602,406.164225891,27.6797382738,18.3392949029,245.68388417,159.277926993,42.8797735832,27.6698840385,172.382502439,18.3836462812,61.3306578216,18.3756863801,178.103144211,18.3682851851,27.6322172805,18.4072718426,79.8166845983,49.0762931052,27.6142140603,86.0339236124,0.0,27.6950342505,18.3614438098,79.6481607344,104.6918864,27.6031440608,67.4068800361,0.0,202.646415994,0.0,0.0,3030.9563756,43.1662648883,18.4715484531,18.355901569,36.8118050231,221.413847196,18.37872257,27.617027714,42.9445326904,36.9618282901,24.512240667,73.5740368674,64.5150055266,18.546204203,110.100347262,30.6033911667,123.260496765,110.412462543,1033.645546,0.0,55.3073962907,0.0,18.5014336437,36.7588147362,18.3460811535,0.0,159.326010483,36.8317332002,637.943441956,18.4184413037,55.3120734719,61.3122076236,1115.8375794,18.3239307386,0.0,2626.97615358,36.8899617216,1121.89775718,134.932087285,153.177797515,30.6384491815,0.0,18.5293898746,67.6144732799,0.0,55.1211503286,43.0932769737,46.1406913001,18.3725383378,18.4617795683,3183.74629168,46.2538039652,30.7014420046,122.865224805,61.4142283823,27.5726739792,122.865224805,18.5014336437,46.2538039652,61.3770984393,30.764756389,153.637958583,67.4567867944,244.930245095,0.0,18.4659402781,24.5622917701,0.0,0.0,18.4145021601,226.677880007,55.2896330532,55.3589110968,18.378090631,67.4234485715,0.0,110.46273221
2009-11-08,5.748329844,0.0205371248025,0.0220040622884,0.0644324080343,24.5189023399,27.468539007,45.7696504363,18.4117546607,0.0,0.0,0.0,18.4061820957,64.2092171737,698.482186817,36.6726319643,158.978808813,300.122111636,0.0,318.573124489,18.3515972197,55.4729992575,141.068009104,318.573124489,18.4229099195,79.5693998934,422.487344482,0.0,61.1770300111,128.726895774,36.6914834282,354.534582218,36.6895702804,134.64875713,18.5078199463,0.0,24.433929318,18.3494108002,201.749387047,18.3427889419,0.0,30.6515288306,55.1171218203,18.3839255272,171.816139964,85.6108188746,36.6914834282,0.0,0.0,18.3627261446,18.3571599954,73.5088019223,0.0,27.5099247761,27.5492100009,4152.64337835,27.5571674039,275.558638965,18.2630491028,73.3848259341,45.9120780676,300.122111636,18.3068869659,48.9304675363,116.175231482,73.6124235102,67.2982983615,1053.97415625,6781.08986916,18.4073553025,0.0,18.2961543278,18.4012581845,337.421782737,36.6781328714,36.6726319643,1264.79808833,27.5492100009,73.2142594506,0.0,336.526694312,55.148064946,37.0943726424,18.3959573552,55.4729992575,0.0,0.0,18.2630491028,146.692344064,331.443704124,18.3460378143,18.3900545052,220.58101543,54.9984231786,85.560978733,18.4229099195,128.966561654,0.0,73.8744813107,36.6128992439,189.907934005,0.0,18.4290564757,0.0,67.3908179955,61.2101879257,18.3095340607,30.6569612499,18.345105775,18.4486311054,18.3617227186,110.013388192,110.597310409,24.4486563095,73.3644104549,0.0,183.806301325,0.0,18.4073553025,2675.00469187,42.9779057423,18.4127384008,0.0,55.2129170125,171.816139964,18.3182912356,27.4906961593,30.6032468308,79.7916838629,27.521757237,18.3962598502,42.8628251609,55.3388850254,115.967264135,42.726214747,98.3582772052,27.4885884847,1233.38254249,0.0,42.7795869458,18.4073553025,27.663101137,18.2961543278,24.5263706337,18.4966030858,116.123736685,18.2685583182,801.735309895,18.3571599954,73.5088019223,73.3848259341,1333.50195312,18.3678894236,0.0,1898.41513276,36.7799594721,917.550754632,97.9126903769,140.736997579,36.7024679154,18.3728174151,18.4909997525,42.9442188941,18.3127519882,55.2553924408,55.197816303,18.3876309013,18.2906284581,18.3872499171,2376.11514243,110.830887673,27.6184248229,171.4954994,36.8025837717,18.3985913921,171.4954994,46.069828286,110.830887673,48.9768686663,30.7165182816,196.282108103,61.1954242746,305.420017,0.0,18.4462950085,67.3316572973,0.0,0.0,18.2410454292,183.372615798,64.4068072643,55.1648912309,0.0,48.9304675363,18.3404817762,42.8479623437
2009-11-15,4.070418778,0.0121397656497,0.0126675815476,0.0423308350048,18.1653073065,18.0931809841,27.2215699007,0.0,0.0,36.2951969575,0.0,18.0764957722,18.1415102327,562.691935911,42.2695217804,78.5067452283,169.3841767,0.0,302.452291098,0.0,18.1534435235,127.164419401,302.452291098,0.0,90.5200908613,423.363787934,0.0,36.3241808288,90.8356231653,30.1982180189,241.455645344,36.2392234741,90.6712518664,36.3612082281,0.0,18.0630316835,18.1330408408,120.807223161,36.2081674145,0.0,18.1895173102,27.2121094215,36.3501896801,133.326618609,60.3962683066,30.1982180189,0.0,18.2115185407,18.1040837072,18.1259882247,66.5307523446,0.0,48.4127136576,18.1962321169,2960.77102434,0.0,193.491742847,0.0,60.3453580463,72.5026448742,169.3841767,18.217027167,27.1967717453,96.6044739623,84.8203467067,48.3377818402,659.757150278,6472.6418693,18.1013964952,18.1631564108,18.2446203617,27.2313633934,193.852590577,18.0713260166,42.2695217804,751.741668681,18.1962321169,72.5210906556,18.1479458119,217.535588349,27.1736699002,54.6258131914,18.1785366176,27.1655687341,0.0,0.0,0.0,90.4582671958,260.641785267,0.0,18.1620904144,193.601497477,90.541646031,72.4472620407,36.2629452774,187.987583616,0.0,36.275789581,48.2086369951,139.102286933,18.1475984787,0.0,0.0,30.2346329426,60.4582821266,0.0,36.3599556677,18.0739097454,36.4527459784,18.1415058196,84.4805114211,109.239952753,36.2220666431,42.2511948644,18.0986158475,193.617827083,0.0,18.0713260166,1922.08643144,30.3337504112,18.1095548719,18.1477722225,45.4394838079,133.326618609,18.0604331136,36.2410142552,36.1863025791,27.2351244786,18.1159642981,42.2620959163,45.4147637327,18.1095548719,72.3584034274,36.2585742409,163.77037357,42.2347974577,1314.97565254,0.0,54.2162770785,18.0713260166,0.0,0.0,18.1934880239,0.0,102.565548043,30.1817412622,682.915989132,18.2265253255,66.5307523446,60.3453580463,1292.68628681,0.0,0.0,1602.40272505,54.8002655269,622.101802109,126.846440182,108.717984084,42.2620827357,0.0,18.2005112765,27.2120513581,18.1095548719,18.1247937366,36.4361706029,18.0986158475,0.0,0.0,2075.03578407,36.3367906441,30.2730528483,133.055699546,48.502663038,0.0,133.055699546,36.4892407235,36.3367906441,36.1753190251,45.5149551358,181.873714773,48.339638884,211.137503056,0.0,0.0,30.2164106041,0.0,0.0,18.0656063169,78.4851470258,27.2637525049,48.4714907754,18.1631564108,27.1967717453,18.3000582844,66.5086648994
2009-11-22,2.495501838,0.0100978716794,0.0104085754233,0.0394593754855,20.8365320189,0.0,0.0,0.0,0.0,0.0,20.8113443103,20.7693167127,52.3634856117,502.02586681,48.6610047213,31.3879784625,174.288737846,20.7818434417,188.230505454,20.8934278891,31.2594727873,97.7004226265,188.230505454,20.8744281063,55.7004408776,320.466671567,21.0812454972,21.0494583357,69.7724102208,52.3313249908,69.5577454723,34.7841483163,118.418506324,20.8889338748,0.0,41.852843907,31.2153122108,62.6341589854,21.1387049792,0.0,41.8032107084,52.3128871316,0.0,118.751652673,62.3427273265,52.3313249908,0.0,0.0,0.0,20.8302293777,62.3680849884,0.0,55.7630997137,0.0,1876.17512828,20.8311805168,125.438517805,0.0,31.1777319373,20.9169501261,174.288737846,0.0,0.0,41.8275818968,20.8870907864,31.1932948304,467.237159656,7032.46345118,0.0,0.0,0.0,20.8470037278,139.682297169,31.367534859,48.6610047213,453.970311854,0.0,69.4077708668,0.0,222.8398198,41.9193187884,21.0481607633,20.9422312435,20.7881124745,0.0,0.0,0.0,76.536312053,223.504644951,0.0,21.0494583357,125.499676092,48.6902740109,31.354922892,21.1451087068,125.803955369,0.0,63.1483750071,52.1737074053,90.6421553613,0.0,21.0280009222,0.0,27.8878841525,62.3866086191,0.0,27.908985812,20.7683640453,0.0,20.8113443103,41.5680567092,104.843944846,20.7443085048,34.8051977205,0.0,83.6635887451,0.0,0.0,870.679688488,31.5371681852,20.8113443103,0.0,52.4864298201,118.751652673,0.0,0.0,0.0,31.5499594858,83.0446045494,20.7881124745,20.9012500267,41.6894088644,62.5482030073,20.891756551,63.0840144687,41.7078360681,984.706117437,0.0,20.765232507,0.0,20.7862174231,0.0,21.1836126984,20.868102522,55.6139402981,20.9116459934,515.361222479,0.0,62.3680849884,31.1777319373,1044.14322681,0.0,0.0,968.574958634,0.0,341.141173646,104.652990992,76.5321167914,62.7443902812,0.0,0.0,31.2688177038,41.676802451,62.2704152284,41.7696962396,0.0,0.0,0.0,973.198524076,55.9300116171,0.0,76.5949899613,62.6802836674,0.0,76.5949899613,27.8921847914,55.9300116171,20.8907505164,21.1900436676,62.7816545782,20.9169501261,208.545397458,0.0,20.9866532973,31.3864823372,0.0,0.0,31.3864766071,111.226067901,42.1752289071,41.9017048372,0.0,0.0,0.0,55.7358732556
2009-11-29,1.704774521,0.00492103456168,0.00560769054704,0.0265506981003,17.785267423,17.7532304501,23.6862164148,0.0,0.0,0.0,17.93877924,17.5707060367,23.6986450658,622.313597275,17.7316665768,35.4916567357,100.748407766,0.0,142.222306943,17.6665462515,17.7826486701,154.232161653,142.222306943,0.0,82.9216775635,438.320761012,17.9333596692,26.7256368474,35.5918853937,53.2814628911,136.007603364,29.5844250659,82.9249069145,0.0,0.0,0.0,26.6363036447,47.3293993292,35.1732142563,0.0,0.0,17.9225303458,0.0,41.5799044486,17.6600207677,53.2814628911,0.0,0.0,17.6772597422,17.6719013731,17.7771966664,0.0,23.7129796624,17.9442020874,1465.07557437,0.0,71.0780302508,0.0,94.7591018942,26.6443290011,100.748407766,0.0,17.7502905747,44.1646805183,23.754319426,53.2779165005,332.050664419,6986.51464671,0.0,0.0,17.713469696,0.0,53.4157434051,17.9009108882,17.7316665768,308.809609721,17.9442020874,77.0463683134,0.0,201.264066939,17.774509665,23.8156290653,17.7027747459,17.75011148,17.6505003421,17.734052875,17.8036723204,41.3420861378,166.204830564,17.6611943744,35.0990985129,77.0694339614,65.0778610736,17.8144055078,0.0,112.846327568,17.7769405482,17.846741459,26.432881847,94.8235138007,0.0,17.8579165908,17.9986114327,17.7825836682,53.2883982444,17.8413032978,35.6244295958,0.0,26.7035066061,0.0,70.9726237399,77.2635929934,26.6149062359,26.7741260585,0.0,88.8998833704,0.0,17.5813035675,888.382036011,47.5574083812,17.93877924,17.6398192526,17.798462268,41.5799044486,0.0,17.8200361616,26.6523705432,26.5930885621,17.7447553812,17.5866071282,0.0,17.93877924,41.3454891904,29.5256148764,107.031327392,23.6397186015,896.343533474,0.0,17.6653585319,0.0,17.9171205871,17.8221349543,17.8470771877,17.9877031834,41.3989400814,17.7530558167,520.997856286,17.6719013731,17.7771966664,94.7591018942,1076.94262272,17.9171205871,0.0,610.150227131,17.6505003421,366.958786059,71.0101384441,88.7928356044,17.5866071282,0.0,0.0,17.8709844295,0.0,17.7394025138,29.6847698196,0.0,17.7397081233,17.8524952439,780.00874617,35.6440034329,17.8601944123,41.4347166455,41.5028352585,17.863202078,41.4347166455,26.5367962114,35.6440034329,23.6880059955,17.8981339605,130.603974661,23.6736101027,165.445884738,0.0,0.0,44.5830869533,0.0,0.0,17.7554708132,76.8746637128,23.6914988859,44.2962126278,0.0,17.7502905747,17.8687691685,35.3654281144
2009-12-06,1.50273224,0.00380565774451,0.00405936826081,0.02194595966,35.9289520144,0.0,17.9482087485,35.4620938339,0.0,17.7235438351,0.0,35.4513607547,35.6775241787,694.196768487,17.8119435798,71.7928349941,130.459556287,17.7021385889,83.0532275787,0.0,17.9373802666,112.867508596,83.0532275787,17.9753372382,41.4731483238,397.319501334,23.7264260469,35.6452791079,26.7608402556,17.7364167071,100.633322591,23.688846412,47.4100033725,17.7149570377,0.0,17.6818254205,17.9373802666,23.6942278551,17.8243156172,0.0,36.0706190985,35.4042771779,17.7289032375,29.7263318605,41.4478878101,17.7364167071,0.0,0.0,0.0,0.0,59.3038026731,0.0,26.7419799549,17.8941966849,1123.77078816,17.7460840699,47.4420890785,0.0,53.3165833487,17.6615343687,130.459556287,0.0,17.7021385889,17.8135505189,0.0,23.6995564607,255.244441952,8253.45674436,0.0,17.7342658822,17.7460791871,17.7514681914,65.3303358722,17.7626038657,17.8119435798,309.169846055,17.8941966849,65.0555028608,17.7149570377,154.078466024,17.7273201336,0.0,0.0,17.9373802666,0.0,17.6615343687,35.8639418479,70.9864796529,202.05045176,0.0,0.0,44.3195907427,17.8001387242,47.3490874704,17.739631772,142.745063364,0.0,35.6486719373,17.7269595923,89.0066250132,0.0,17.761127842,0.0,17.739631772,41.4800513894,0.0,44.6755005905,35.8639418479,29.7372071498,0.0,76.9249255808,89.224153928,35.5734974967,0.0,17.6988963333,65.2673673637,0.0,17.6807849839,640.275282998,53.5123045661,17.7794924004,0.0,35.4685317644,29.7263318605,17.6445636612,17.8270369611,17.8145384465,17.8865346111,0.0,0.0,17.7235438351,0.0,41.3676746819,53.7149192266,160.736575622,47.3491197608,933.336770951,0.0,0.0,0.0,0.0,17.750373299,0.0,17.8711831134,76.9660287896,17.650888477,486.001033578,17.9053901649,59.3038026731,53.3165833487,1273.58547264,0.0,0.0,658.318725083,17.7633145183,296.194240161,53.3146659682,106.674344143,0.0,0.0,17.8333711066,18.007999874,0.0,26.7082575913,0.0,0.0,17.6541653136,17.7128347452,674.363389976,41.6380778676,17.7139045633,59.2839984545,62.1787249783,0.0,59.2839984545,35.5825745126,41.6380778676,35.4192004637,17.7794924004,83.1505197936,26.727071421,189.292920593,0.0,0.0,17.9970991477,0.0,0.0,35.3615699678,59.2373642743,17.9916537319,26.5736684154,17.7342658822,17.7021385889,0.0,17.8432172786
