Metric,10.11,11.12,12.13,13.14,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.878,0.853,0.861,0.755,0.651,0.798,0.897,0.864
ARGO,,,0.871,0.914,0.928,0.811,0.769,0.852,0.913,0.904
ARGO_top10,,,0.83,0.933,0.933,0.786,0.72,0.82,0.893,0.899
ARGO_all_weighted1,,,0.84,0.926,0.936,0.735,0.761,0.811,0.889,0.901
ARGO_all_weighted2,,,0.896,0.916,0.922,0.779,0.798,0.861,0.923,0.911
ARGO_all_weighted_more_ar,,,0.897,0.916,0.924,0.778,0.791,0.858,0.924,0.912
ARGO_top10_weighted1,,,0.84,0.901,0.95,0.751,0.725,0.806,0.898,0.897
ARGO_top10_weighted2,,,0.905,0.928,0.923,0.779,0.798,0.862,0.926,0.919
ARGO_top10_weighted_more_ar,,,0.892,0.923,0.933,0.784,0.792,0.859,0.926,0.916
ARGO_obs_weight,,,0.854,0.923,0.933,0.798,0.776,0.852,0.907,0.903
ARGO_top10_obs,,,0.832,0.933,0.929,0.794,0.695,0.817,0.897,0.898
ARGO_top10_weighted2_obs,,,0.9,0.924,0.92,0.808,0.787,0.863,0.926,0.915
GFT,,,0.864,0.875,0.883,,,0.745,0.745,0.874
RMSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.675,0.501,0.926,0.687,2.488,1.087,0.61,0.701
ARGO,,,0.86,0.454,0.678,0.757,2.03,0.945,0.589,0.664
ARGO_top10,,,1.12,0.478,0.664,0.827,2.221,1.046,0.681,0.754
ARGO_all_weighted1,,,1.145,0.565,0.657,1.083,2.169,1.075,0.705,0.789
ARGO_all_weighted2,,,0.729,0.463,0.714,0.839,1.951,0.918,0.559,0.636
ARGO_all_weighted_more_ar,,,0.736,0.453,0.713,0.859,1.977,0.926,0.556,0.634
ARGO_top10_weighted1,,,1.081,0.62,0.59,1.051,2.265,1.085,0.677,0.764
ARGO_top10_weighted2,,,0.695,0.458,0.727,0.839,1.95,0.914,0.549,0.627
ARGO_top10_weighted_more_ar,,,0.745,0.454,0.686,0.852,1.975,0.922,0.548,0.628
ARGO_obs_weight,,,0.953,0.426,0.656,0.771,2.012,0.949,0.61,0.678
ARGO_top10_obs,,,1.074,0.455,0.681,0.776,2.302,1.057,0.661,0.736
ARGO_top10_weighted2_obs,,,0.697,0.437,0.728,0.76,1.979,0.911,0.545,0.621
GFT,,,2.74,0.55,1.158,,,1.467,1.467,1.483
MAPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.183,0.176,0.199,0.462,0.49,0.497,0.219,0.186
ARGO,,,0.208,0.182,0.197,0.454,0.43,0.515,0.242,0.196
ARGO_top10,,,0.209,0.193,0.176,0.511,0.522,0.515,0.231,0.193
ARGO_all_weighted1,,,0.263,0.245,0.185,0.676,0.476,0.585,0.252,0.231
ARGO_all_weighted2,,,0.187,0.182,0.179,0.514,0.4,0.524,0.208,0.183
ARGO_all_weighted_more_ar,,,0.194,0.172,0.178,0.53,0.411,0.509,0.204,0.181
ARGO_top10_weighted1,,,0.226,0.245,0.182,0.621,0.485,0.561,0.233,0.218
ARGO_top10_weighted2,,,0.193,0.17,0.187,0.514,0.4,0.522,0.203,0.183
ARGO_top10_weighted_more_ar,,,0.202,0.169,0.164,0.529,0.414,0.505,0.197,0.178
ARGO_obs_weight,,,0.214,0.167,0.193,0.438,0.425,0.51,0.236,0.191
ARGO_top10_obs,,,0.211,0.184,0.176,0.471,0.53,0.51,0.218,0.191
ARGO_top10_weighted2_obs,,,0.187,0.166,0.176,0.481,0.411,0.495,0.198,0.176
GFT,,,0.689,0.247,0.349,,,0.495,0.495,0.428
