Metric,10.11,11.12,12.13,13.14,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,0.864,0.875,0.883,,,0.745,0.745,0.874
AR52,,,0.878,0.853,0.861,0.755,0.651,0.798,0.897,0.864
ARGO,,,0.905,0.928,0.923,0.779,0.798,0.862,0.926,0.919
RMSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,2.74,0.55,1.158,,,1.467,1.467,1.483
AR52,,,0.675,0.501,0.926,0.687,2.488,1.087,0.61,0.701
ARGO,,,0.695,0.458,0.727,0.839,1.95,0.914,0.549,0.627
MAPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,0.689,0.247,0.349,,,0.495,0.495,0.428
AR52,,,0.183,0.176,0.199,0.462,0.49,0.497,0.219,0.186
ARGO,,,0.193,0.17,0.187,0.514,0.4,0.522,0.203,0.183
