Metric,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.883,,,0.892,0.892,0.892
AR52,0.861,0.755,0.651,0.764,0.875,0.707
ARGO(gt),0.903,0.8,0.73,0.819,0.907,0.775
"ARGO(gt,ath)",0.934,0.74,0.798,0.837,0.936,0.818
Net,0.925,0.791,0.781,0.853,0.931,0.817
ARGONet,0.948,0.751,0.782,0.856,0.948,0.819
RMSE,0.0,0.0,0.0,0.0,0.0,0.0
GFT,1.158,,,1.105,1.105,1.105
AR52,0.926,0.687,2.488,1.389,0.818,1.938
ARGO(gt),0.778,0.658,2.178,1.224,0.704,1.701
"ARGO(gt,ath)",0.66,1.056,1.925,1.171,0.623,1.548
Net,0.705,0.631,1.998,1.124,0.645,1.561
ARGONet,0.591,0.679,1.983,1.108,0.56,1.545
MAPE,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.349,,,0.429,0.429,0.429
AR52,0.199,0.462,0.49,0.725,0.236,0.607
ARGO(gt),0.214,0.439,0.461,0.732,0.245,0.597
"ARGO(gt,ath)",0.21,0.601,0.433,0.831,0.248,0.632
Net,0.187,0.409,0.453,0.569,0.229,0.511
ARGONet,0.183,0.433,0.438,0.569,0.23,0.504
