Metric,10.11,11.12,12.13,13.14,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.887,0.873,0.831,0.764,0.866,0.885,0.885,0.864
ARGO,,,0.851,0.926,0.917,0.9,0.976,0.908,0.895,0.898
ARGO_top10,,,0.856,0.957,0.925,0.9,0.97,0.914,0.905,0.913
ARGO_all_weighted1,,,0.838,0.949,0.877,0.813,0.947,0.897,0.891,0.888
ARGO_all_weighted2,,,0.822,0.955,0.922,0.912,0.962,0.907,0.897,0.9
ARGO_all_weighted_more_ar,,,0.89,0.961,0.932,0.839,0.931,0.931,0.931,0.928
ARGO_top10_weighted1,,,0.869,0.941,0.88,0.792,0.928,0.901,0.899,0.897
ARGO_top10_weighted2,,,0.82,0.958,0.927,0.907,0.961,0.908,0.897,0.902
ARGO_top10_weighted_more_ar,,,0.867,0.961,0.932,0.848,0.922,0.921,0.92,0.92
ARGO_obs_weight,,,0.848,0.923,0.911,0.907,0.975,0.904,0.89,0.894
ARGO_top10_obs,,,0.871,0.959,0.935,0.901,0.97,0.922,0.914,0.922
ARGO_top10_weighted2_obs,,,0.837,0.959,0.936,0.913,0.963,0.911,0.901,0.911
GFT,,,0.846,0.95,0.97,,,0.89,0.89,0.922
RMSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.601,0.249,0.782,0.289,0.398,0.428,0.489,0.544
ARGO,,,0.804,0.205,0.573,0.198,0.17,0.399,0.488,0.527
ARGO_top10,,,0.814,0.18,0.542,0.222,0.213,0.395,0.478,0.512
ARGO_all_weighted1,,,0.752,0.203,0.697,0.301,0.272,0.425,0.503,0.551
ARGO_all_weighted2,,,0.881,0.172,0.543,0.2,0.229,0.413,0.503,0.532
ARGO_all_weighted_more_ar,,,0.613,0.16,0.51,0.249,0.308,0.345,0.394,0.428
ARGO_top10_weighted1,,,0.734,0.21,0.672,0.321,0.314,0.422,0.49,0.539
ARGO_top10_weighted2,,,0.886,0.166,0.525,0.204,0.231,0.411,0.5,0.526
ARGO_top10_weighted_more_ar,,,0.702,0.172,0.511,0.262,0.32,0.371,0.427,0.462
ARGO_obs_weight,,,0.827,0.208,0.592,0.192,0.175,0.41,0.503,0.542
ARGO_top10_obs,,,0.771,0.172,0.506,0.216,0.21,0.374,0.451,0.483
ARGO_top10_weighted2_obs,,,0.898,0.167,0.495,0.194,0.226,0.408,0.498,0.52
GFT,,,0.854,0.344,0.575,,,0.526,0.526,0.591
MAPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.257,0.202,0.213,0.227,0.172,0.269,0.305,0.224
ARGO,,,0.349,0.221,0.268,0.178,0.119,0.285,0.345,0.279
ARGO_top10,,,0.335,0.183,0.261,0.154,0.128,0.246,0.301,0.26
ARGO_all_weighted1,,,0.357,0.213,0.309,0.218,0.166,0.276,0.327,0.293
ARGO_all_weighted2,,,0.331,0.174,0.264,0.145,0.144,0.242,0.295,0.257
ARGO_all_weighted_more_ar,,,0.301,0.15,0.253,0.183,0.152,0.242,0.284,0.235
ARGO_top10_weighted1,,,0.361,0.213,0.304,0.227,0.185,0.284,0.334,0.292
ARGO_top10_weighted2,,,0.342,0.174,0.258,0.132,0.14,0.239,0.298,0.258
ARGO_top10_weighted_more_ar,,,0.327,0.165,0.257,0.181,0.16,0.247,0.296,0.25
ARGO_obs_weight,,,0.282,0.228,0.283,0.176,0.114,0.273,0.335,0.264
ARGO_top10_obs,,,0.276,0.166,0.25,0.157,0.129,0.233,0.279,0.231
ARGO_top10_weighted2_obs,,,0.303,0.162,0.242,0.132,0.143,0.229,0.28,0.236
GFT,,,0.264,0.358,0.301,,,0.382,0.382,0.308
