Metric,10.11,11.12,12.13,13.14,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,0.846,0.95,0.97,,,0.89,0.89,0.922
AR52,,,0.887,0.873,0.831,0.764,0.866,0.885,0.885,0.864
ARGO,,,0.89,0.961,0.932,0.839,0.931,0.931,0.931,0.928
RMSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,0.854,0.344,0.575,,,0.526,0.526,0.591
AR52,,,0.601,0.249,0.782,0.289,0.398,0.428,0.489,0.544
ARGO,,,0.613,0.16,0.51,0.249,0.308,0.345,0.394,0.428
MAPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,0.264,0.358,0.301,,,0.382,0.382,0.308
AR52,,,0.257,0.202,0.213,0.227,0.172,0.269,0.305,0.224
ARGO,,,0.301,0.15,0.253,0.183,0.152,0.242,0.284,0.235
