Metric,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.97,,,0.971,0.971,0.971
AR52,0.831,0.764,0.866,0.863,0.851,0.865
ARGO(gt),0.946,0.855,0.947,0.948,0.951,0.948
"ARGO(gt,ath)",0.932,0.839,0.931,0.935,0.939,0.933
Net,0.927,0.91,0.958,0.936,0.933,0.947
ARGONet,0.941,0.897,0.932,0.943,0.948,0.938
RMSE,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.575,,,0.514,0.514,0.514
AR52,0.782,0.289,0.398,0.46,0.674,0.429
ARGO(gt),0.458,0.268,0.267,0.299,0.397,0.283
"ARGO(gt,ath)",0.51,0.249,0.308,0.323,0.441,0.316
Net,0.56,0.188,0.252,0.327,0.49,0.289
ARGONet,0.486,0.204,0.309,0.306,0.42,0.308
MAPE,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.301,,,0.397,0.397,0.397
AR52,0.213,0.227,0.172,0.207,0.202,0.189
ARGO(gt),0.215,0.189,0.152,0.19,0.207,0.171
"ARGO(gt,ath)",0.253,0.183,0.152,0.191,0.229,0.172
Net,0.199,0.164,0.132,0.191,0.25,0.161
ARGONet,0.191,0.172,0.14,0.166,0.184,0.153
