Metric,10.11,11.12,12.13,13.14,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.809,0.801,0.676,0.671,0.734,0.814,0.82,0.762
ARGO,,,0.835,0.874,0.823,0.743,0.801,0.852,0.866,0.844
ARGO_top10,,,0.836,0.812,0.833,0.69,0.781,0.831,0.848,0.827
ARGO_all_weighted1,,,0.828,0.813,0.845,0.711,0.767,0.817,0.828,0.829
ARGO_all_weighted2,,,0.806,0.85,0.854,0.717,0.777,0.835,0.853,0.837
ARGO_all_weighted_more_ar,,,0.79,0.827,0.847,0.731,0.76,0.824,0.839,0.821
ARGO_top10_weighted1,,,0.834,0.779,0.839,0.671,0.769,0.81,0.825,0.817
ARGO_top10_weighted2,,,0.823,0.835,0.839,0.709,0.779,0.833,0.851,0.832
ARGO_top10_weighted_more_ar,,,0.816,0.829,0.847,0.716,0.762,0.827,0.85,0.831
ARGO_obs_weight,,,0.851,0.86,0.809,0.74,0.799,0.854,0.868,0.84
ARGO_top10_obs,,,0.844,0.834,0.827,0.709,0.768,0.838,0.861,0.835
ARGO_top10_weighted2_obs,,,0.815,0.861,0.843,0.726,0.773,0.839,0.862,0.839
GFT,,,0.85,0.947,0.822,,,0.83,0.83,0.873
RMSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.709,0.752,0.372,0.648,0.901,0.62,0.553,0.611
ARGO,,,0.721,0.59,0.417,0.582,0.843,0.575,0.514,0.576
ARGO_top10,,,0.732,0.747,0.392,0.64,0.909,0.627,0.563,0.624
ARGO_all_weighted1,,,0.721,0.72,0.574,0.62,0.932,0.643,0.585,0.671
ARGO_all_weighted2,,,0.749,0.66,0.402,0.619,0.957,0.618,0.535,0.604
ARGO_all_weighted_more_ar,,,0.759,0.697,0.392,0.605,0.97,0.626,0.547,0.616
ARGO_top10_weighted1,,,0.73,0.819,0.555,0.667,0.925,0.666,0.614,0.701
ARGO_top10_weighted2,,,0.736,0.686,0.424,0.634,0.933,0.62,0.544,0.615
ARGO_top10_weighted_more_ar,,,0.719,0.704,0.383,0.628,0.962,0.621,0.536,0.602
ARGO_obs_weight,,,0.694,0.627,0.389,0.575,0.866,0.577,0.511,0.57
ARGO_top10_obs,,,0.71,0.741,0.361,0.617,0.966,0.627,0.548,0.604
ARGO_top10_weighted2_obs,,,0.775,0.647,0.383,0.609,0.974,0.621,0.536,0.601
GFT,,,1.758,0.538,0.278,,,0.932,0.932,0.858
MAPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.584,0.805,0.533,0.525,0.322,0.625,0.677,0.641
ARGO,,,0.7,0.6,0.51,0.559,0.321,0.642,0.685,0.603
ARGO_top10,,,0.823,0.813,0.496,0.598,0.302,0.704,0.79,0.711
ARGO_all_weighted1,,,0.801,0.584,0.527,0.629,0.359,0.699,0.747,0.637
ARGO_all_weighted2,,,0.77,0.606,0.454,0.577,0.316,0.606,0.652,0.61
ARGO_all_weighted_more_ar,,,0.677,0.633,0.506,0.568,0.32,0.588,0.623,0.605
ARGO_top10_weighted1,,,0.947,0.659,0.484,0.637,0.315,0.701,0.735,0.697
ARGO_top10_weighted2,,,0.823,0.631,0.508,0.578,0.303,0.622,0.679,0.654
ARGO_top10_weighted_more_ar,,,0.806,0.642,0.489,0.562,0.306,0.61,0.656,0.646
ARGO_obs_weight,,,0.599,0.621,0.548,0.551,0.346,0.626,0.664,0.589
ARGO_top10_obs,,,0.692,0.823,0.492,0.575,0.321,0.676,0.746,0.669
ARGO_top10_weighted2_obs,,,0.836,0.462,0.478,0.554,0.317,0.579,0.613,0.592
GFT,,,1.529,1.027,0.511,,,1.379,1.379,1.022
