Metric,10.11,11.12,12.13,13.14,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,0.85,0.947,0.822,,,0.83,0.83,0.873
AR52,,,0.809,0.801,0.676,0.671,0.734,0.814,0.82,0.762
ARGO,,,0.835,0.874,0.823,0.743,0.801,0.852,0.866,0.844
RMSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,1.758,0.538,0.278,,,0.932,0.932,0.858
AR52,,,0.709,0.752,0.372,0.648,0.901,0.62,0.553,0.611
ARGO,,,0.721,0.59,0.417,0.582,0.843,0.575,0.514,0.576
MAPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,1.529,1.027,0.511,,,1.379,1.379,1.022
AR52,,,0.584,0.805,0.533,0.525,0.322,0.625,0.677,0.641
ARGO,,,0.7,0.6,0.51,0.559,0.321,0.642,0.685,0.603
