Metric,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.822,,,0.772,0.772,0.772
AR52,0.676,0.671,0.734,0.801,0.761,0.768
ARGO(gt),0.814,0.711,0.758,0.817,0.856,0.787
"ARGO(gt,ath)",0.854,0.732,0.794,0.82,0.862,0.807
Net,0.793,0.748,0.753,0.812,0.844,0.783
ARGONet,0.779,0.75,0.745,0.802,0.825,0.774
RMSE,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.278,,,0.332,0.332,0.332
AR52,0.372,0.648,0.901,0.618,0.339,0.759
ARGO(gt),0.288,0.611,0.916,0.601,0.266,0.758
"ARGO(gt,ath)",0.54,0.592,0.872,0.626,0.493,0.749
Net,0.461,0.599,0.871,0.607,0.417,0.739
ARGONet,0.503,0.592,0.932,0.639,0.455,0.786
MAPE,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.511,,,1.209,1.209,1.209
AR52,0.533,0.525,0.322,0.555,0.593,0.439
ARGO(gt),0.454,0.531,0.326,0.534,0.549,0.43
"ARGO(gt,ath)",0.518,0.585,0.357,0.6,0.714,0.478
Net,0.545,0.488,0.311,0.483,0.524,0.397
ARGONet,0.57,0.471,0.353,0.521,0.578,0.437
