Week,PA,athena_flu,athena_ILI,athena_viral,thermoscan,how long is the flu contagious,how contagious is the flu,what to do if you have the flu,influenza b symptoms,sinus infection cure,robitussin cough,strep,fever and cough,signs of flu,flu fever,flu how long,how to reduce fever,braun thermoscan,sinus infections,how long flu,upper respiratory,strep throat,intestinal flu,ear thermometer,how long does flu last,cold or flu,the flu symptoms,expectorant,how long contagious,how to get rid of the flu,treat flu,tylenol sinus,flu in children,how long does it take to get over the flu,over the counter flu,how to treat flu,contagious flu,flu care,flu or cold,can adults get rsv,rsv in adults,influenza a symptoms,fever cough,signs of rsv,oscillococcinum,type a influenza,flu symptoms,flu incubation,cold and flu,acute bronchitis,fever flu,what to eat when you have the flu,type a flu,tamiflu side effects,flu shot symptoms,symptoms of flu,cold,type b flu,medicine for flu,flu children,treatment for flu,cough and fever,flu shots,influenza type a,high fever,symptoms of rsv,flu cold,flu remedies,dangerous fever,do i have the flu,flu treatment,body temperature,biaxin side effects,flu incubation period,flu test,symptoms of bronchitis,robitussin,rsv treatment,influenza symptoms,tamiflu dosage,walking pneumonia,oscillo,how to treat the flu,incubation period for flu,clarithromycin,the flu virus,tessalon,when is the flu contagious,symptoms of pneumonia,stomach flu,tussin,how long does the flu last,treating the flu,flu virus,rsv baby,flu shot,chest cold,remedies for flu,rsv infection,flu like symptoms,flu contagious,symptoms of influenza,flu while pregnant,is the flu contagious,flu contagious period,incubation period for the flu,what is influenza,rsv,tussionex,pneumonia,is rsv contagious,signs of the flu,how long are you contagious with the flu,flu a symptoms,fever reducer,bronchitis,cough fever,flu and cold,sinus,how to break a fever,the flu,flu a,normal body temperature,gripe,flu duration,rsv symptoms,oseltamivir,how long is flu contagious,home remedies for flu,flu a and b,flu vaccine,cold vs flu,a influenza,human temperature,influenza a,influenza b,flu vs cold,cure flu,how to get rid of flu,normal body,flu medicine,cold symptoms,rsv infant,tamiflu wiki,stomach flu symptoms,how long does rsv last,how long is rsv contagious,treat the flu,symptoms of the flu,early flu symptoms,flu headache,flu type b,flu type a,what is rsv,is flu contagious
2009-10-04,6.109366824,0.00609936055091,0.00698475159862,0.0178061977373,0.0,41.6149509198,41.6775503028,41.6021743308,0.0,42.1219772239,0.0,613.901407807,41.6652408907,83.6151232978,195.104754694,279.132597822,0.0,41.7535414315,153.427586002,279.132597822,55.7533029434,459.8162055,41.9932849469,0.0,69.8801053412,42.1219772239,362.684484812,55.8711377983,69.7115340768,0.0,41.8860588629,0.0,153.474302567,42.0713041685,0.0,62.9202686627,104.739173029,124.864165054,42.1219772239,0.0,0.0,0.0,55.7196203005,0.0,41.8160349185,62.8265186149,5105.23444422,209.109627349,111.556943316,41.5898514319,195.104754694,41.5647822026,111.535882498,104.843954013,83.6450063722,1227.21031473,6964.65433286,0.0,0.0,236.522829329,69.589954319,41.6652408907,2005.64224015,62.8265186149,55.8373940924,0.0,321.256122216,97.5566234869,0.0,0.0,139.887175576,419.34869704,0.0,125.591034785,181.512756327,55.8332241312,153.17966005,0.0,0.0,104.518574538,153.419187619,41.5898514319,0.0,42.1473595542,41.5773130383,83.7018641985,41.9489519615,0.0,83.602742234,153.280580735,41.6210510921,0.0,0.0,195.450094397,41.6648470851,2951.42082736,41.9256641086,0.0,0.0,41.923662464,104.739173029,0.0,83.2420568034,41.8793541719,0.0,42.0567880058,0.0,104.818931964,83.2544415867,1170.56649766,0.0,41.9045328996,0.0,139.255083206,0.0,543.834871409,55.7196203005,111.556943316,1410.69086393,0.0,2008.59599887,1032.67211453,83.7420581297,111.733839034,84.3201243884,0.0,83.3799381824,41.728274538,41.6023973901,41.4897555199,2271.58394145,62.803444789,125.603585363,125.783103524,125.603585363,41.6275120278,62.803444789,41.7409041611,0.0,125.536486834,83.6320165703,223.004701571,0.0,0.0,83.7526871651,0.0,0.0,0.0,294.165684568,41.8676221458,125.732505665,0.0,111.535882498,0.0,41.8328940999
2009-10-11,6.932111143,0.0145611568588,0.0168708576019,0.0382606949187,42.1894057495,63.2490411116,63.1726145541,42.1191917954,0.0,41.8850706189,41.99428942,770.939241317,42.0813641308,231.395741185,280.153048831,364.632640567,0.0,42.2665169233,140.228728413,364.632640567,98.2008653058,504.193001909,42.0499225468,42.2084872675,182.604249138,104.914001913,588.972657649,42.3686407939,182.193380759,41.9600703697,104.937382491,42.1507335748,224.382720602,0.0,0.0,42.0117647224,224.225553078,167.717157382,104.914001913,0.0,0.0,0.0,98.0105156654,0.0,62.9662796335,42.1125600258,7203.90938718,392.435486472,42.1443692804,41.9225482627,280.153048831,0.0,84.077187131,112.057938458,112.074842646,1794.14849691,7969.55131165,0.0,41.9542615305,447.65889667,55.9320991355,42.0813641308,2267.84378038,42.1125600258,62.9407766506,0.0,280.889937558,62.8522790235,0.0,0.0,168.578126953,393.354700335,42.2792554758,406.876021074,210.402533176,84.3403479879,315.517871151,41.9094855953,70.0298304892,41.8598234395,112.150853092,0.0,0.0,182.138443428,63.1594190648,42.0745842285,62.8964668058,41.8338367043,140.224983342,83.9380619125,41.9474127316,63.0106166334,0.0,182.362716526,0.0,2910.94830473,42.2404363835,63.2738729708,0.0,56.0627701069,224.225553078,41.8598234395,41.8716269814,70.119174482,42.2335888001,63.2425495898,0.0,154.344478755,56.1306550971,1471.17827958,0.0,98.154201349,42.2920017089,223.875425671,41.8977056326,798.951205654,98.0105156654,42.1443692804,1347.82215041,42.2537860447,3042.97514826,1205.70206493,98.142428215,70.1906067127,42.0450430224,0.0,41.9099057549,56.1432503928,0.0,0.0,2772.9988293,63.2802604394,168.34471349,98.1922599927,168.34471349,42.3047556298,63.2802604394,42.1316560445,42.2537860447,252.417443115,105.310152678,308.239600585,0.0,41.8094202806,69.9919981671,0.0,0.0,0.0,422.063367214,42.1380827895,112.011727542,0.0,84.077187131,42.3302865626,126.147795741
2009-10-18,8.532581661,0.0306903069031,0.0342003420034,0.0617406174062,97.2458785944,41.7817794684,41.8826103088,41.6266135897,0.0,41.4636668939,41.6119867845,916.056753861,0.0,291.124889578,457.508236118,499.65310177,41.6622997712,103.904394797,152.668731725,499.65310177,194.197871675,360.397150811,41.5945934046,62.6571814654,97.3336403561,124.424024717,873.915631923,83.4691085076,249.721547898,41.5637904481,166.221029055,41.5763399018,402.500312344,0.0,83.0774285096,111.11513107,457.604409186,194.584496621,124.424024717,0.0,0.0,41.6597458556,83.1498952809,0.0,97.1868336631,83.3683657836,9933.46130288,554.808686302,124.87957732,41.501156647,457.508236118,124.219658242,166.450300735,221.727651826,110.855460735,2718.27333141,7511.55167738,41.6496333963,83.0453104813,636.961302995,83.1166960936,0.0,2576.46049956,83.3683657836,277.745185028,41.651796054,375.179716417,55.4736923016,41.6747500307,97.1532135487,250.363655184,333.975167438,0.0,527.659582214,180.491609831,55.5448885791,207.807952808,41.5387142548,97.0611561632,138.477638387,180.36581622,41.4315265426,83.236598018,166.425243063,41.6621784529,138.456807171,83.7652206175,0.0,208.053689546,96.9277258669,41.3852229946,69.5151159023,41.5763399018,486.101726686,0.0,4522.50663056,62.6027451726,41.6140337729,0.0,69.3473591215,457.604409186,0.0,41.611967897,41.7732034332,125.432609226,62.2871100079,83.1205895057,69.3725734756,55.5282441225,1580.85823542,0.0,82.9951962865,41.4190358804,221.552413213,41.8952483927,985.050238013,83.1498952809,124.87957732,1709.04089767,41.8195340884,4164.0226201,1860.17861675,166.719633927,62.3247154161,82.7382969077,41.4013342618,41.6377231862,55.5659117312,41.5763399018,0.0,3950.60980031,41.7793172108,277.66134375,83.4828672089,277.66134375,62.5712421487,41.7793172108,41.5261875014,62.5462448155,222.150484912,250.184432428,263.545147267,0.0,41.5833934826,83.2316472226,0.0,0.0,55.5197096343,459.508717554,97.3803468819,69.3474621275,41.6496333963,166.450300735,0.0,138.665756875
2009-10-25,8.955901427,0.0416446557493,0.0439337911604,0.0751012502201,41.2478564136,54.9097956084,123.479706732,61.5788155386,0.0,0.0,41.2229783337,769.091068234,61.7833571553,343.017557687,631.154622126,878.785574209,0.0,41.3852243883,308.699210597,878.785574209,123.537181313,603.669167049,0.0,82.5323403643,275.22382715,82.3446745286,1057.24792096,61.8082497254,233.405697844,41.0475804658,178.170480038,41.2105505441,357.134167106,0.0,103.287257195,96.1714898614,384.271040358,151.073480704,82.3446745286,0.0,0.0,41.2513055028,164.575333763,0.0,68.698095179,61.8208278979,10190.0393682,672.471352773,151.010393387,61.7231528058,631.154622126,0.0,61.6983407108,274.377946246,233.190624556,2992.8054094,6457.59743841,0.0,41.0104557322,616.372552654,143.647374458,61.7833571553,2125.04386639,61.8208278979,206.15190668,41.2603067174,522.500707945,150.952458934,41.1694471405,82.5455290789,316.656688406,495.618127805,41.1220319419,604.783622533,343.535732515,123.682155233,150.803584171,0.0,82.5150567053,68.5986408294,219.828553,0.0,68.6235799515,192.061092865,123.380414067,82.1929117001,41.1914125024,0.0,137.15209126,164.459965045,82.1346487197,137.628755322,41.3852243883,467.238701416,0.0,4311.30450892,151.272196877,96.3254202812,0.0,68.6938793014,384.271040358,41.0228231797,41.1508988729,123.533519027,206.897324499,82.7589297998,61.696409536,82.457742666,41.1103530721,1908.15001112,0.0,41.2796651654,41.1350772034,466.013565853,41.1412684862,782.541996887,164.575333763,151.010393387,1333.95528129,0.0,4600.96750548,1772.2919714,164.634457169,82.463273298,54.9427684514,41.1679643276,41.3794648999,151.221988569,82.245336837,0.0,4060.09445489,137.409004773,370.983822402,68.7020905776,370.983822402,61.923635314,137.409004773,68.7479213239,61.8102819316,260.916886298,164.666428639,384.271429807,41.3544697535,0.0,102.831505401,0.0,0.0,61.760376534,702.98935945,137.954209013,109.831504931,0.0,61.6983407108,0.0,274.643325578
2009-11-01,7.449429461,0.0287507961059,0.0301155490856,0.0508597943772,122.511676989,40.8372256631,61.1479178348,0.0,0.0,81.4285145487,82.3954564862,845.676808908,40.6771509907,163.606448135,272.695221735,859.553913179,0.0,61.2590730328,191.013403908,859.553913179,102.410489756,708.97664579,0.0,61.2588348057,150.395401724,61.5737220744,627.727525764,82.694171132,163.73403608,41.0532257263,61.3979876752,40.9355607229,327.637696832,0.0,41.2598291298,102.561879654,203.772946241,109.283071999,61.5737220744,0.0,0.0,0.0,61.0618805635,0.0,61.6139889034,0.0,5688.99090191,450.135427819,122.97419732,54.558790164,272.695221735,40.8122094455,40.9852089311,122.617646137,184.637412878,1364.24181639,6787.83591683,40.7629936367,68.2273566494,462.868093826,102.271958766,40.6771509907,1729.91618024,0.0,95.597301337,0.0,437.369047522,109.072382413,0.0,40.7998943552,218.804508578,328.343189164,0.0,273.053490023,205.241792935,82.057088034,163.499668397,0.0,81.9271426185,40.9729424331,204.739608725,0.0,41.1853304916,102.53721223,54.5505784532,54.4398544556,95.5066721565,0.0,163.594714454,81.7479598409,40.6528250869,81.9824679671,40.8745010965,273.094759749,0.0,3229.90297193,61.3577704092,81.8233194677,0.0,82.0074534659,203.772946241,0.0,41.0161648679,61.0496486717,0.0,0.0,40.7388283409,150.094584783,61.4377653926,1704.8613459,0.0,40.9396777445,0.0,95.3464948254,41.2971796088,873.031398467,61.0618805635,122.97419732,1653.16422023,40.579644461,2729.87448048,1269.30124051,68.2033198648,136.619438958,162.611836341,61.3883148477,81.7230884817,68.3717664018,81.4530782032,0.0,2972.30922593,54.5549238431,177.505453616,165.238579201,177.505453616,61.5829547017,54.5549238431,54.6247822047,81.4523192126,122.848128361,150.020351259,313.672235447,0.0,0.0,68.1000011749,0.0,0.0,61.5643552189,328.717602508,102.90357244,81.8164225835,40.7629936367,40.9852089311,0.0,54.6001045818
2009-11-08,4.485360282,0.0220333959095,0.0235154628989,0.041497875704,40.7193416427,0.0,40.5230447261,0.0,0.0,0.0,40.1971561377,875.697434857,80.7312482854,161.270257327,269.296843864,323.403971126,40.1366364808,81.0460894521,121.272174586,323.403971126,60.7984747939,578.974655504,0.0,40.5089940905,94.4956566228,60.5623206033,404.372428413,81.0914183817,134.701288431,40.1608224624,67.2635551807,40.3959134583,107.855596952,0.0,40.3187446318,80.7784062057,255.908372403,181.396478631,60.5623206033,0.0,0.0,0.0,80.7533493326,0.0,40.4458116619,40.3171220504,3759.73926885,269.463817352,67.3607852293,40.4967704954,269.296843864,0.0,40.3282234662,80.8183565993,80.6822629869,1064.13995116,6607.67328938,0.0,40.2943681235,161.369251328,67.1866145461,80.7312482854,1345.69915056,40.3171220504,134.872043752,0.0,242.959770275,60.5360046297,0.0,81.0686344527,121.598298068,364.696992452,0.0,215.678198574,107.928656823,80.9240850918,148.000512482,0.0,0.0,40.3282088003,134.737828497,0.0,0.0,60.5238427001,60.5238427001,100.810543477,121.169403773,0.0,107.843416443,161.203561139,40.484554275,94.5529364183,0.0,256.250349732,0.0,2243.43827206,40.4381450793,40.645507841,0.0,0.0,255.908372403,0.0,0.0,40.5896586382,80.8344947358,40.6070491443,40.6577948748,120.664245401,40.6823912419,1643.12748436,0.0,40.4967704954,0.0,188.259858235,40.4967704954,633.288247422,80.7533493326,67.3607852293,1538.21338061,0.0,2210.28531313,1078.40901418,94.3012665832,60.5927863756,81.1404458414,40.4377587029,0.0,40.571941311,81.2173825156,0.0,2261.49188523,81.2341307383,53.9357885484,40.3708050487,53.9357885484,40.540444843,81.2341307383,80.6863013031,40.359383578,148.390846869,80.8265150644,363.65018226,0.0,0.0,107.611784789,0.0,0.0,0.0,149.008784009,81.3371499526,80.7616785237,0.0,40.3282234662,0.0,80.8185382078
2009-11-15,3.379319955,0.0181911613566,0.0192189105858,0.0306269270298,0.0,0.0,0.0,0.0,39.9775808846,0.0,0.0,723.374162904,40.5953868008,53.5669011053,214.275677805,254.627215265,80.0758305916,40.7060344329,147.444377799,254.627215265,141.101944068,589.361241792,0.0,40.3873947711,107.441498833,60.3751321517,294.747880872,40.2662087297,60.0195562181,40.2838150439,0.0,40.5464029253,93.9223617206,0.0,0.0,0.0,80.5919010849,67.062005987,60.3751321517,0.0,0.0,0.0,80.3261388042,0.0,40.6444891737,0.0,2411.89847225,200.882284843,80.4190655711,0.0,214.275677805,0.0,0.0,53.5588666412,66.9324511069,656.283308182,7002.95264348,0.0,40.1453370105,200.616291874,80.1211311195,40.5953868008,1110.63670794,0.0,53.6639572494,40.1226900711,201.347373983,40.5831297395,60.4591290915,53.6153974582,100.407883356,295.626778727,0.0,147.586076774,53.664008583,40.3264085217,214.11835867,0.0,40.0137596908,59.9593172255,281.454598875,0.0,0.0,0.0,60.3810956258,39.9160729879,80.5505675856,0.0,93.7362337321,100.645830718,121.639208776,40.2061080323,40.5953868008,120.77436954,0.0,1922.98150911,120.981029624,40.0863141055,0.0,0.0,80.5919010849,40.0742034366,0.0,0.0,60.5261625976,0.0,81.0194850496,174.171575967,80.4677474565,1473.9177865,0.0,60.0497156069,0.0,93.6191836771,0.0,790.606997777,80.3261388042,80.4190655711,1234.82675991,40.1989904757,1568.32788908,643.572243728,53.5753451992,100.866199399,40.3082547858,0.0,40.2898699721,40.6322024478,0.0,0.0,1807.58210389,53.6276978388,141.142224078,121.712640233,141.142224078,40.0016928151,53.6276978388,60.4114110221,40.3446613081,80.3989382949,53.56695226,254.622800566,0.0,0.0,80.5190770779,0.0,0.0,40.0137596908,161.358321241,60.618805954,40.2475399732,0.0,0.0,0.0,40.2845514631
2009-11-22,2.261830311,0.0138698369151,0.0158512421887,0.02210028959,0.0,0.0,0.0,0.0,0.0,46.8765549283,46.8724970301,766.937587845,47.0322909911,46.8805994404,117.201498601,93.8770749378,0.0,0.0,109.532534339,93.8770749378,93.8603421425,406.48884591,47.1684470087,47.0038984219,94.0645819823,47.0118830627,140.801545507,70.4791171974,78.2402300792,46.941060702,0.0,46.8848452349,93.9290803144,0.0,0.0,0.0,46.8805994404,47.1319356754,47.0118830627,0.0,0.0,0.0,93.8661334971,0.0,46.8565502166,47.040271881,1737.07766942,125.112823862,46.8916564876,46.8916437019,117.201498601,0.0,0.0,46.8000625129,46.8986696176,359.933517536,5887.43753857,0.0,0.0,93.6793109875,93.3469236056,47.0322909911,328.353227811,47.040271881,62.6507513027,0.0,188.108611521,46.9159863663,0.0,0.0,70.6213412465,172.609539605,0.0,93.9745159329,46.9230765768,46.9762903648,124.999528616,0.0,117.346192972,0.0,187.76804898,0.0,0.0,93.7550223934,46.8947755192,0.0,46.901810249,0.0,172.108195774,140.435073864,46.9127914694,47.0264114707,0.0,47.0322909911,0.0,894.612882739,93.9510802242,47.2113274151,0.0,0.0,46.8805994404,46.9613737852,46.8906701209,0.0,0.0,47.0118830627,0.0,93.9622800655,93.7531098565,922.210298256,0.0,0.0,0.0,78.1082772003,0.0,594.516295443,93.8661334971,46.8916564876,1143.7859099,0.0,735.601821235,360.112755928,93.6891576575,46.9273518942,0.0,0.0,0.0,0.0,46.9977014992,0.0,1015.75280366,93.9398713962,141.078219562,47.0038984219,141.078219562,46.8282893299,93.9398713962,47.1541708444,0.0,62.6272563808,46.9089217793,140.811668364,0.0,0.0,93.7129055681,0.0,0.0,0.0,47.1234909614,47.1890652944,93.8440486419,0.0,0.0,0.0,46.9554279459
2009-11-29,1.400414938,0.00850228907783,0.00948332243296,0.017331589274,0.0,0.0,0.0,0.0,0.0,0.0,39.2464354105,870.321893711,39.9333538831,65.9144804684,145.008678323,224.25054413,0.0,0.0,145.147938684,224.25054413,39.4453988464,632.710170045,0.0,39.7890448906,39.9695800886,39.5978857934,92.3894025898,139.189210336,118.815936082,79.1001822426,39.1521213573,39.5381604754,39.9816701007,0.0,0.0,39.3174696827,59.390030885,39.5577240993,39.5978857934,0.0,0.0,0.0,59.4975772004,0.0,79.2676153469,0.0,1583.83541947,59.1413561724,118.684605759,78.563840867,145.008678323,0.0,0.0,39.2819204335,79.0942888604,356.438380368,7276.08405578,0.0,79.0286415291,59.2472126973,0.0,39.9333538831,460.978704635,0.0,39.3649688911,0.0,184.998096448,39.5630308515,39.9092395389,39.5262370253,39.7251684016,211.62511493,0.0,158.104948101,39.9454219864,118.959477059,184.404901109,0.0,79.3201428466,0.0,197.954402788,0.0,0.0,39.4156484399,158.248115878,79.1710721304,39.5381604754,0.0,79.181986834,78.9911121417,39.1874359586,59.6774951479,39.585926299,145.307482008,0.0,754.361758902,66.0421052544,0.0,0.0,59.0937241528,59.390030885,39.8370709322,0.0,39.2819204335,39.3887615589,39.6577918233,39.4006686815,131.980504593,0.0,1318.47496797,0.0,39.4215683911,0.0,117.774769878,0.0,593.548708414,59.4975772004,118.684605759,1572.21362307,0.0,725.800554783,356.234939266,158.110337975,66.053873056,59.3005880414,0.0,0.0,0.0,0.0,0.0,738.097526428,39.5870512804,196.765416664,52.8064039638,196.765416664,39.305612786,39.5870512804,39.305612786,39.621826474,263.789893654,39.6570869972,197.80726023,39.3649688911,0.0,0.0,0.0,0.0,0.0,40.1273228151,39.7178793867,0.0,0.0,0.0,0.0,39.6233016154
2009-12-06,1.31424344,0.0099310667134,0.0110994275032,0.0179927561631,38.6549538319,0.0,38.4876061224,0.0,0.0,38.8596461297,38.8596461297,942.577617771,38.9887479441,38.4180082813,115.993778662,167.877075654,38.3833036667,0.0,167.939036426,167.877075654,58.3888271861,503.256557263,77.1849539674,0.0,51.7708772906,76.9287576809,154.923037668,58.4181647282,115.982397371,0.0,58.0494543919,38.9121485652,38.8006597176,0.0,0.0,77.4734001304,38.7344797152,39.0713512237,76.9287576809,0.0,0.0,38.8474780099,38.6548836296,38.8592002422,77.7184004845,38.7893926972,1175.4260364,0.0,58.0085868584,77.2632828404,115.993778662,0.0,0.0,76.7434987822,38.5909266661,232.454166659,8479.53645538,0.0,0.0,135.277774354,0.0,38.9887479441,309.476802681,38.7893926972,97.347925019,0.0,129.3607661,0.0,38.9299591203,0.0,58.5066002681,310.735080369,38.5224996909,58.0844556192,38.9063016016,135.446767054,116.071191881,0.0,57.9270995158,38.4180082813,129.134406765,0.0,57.9562220252,0.0,38.6141777198,38.8479519841,77.4884243819,0.0,96.6696271408,96.6343707319,38.3833036667,0.0,0.0,116.280031513,0.0,712.705725071,58.3770624274,0.0,0.0,38.7074276681,38.7344797152,0.0,0.0,38.3602020696,39.0595293322,0.0,38.6840395284,167.849767266,38.7192309904,903.465892256,0.0,0.0,0.0,38.6200122977,0.0,607.011798651,38.6548836296,58.0085868584,1254.59548801,38.8830555551,529.765625068,180.901667192,77.1849539674,38.9179176799,38.3833036667,38.7189986779,0.0,0.0,0.0,0.0,412.993370286,38.9592150035,38.7734495777,38.923888539,38.7734495777,38.9769759792,38.9592150035,38.8357628477,39.0241065426,77.4807428038,0.0,309.798217417,0.0,0.0,51.6110433248,0.0,0.0,77.9069067248,90.8661657245,0.0,58.0029135089,0.0,0.0,38.9182226238,38.4295904363
