Metric,10.11,11.12,12.13,13.14,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.887,0.913,0.869,0.773,0.872,0.905,0.911,0.89
ARGO,,,0.925,0.95,0.941,0.834,0.951,0.932,0.935,0.939
ARGO_top10,,,0.926,0.939,0.949,0.839,0.956,0.938,0.944,0.938
ARGO_all_weighted1,,,0.95,0.87,0.95,0.909,0.961,0.934,0.937,0.923
ARGO_all_weighted2,,,0.931,0.942,0.949,0.898,0.957,0.942,0.944,0.94
ARGO_all_weighted_more_ar,,,0.938,0.894,0.945,0.9,0.957,0.94,0.942,0.926
ARGO_top10_weighted1,,,0.942,0.869,0.95,0.903,0.961,0.935,0.939,0.92
ARGO_top10_weighted2,,,0.931,0.94,0.95,0.89,0.957,0.943,0.947,0.941
ARGO_top10_weighted_more_ar,,,0.939,0.889,0.946,0.889,0.956,0.939,0.942,0.925
ARGO_obs_weight,,,0.916,0.954,0.947,0.833,0.949,0.933,0.936,0.939
ARGO_top10_obs,,,0.919,0.944,0.951,0.843,0.955,0.938,0.942,0.938
ARGO_top10_weighted2_obs,,,0.919,0.949,0.953,0.896,0.956,0.945,0.947,0.941
GFT,,,0.873,0.954,0.943,,,0.818,0.818,0.923
RMSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.632,0.325,0.806,0.443,0.619,0.504,0.52,0.587
ARGO,,,0.846,0.263,0.546,0.413,0.435,0.462,0.504,0.552
ARGO_top10,,,0.766,0.332,0.563,0.419,0.417,0.448,0.489,0.554
ARGO_all_weighted1,,,0.723,0.609,0.517,0.359,0.431,0.467,0.521,0.616
ARGO_all_weighted2,,,0.693,0.304,0.541,0.346,0.433,0.419,0.455,0.513
ARGO_all_weighted_more_ar,,,0.679,0.431,0.545,0.346,0.425,0.428,0.472,0.552
ARGO_top10_weighted1,,,0.713,0.585,0.552,0.361,0.432,0.467,0.522,0.617
ARGO_top10_weighted2,,,0.688,0.309,0.56,0.36,0.433,0.423,0.459,0.519
ARGO_top10_weighted_more_ar,,,0.674,0.44,0.572,0.36,0.431,0.436,0.479,0.562
ARGO_obs_weight,,,0.854,0.255,0.521,0.416,0.424,0.458,0.501,0.543
ARGO_top10_obs,,,0.828,0.299,0.534,0.41,0.411,0.453,0.499,0.554
ARGO_top10_weighted2_obs,,,0.688,0.272,0.537,0.342,0.419,0.41,0.446,0.499
GFT,,,1.377,0.35,1.003,,,0.841,0.841,0.91
MAPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.157,0.139,0.171,0.136,0.188,0.178,0.175,0.156
ARGO,,,0.211,0.157,0.159,0.144,0.181,0.184,0.187,0.175
ARGO_top10,,,0.172,0.196,0.143,0.145,0.176,0.18,0.187,0.171
ARGO_all_weighted1,,,0.177,0.304,0.117,0.135,0.2,0.201,0.212,0.199
ARGO_all_weighted2,,,0.167,0.182,0.145,0.124,0.192,0.181,0.188,0.165
ARGO_all_weighted_more_ar,,,0.167,0.273,0.127,0.128,0.187,0.189,0.203,0.189
ARGO_top10_weighted1,,,0.161,0.309,0.121,0.129,0.202,0.201,0.214,0.197
ARGO_top10_weighted2,,,0.172,0.186,0.145,0.125,0.192,0.183,0.192,0.168
ARGO_top10_weighted_more_ar,,,0.165,0.279,0.139,0.13,0.188,0.192,0.207,0.194
ARGO_obs_weight,,,0.209,0.152,0.15,0.147,0.168,0.182,0.188,0.17
ARGO_top10_obs,,,0.174,0.178,0.139,0.139,0.167,0.171,0.176,0.164
ARGO_top10_weighted2_obs,,,0.169,0.168,0.13,0.117,0.178,0.173,0.182,0.156
GFT,,,0.378,0.162,0.27,,,0.28,0.28,0.27
