Metric,10.11,11.12,12.13,13.14,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,0.873,0.954,0.943,,,0.818,0.818,0.923
AR52,,,0.887,0.913,0.869,0.773,0.872,0.905,0.911,0.89
ARGO,,,0.931,0.94,0.95,0.89,0.957,0.943,0.947,0.941
RMSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,1.377,0.35,1.003,,,0.841,0.841,0.91
AR52,,,0.632,0.325,0.806,0.443,0.619,0.504,0.52,0.587
ARGO,,,0.688,0.309,0.56,0.36,0.433,0.423,0.459,0.519
MAPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,0.378,0.162,0.27,,,0.28,0.28,0.27
AR52,,,0.157,0.139,0.171,0.136,0.188,0.178,0.175,0.156
ARGO,,,0.172,0.186,0.145,0.125,0.192,0.183,0.192,0.168
