Metric,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.943,,,0.95,0.95,0.95
AR52,0.869,0.773,0.872,0.889,0.89,0.88
ARGO(gt),0.923,0.762,0.891,0.914,0.935,0.902
"ARGO(gt,ath)",0.95,0.89,0.957,0.946,0.957,0.952
Net,0.971,0.908,0.907,0.948,0.974,0.928
ARGONet,0.963,0.905,0.935,0.954,0.968,0.944
RMSE,0.0,0.0,0.0,0.0,0.0,0.0
GFT,1.003,,,0.892,0.892,0.892
AR52,0.806,0.443,0.619,0.562,0.702,0.591
ARGO(gt),0.639,0.486,0.577,0.501,0.562,0.539
"ARGO(gt,ath)",0.56,0.36,0.433,0.406,0.488,0.419
Net,0.439,0.324,0.55,0.396,0.399,0.473
ARGONet,0.463,0.332,0.467,0.372,0.406,0.42
MAPE,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.27,,,0.302,0.302,0.302
AR52,0.171,0.136,0.188,0.182,0.179,0.185
ARGO(gt),0.199,0.161,0.221,0.19,0.187,0.205
"ARGO(gt,ath)",0.145,0.125,0.192,0.157,0.131,0.174
Net,0.115,0.107,0.172,0.141,0.132,0.157
ARGONet,0.118,0.112,0.162,0.131,0.11,0.147
