Week,RI,athena_flu,athena_ILI,athena_viral,strep,flu how long,how long flu,strep throat,expectorant,fever cough,flu symptoms,cold and flu,acute bronchitis,tamiflu side effects,symptoms of flu,cold,flu shots,high fever,body temperature,symptoms of bronchitis,robitussin,walking pneumonia,clarithromycin,tessalon,symptoms of pneumonia,stomach flu,tussin,how long does the flu last,rsv baby,flu shot,rsv,pneumonia,bronchitis,cough fever,sinus,the flu,normal body temperature,gripe,rsv symptoms,oseltamivir,flu vaccine,influenza a,influenza b,flu medicine,cold symptoms,symptoms of the flu
2009-10-04,1.887802919,0.00314630309386,0.00629260618773,0.0262191924489,672.17054598,401.666214494,401.666214494,605.465043962,0.0,402.881543433,2954.18509534,0.0,0.0,402.714744706,536.41579766,5913.96320998,2146.95561879,0.0,405.149586905,0.0,0.0,401.947902804,0.0,402.272961041,406.621520009,0.0,0.0,0.0,0.0,3228.95097375,0.0,1612.72764462,808.099367431,402.881543433,940.802671309,939.949600465,0.0,0.0,0.0,0.0,2686.05148479,0.0,0.0,0.0,537.670466736,401.888757691
2009-10-11,2.309574794,0.00361336946703,0.00813008130081,0.0241644083107,1246.08821017,411.980717737,411.980717737,410.385370762,0.0,0.0,4275.61959104,412.370906272,0.0,411.872723359,621.037959428,6625.85135633,1930.30139798,419.033708696,413.600236736,0.0,0.0,0.0,0.0,0.0,412.353326164,0.0,0.0,0.0,0.0,2625.78642031,412.104845702,1931.96666501,414.798195506,0.0,1105.1728259,1241.52494063,411.484952733,412.246247595,0.0,0.0,2069.62007243,0.0,0.0,0.0,412.246247595,418.274589658
2009-10-18,5.286183011,0.020897992965,0.0281398717153,0.0633147113594,770.116285527,642.354282922,642.354282922,385.580644802,385.390455542,0.0,7195.88527151,386.777076248,0.0,0.0,2052.68332532,7074.19372513,2825.67934014,386.076604634,386.917146842,0.0,0.0,386.309813093,0.0,0.0,386.578026587,386.193173657,0.0,0.0,0.0,5665.49145568,385.411174711,1028.17890183,1285.87171369,0.0,899.855218841,4369.20182735,0.0,0.0,0.0,385.750679712,4626.33462229,0.0,0.0,0.0,578.429369709,771.650081668
2009-10-25,9.368591473,0.0602996254682,0.0679775280899,0.132584269663,770.339314663,769.29134408,769.29134408,769.137449555,0.0,0.0,12823.8372129,0.0,0.0,767.113733978,4610.31013529,8214.98126471,3460.92419568,579.421323821,512.939768247,384.205762144,575.208612834,387.171212116,0.0,0.0,777.624529572,386.007487403,0.0,383.465904148,0.0,5911.70438331,387.638669058,1281.99890765,898.125253774,0.0,1027.27206672,5514.14215972,767.625236694,387.638669058,0.0,383.812618347,5256.88658152,513.908026508,0.0,383.325320435,1027.34839,1025.88009349
2009-11-01,12.73899033,0.0778741465215,0.0839638309651,0.132681306514,1671.3119468,1925.98368421,1925.98368421,1027.4264839,385.489388866,386.304377003,11301.6463052,769.054676607,0.0,1536.25117218,4232.50715743,7712.84586516,2054.46690898,386.143703611,643.069194748,0.0,386.444406434,385.364485647,386.783589425,386.211678697,388.316374494,385.735229534,0.0,384.909356683,0.0,4634.19715408,383.483687506,1670.0685109,1027.92971529,386.304377003,1413.26038629,6807.15690901,383.252533987,576.43872299,0.0,0.0,6549.10479667,772.375478417,0.0,384.411096666,385.677767746,642.874690069
2009-11-08,9.523809524,0.06589958159,0.0696652719665,0.100418410042,898.614211654,1151.02946809,1151.02946809,1025.38128259,0.0,386.235359165,7819.71171445,385.611260761,0.0,0.0,2816.49943456,6928.45278742,1153.4279648,387.330241816,1025.15064464,0.0,0.0,383.94691332,0.0,0.0,382.753935675,385.015455829,386.628980063,0.0,0.0,3211.28284132,0.0,1539.19377677,1282.36319779,386.235359165,1026.6970651,3460.93826408,0.0,0.0,0.0,385.611260761,2948.72582039,382.407969478,0.0,0.0,771.189654065,772.704304751
2009-11-15,5.414803775,0.0257166947723,0.0322512647555,0.0526981450253,1151.6067647,762.565000473,762.565000473,381.837360413,0.0,0.0,4209.61974148,761.699970446,387.435658667,0.0,1146.33413371,6639.21064564,765.015609168,773.231625913,382.893404509,0.0,383.983966335,381.512882286,0.0,0.0,0.0,385.915844677,383.105540052,380.045777109,0.0,2173.05643529,0.0,1787.34591261,1403.9894057,0.0,1660.77072407,2041.42415097,575.195506223,0.0,0.0,0.0,1658.84624012,0.0,0.0,0.0,638.28268176,383.479530608
2009-11-22,3.02340029,0.0158783783784,0.0202702702703,0.0402027027027,892.693565515,1342.44510725,1342.44510725,894.736012756,0.0,0.0,1636.71280945,0.0,0.0,0.0,444.915048164,7893.27555753,892.288485027,0.0,446.447626763,0.0,448.291868444,445.586922293,445.991021679,0.0,671.493582423,445.452385179,0.0,0.0,0.0,1639.50286043,447.616526671,893.276081691,891.562311783,0.0,744.292314618,669.492520528,444.646865495,445.991021679,0.0,0.0,1787.09553323,0.0,0.0,0.0,447.233297848,443.977821159
2009-11-29,2.372927059,0.00902659185167,0.0104903635033,0.0326909002196,936.764130594,0.0,0.0,934.280630757,0.0,0.0,1493.23887013,0.0,0.0,372.299642915,0.0,4981.96943153,621.902267047,0.0,373.042322626,0.0,0.0,374.28166589,0.0,0.0,376.128817954,0.0,0.0,0.0,0.0,1745.61283048,371.402265047,561.10949396,747.370875237,0.0,1121.82917229,622.089123624,0.0,0.0,0.0,0.0,497.823185512,0.0,0.0,0.0,0.0,0.0
2009-12-06,1.790750141,0.00461656835086,0.00795075660426,0.0256476019492,365.936002905,365.319557385,365.319557385,365.447443579,0.0,739.573825113,1466.4044452,0.0,0.0,0.0,366.500125809,7704.98508764,366.987549305,370.122269491,0.0,0.0,0.0,0.0,0.0,0.0,367.15300666,0.0,0.0,0.0,0.0,856.887162226,366.619704804,978.059125853,978.24251602,739.573825113,734.657575603,610.958911837,0.0,0.0,0.0,0.0,733.168966671,0.0,0.0,0.0,366.092603606,0.0
2009-12-13,1.03950104,0.00313129053903,0.00782822634757,0.025721315142,765.105837148,0.0,0.0,765.862992618,0.0,382.715385108,636.26877898,0.0,0.0,0.0,380.766193758,8279.21351832,382.931496309,383.626051623,383.361944643,0.0,0.0,0.0,0.0,0.0,382.585160919,0.0,0.0,0.0,0.0,637.654736208,0.0,954.413891478,636.652860302,382.715385108,1784.33865739,890.860767031,0.0,0.0,0.0,0.0,763.587693906,0.0,0.0,0.0,381.948220491,383.328572582
2009-12-20,0.955324529,0.00314218381775,0.00628436763551,0.0326001571092,682.280307809,514.717463922,514.717463922,508.940054245,0.0,0.0,851.76717277,505.710685586,0.0,0.0,0.0,9718.54684031,1017.41950722,1012.03324133,515.750607987,0.0,0.0,513.8858875,0.0,0.0,0.0,514.661213221,0.0,0.0,0.0,1031.09299702,0.0,1022.28668524,1019.66888335,0.0,1548.35607341,851.561791556,0.0,0.0,0.0,0.0,510.169566405,0.0,0.0,0.0,0.0,0.0
2009-12-27,0.853524229,0.002580169554,0.00479174345743,0.0324364172503,1009.32728357,505.289569448,505.289569448,1007.80321517,0.0,0.0,837.541722687,0.0,505.714484874,0.0,502.820335713,7879.43378135,501.274407839,504.644351441,1512.67452383,0.0,0.0,502.424083625,0.0,0.0,505.137190206,497.489610628,0.0,0.0,0.0,505.349020182,1010.27438041,1004.39458057,670.630210389,0.0,1846.04643853,753.029630589,504.83270727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503.882739079,0.0
2010-01-03,0.70455613,0.00154049295775,0.00506161971831,0.0206866197183,1014.77606586,1221.4159454,1221.4159454,607.945847453,0.0,0.0,945.574392943,0.0,0.0,0.0,405.17456552,8382.29785645,1485.23492951,406.178445974,810.151398123,404.566229166,405.235935581,407.630510321,0.0,0.0,407.015868417,0.0,0.0,0.0,0.0,541.659565372,403.469183049,1622.23868503,1621.91977139,0.0,2028.03442778,1216.07326544,807.229301106,0.0,0.0,0.0,1422.22528933,0.0,0.0,0.0,404.19988486,0.0
2010-01-10,0.557553957,0.000622665006227,0.00352843503528,0.0180572851806,1418.51857062,0.0,0.0,1212.34020905,406.78844865,0.0,405.56874132,0.0,0.0,0.0,0.0,8091.9598206,673.713785167,0.0,813.331991551,0.0,0.0,803.19198219,0.0,0.0,407.401820859,0.0,0.0,0.0,0.0,809.56748139,943.190831668,1011.2285327,539.483196107,0.0,1889.23305746,673.753848862,0.0,402.780284786,0.0,0.0,811.998943163,0.0,0.0,0.0,408.387073146,0.0
2010-01-17,0.722195474,0.000975847767748,0.00414735301293,0.0197609172969,600.731452105,399.844305008,399.844305008,534.96812045,401.783541621,400.931166604,802.59250443,0.0,0.0,0.0,806.127143976,7498.9925185,401.135360307,401.294768025,401.416115097,0.0,404.035102141,0.0,0.0,0.0,0.0,403.063571988,0.0,0.0,0.0,804.779247442,404.766828857,669.527576404,603.463105994,400.931166604,2545.37256157,803.687116145,0.0,0.0,0.0,0.0,399.764329818,0.0,0.0,0.0,404.156872816,401.723506418
2010-01-24,0.510546823,0.000502008032129,0.0035140562249,0.0193273092369,617.981260352,0.0,0.0,743.521013924,0.0,0.0,734.899044557,0.0,0.0,0.0,374.260935215,9643.66642839,368.809865759,374.599837359,0.0,0.0,369.733153397,0.0,0.0,0.0,0.0,367.782156125,0.0,0.0,0.0,369.006983166,1303.20767345,865.016840063,369.143832075,0.0,742.114683429,494.145493198,0.0,0.0,0.0,0.0,0.0,373.922645728,0.0,0.0,494.407120023,0.0
2010-01-31,0.662079709,0.000256673511294,0.00282340862423,0.0213039014374,837.350741486,357.616330143,357.616330143,358.111985032,0.0,0.0,0.0,0.0,0.0,0.0,357.508484446,7769.03840725,358.684414832,357.83221685,356.862773758,0.0,358.63041241,357.537335789,0.0,0.0,359.05278317,0.0,0.0,0.0,0.0,358.977930518,955.66066569,1074.80420481,359.009212305,0.0,1554.83632779,714.830309653,0.0,0.0,0.0,357.292988072,477.328682839,0.0,0.0,0.0,538.952941417,0.0
2010-02-07,0.596675664,0.0,0.00333055786844,0.0241465445462,886.864561691,0.0,0.0,886.647271287,0.0,0.0,532.0091726,353.247738815,0.0,0.0,355.121281751,6863.32246545,529.593295445,0.0,0.0,354.090635194,351.758588456,0.0,0.0,0.0,356.234689903,714.464375958,0.0,0.0,0.0,355.383643964,352.288984398,827.858184567,534.262241206,0.0,1537.98172627,357.12442563,0.0,0.0,355.481323489,0.0,0.0,0.0,0.0,0.0,357.340015383,0.0
2010-02-14,0.718984244,0.00189873417722,0.00411392405063,0.0237341772152,1505.33608154,0.0,0.0,563.606306864,377.048613626,0.0,1003.17599699,376.324686701,0.0,0.0,375.757932655,7280.1034523,0.0,0.0,502.157548532,0.0,377.433671582,0.0,375.675102551,0.0,379.261990911,376.060193511,0.0,0.0,0.0,0.0,0.0,753.529434583,563.289533291,0.0,1757.4906627,1505.2987468,0.0,0.0,0.0,0.0,375.675102551,376.665560512,0.0,376.551867315,376.551867315,0.0
2010-02-21,0.42835429,0.000525072197427,0.00288789708585,0.0189025991074,705.638990229,0.0,0.0,352.534938292,0.0,353.127596194,705.859742031,354.381970262,0.0,0.0,1065.01223187,6354.13304553,352.499386911,0.0,352.488451223,0.0,352.063638387,710.222076892,0.0,0.0,0.0,702.434154376,0.0,0.0,0.0,0.0,710.222076892,941.310818715,354.22125302,353.127596194,1529.20081823,1777.69764193,0.0,352.70124232,0.0,0.0,352.488451223,0.0,0.0,0.0,351.20473982,356.291879263
2010-02-28,0.343283582,0.00113122171946,0.0039592760181,0.0164027149321,607.619750799,365.306323913,365.306323913,969.714538116,365.526520612,0.0,363.957264079,0.0,0.0,0.0,363.745562559,8500.19242195,0.0,365.898191458,0.0,363.300103807,365.967711343,362.746902169,0.0,366.299303954,0.0,365.967711343,0.0,0.0,0.0,0.0,363.999078559,607.214834184,485.734895236,0.0,1093.09792969,0.0,362.863313781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366.078175488,0.0
2010-03-07,0.373295047,0.00027495188342,0.00192466318394,0.0162221611218,986.470624243,0.0,0.0,743.755896175,365.435347026,0.0,554.390462568,0.0,374.552326501,0.0,0.0,7402.92745105,0.0,371.352809923,0.0,371.12842756,372.859562145,369.779789741,743.37978531,0.0,0.0,371.96299572,0.0,0.0,0.0,0.0,365.986365341,986.396264415,370.079486509,0.0,1481.9607481,369.445079998,0.0,0.0,365.765758732,0.0,733.742918665,0.0,365.765758732,0.0,370.792361976,0.0
2010-03-14,0.304136253,0.00135795763172,0.00271591526344,0.0146659424226,513.553701845,0.0,0.0,384.518811923,0.0,0.0,768.731995317,385.211045235,0.0,0.0,0.0,7058.39302239,0.0,384.513409778,383.471681696,0.0,383.587150435,0.0,0.0,0.0,0.0,385.685236236,0.0,0.0,0.0,0.0,384.830067683,768.764652207,898.096225437,0.0,2436.81725571,384.481910203,384.524931674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384.250154983,0.0
2010-03-21,0.250156348,0.000579710144928,0.00347826086957,0.0171014492754,1240.83147344,0.0,0.0,744.099550642,372.354232715,0.0,496.016085845,372.997793869,0.0,0.0,743.506474479,5088.97409748,0.0,559.208617458,371.313577461,0.0,372.426296812,371.865244843,0.0,0.0,0.0,744.973407466,0.0,0.0,0.0,0.0,371.865244843,372.651191919,744.243168424,0.0,1489.17396112,744.627902042,371.761212876,0.0,0.0,0.0,0.0,0.0,0.0,372.885037583,372.339102344,0.0
2010-03-28,0.178603322,0.0,0.00277008310249,0.0148891966759,771.652032454,0.0,0.0,771.791471299,383.052420569,0.0,388.71900922,0.0,0.0,0.0,766.27181857,5785.67787391,0.0,385.569621957,387.899914379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384.754956291,1343.22562739,0.0,0.0,1156.95152061,768.813733529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,579.799113869
2010-04-04,0.109289617,0.0,0.00172761301468,0.0118053556003,1137.57900827,0.0,0.0,505.145493537,0.0,0.0,758.003134567,381.790560302,377.67461225,0.0,377.278274409,6069.28719215,0.0,0.0,376.421393326,0.0,380.18108489,0.0,0.0,0.0,377.788955154,0.0,0.0,0.0,0.0,0.0,0.0,758.080572357,884.603908403,0.0,1012.35187128,378.403969121,0.0,381.675145985,0.0,0.0,0.0,0.0,380.52482909,0.0,381.675145985,376.762354733
2010-04-11,0.14140635,0.000264900662252,0.00264900662252,0.0111258278146,848.251494017,360.771932996,360.771932996,1088.77047903,0.0,0.0,361.362395739,0.0,0.0,362.063671313,0.0,7269.50967317,0.0,0.0,0.0,0.0,361.199375746,0.0,0.0,362.173056108,0.0,722.850221814,0.0,0.0,0.0,0.0,0.0,605.829642884,726.856126016,0.0,1454.81324019,0.0,0.0,363.301498158,0.0,0.0,0.0,361.643362786,0.0,0.0,361.534203908,0.0
2010-04-18,0.15142338,0.00031746031746,0.00285714285714,0.0104761904762,639.038081783,0.0,0.0,385.735839117,0.0,0.0,381.386692259,381.616789811,0.0,0.0,0.0,5629.4273856,0.0,383.684684087,382.539963176,384.471851321,0.0,0.0,0.0,0.0,0.0,387.016966602,0.0,0.0,0.0,386.666725003,0.0,767.762206463,1347.01057894,0.0,1537.20093657,0.0,0.0,387.484943587,0.0,0.0,0.0,383.800776275,0.0,0.0,0.0,0.0
2010-04-25,0.086880973,0.0,0.00173310225303,0.0138648180243,731.758462556,0.0,0.0,487.507788216,0.0,0.0,367.006258243,0.0,364.804147661,0.0,0.0,7076.11947536,0.0,364.032192089,364.99012336,0.0,726.746222951,368.843822687,369.17832434,0.0,0.0,364.524452673,0.0,0.0,0.0,0.0,362.82569793,975.898234001,732.571944454,0.0,1220.81399238,365.733671304,0.0,362.279931236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-02,0.148942508,0.0,0.00308728599495,0.0123491439798,1881.49410168,0.0,0.0,1755.53641945,0.0,375.187351402,0.0,0.0,0.0,0.0,0.0,6152.82800199,0.0,373.696287133,565.38008397,0.0,373.019709667,372.457763735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.806164097,0.0,373.244963115,378.496945087,375.187351402,1004.9168525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.011214383,0.0
