Metric,10.11,11.12,12.13,13.14,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.877,0.82,0.873,0.832,-0.077,0.879,0.886,0.857
ARGO,,,0.967,0.925,0.964,0.951,-0.12,0.942,0.952,0.952
ARGO_top10,,,0.977,0.929,0.967,0.956,0.129,0.95,0.959,0.958
ARGO_all_weighted1,,,0.923,0.875,0.968,0.947,0.071,0.924,0.933,0.922
ARGO_all_weighted2,,,0.971,0.928,0.97,0.965,-0.045,0.951,0.959,0.956
ARGO_all_weighted_more_ar,,,0.971,0.916,0.97,0.958,0.042,0.952,0.961,0.952
ARGO_top10_weighted1,,,0.926,0.927,0.973,0.945,0.188,0.935,0.944,0.942
ARGO_top10_weighted2,,,0.971,0.93,0.971,0.965,0.334,0.952,0.959,0.957
ARGO_top10_weighted_more_ar,,,0.971,0.935,0.97,0.959,0.386,0.954,0.963,0.959
ARGO_obs_weight,,,0.968,0.925,0.963,0.95,-0.212,0.944,0.953,0.952
ARGO_top10_obs,,,0.973,0.923,0.967,0.957,0.056,0.95,0.958,0.954
ARGO_top10_weighted2_obs,,,0.969,0.926,0.969,0.962,0.224,0.953,0.961,0.955
GFT,,,0.922,0.874,0.937,,,0.799,0.799,0.911
RMSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.527,0.288,0.577,0.321,0.102,0.387,0.425,0.464
ARGO,,,0.365,0.197,0.359,0.176,0.142,0.274,0.286,0.307
ARGO_top10,,,0.32,0.186,0.338,0.169,0.088,0.256,0.263,0.281
ARGO_all_weighted1,,,0.473,0.273,0.348,0.179,0.104,0.313,0.333,0.365
ARGO_all_weighted2,,,0.375,0.193,0.313,0.148,0.089,0.258,0.27,0.294
ARGO_all_weighted_more_ar,,,0.341,0.223,0.298,0.167,0.098,0.254,0.262,0.287
ARGO_top10_weighted1,,,0.462,0.189,0.314,0.182,0.073,0.289,0.304,0.322
ARGO_top10_weighted2,,,0.366,0.189,0.311,0.147,0.072,0.254,0.266,0.288
ARGO_top10_weighted_more_ar,,,0.344,0.179,0.296,0.165,0.069,0.248,0.254,0.273
ARGO_obs_weight,,,0.362,0.193,0.356,0.177,0.157,0.27,0.282,0.304
ARGO_top10_obs,,,0.328,0.192,0.336,0.165,0.093,0.256,0.264,0.285
ARGO_top10_weighted2_obs,,,0.338,0.186,0.314,0.152,0.076,0.248,0.258,0.279
GFT,,,3.446,0.36,0.553,,,1.745,1.745,1.453
MAPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.344,0.452,0.542,0.629,0.46,0.731,0.738,0.446
ARGO,,,0.44,0.403,0.461,0.336,0.591,0.798,0.94,0.434
ARGO_top10,,,0.301,0.359,0.453,0.347,0.378,0.667,0.775,0.371
ARGO_all_weighted1,,,0.396,0.429,0.405,0.286,0.446,0.733,0.851,0.41
ARGO_all_weighted2,,,0.344,0.315,0.413,0.214,0.398,0.514,0.575,0.358
ARGO_all_weighted_more_ar,,,0.331,0.337,0.363,0.32,0.442,0.589,0.673,0.344
ARGO_top10_weighted1,,,0.343,0.368,0.385,0.31,0.291,0.658,0.751,0.365
ARGO_top10_weighted2,,,0.336,0.321,0.413,0.215,0.313,0.531,0.608,0.357
ARGO_top10_weighted_more_ar,,,0.313,0.294,0.368,0.31,0.302,0.558,0.644,0.325
ARGO_obs_weight,,,0.418,0.364,0.456,0.33,0.64,0.742,0.856,0.413
ARGO_top10_obs,,,0.303,0.339,0.459,0.302,0.397,0.627,0.73,0.367
ARGO_top10_weighted2_obs,,,0.315,0.317,0.424,0.222,0.34,0.565,0.652,0.352
GFT,,,1.8,0.556,1.457,,,1.583,1.583,1.271
