Metric,10.11,11.12,12.13,13.14,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,0.922,0.874,0.937,,,0.799,0.799,0.911
AR52,,,0.877,0.82,0.873,0.832,-0.077,0.879,0.886,0.857
ARGO,,,0.971,0.935,0.97,0.959,0.386,0.954,0.963,0.959
RMSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,3.446,0.36,0.553,,,1.745,1.745,1.453
AR52,,,0.527,0.288,0.577,0.321,0.102,0.387,0.425,0.464
ARGO,,,0.344,0.179,0.296,0.165,0.069,0.248,0.254,0.273
MAPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,1.8,0.556,1.457,,,1.583,1.583,1.271
AR52,,,0.344,0.452,0.542,0.629,0.46,0.731,0.738,0.446
ARGO,,,0.313,0.294,0.368,0.31,0.302,0.558,0.644,0.325
