Metric,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.937,,,0.942,0.942,0.942
AR52,0.873,0.832,-0.077,0.876,0.887,0.399
ARGO(gt),0.891,0.899,0.111,0.894,0.903,0.502
"ARGO(gt,ath)",0.97,0.959,0.386,0.956,0.974,0.671
Net,0.955,0.914,0.396,0.937,0.957,0.667
ARGONet,0.956,0.961,0.047,0.949,0.961,0.498
RMSE,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.553,,,0.494,0.494,0.494
AR52,0.577,0.321,0.102,0.398,0.514,0.25
ARGO(gt),0.545,0.242,0.148,0.371,0.486,0.259
"ARGO(gt,ath)",0.296,0.165,0.069,0.247,0.264,0.158
Net,0.369,0.234,0.172,0.29,0.332,0.231
ARGONet,0.342,0.158,0.134,0.259,0.305,0.196
MAPE,0.0,0.0,0.0,0.0,0.0,0.0
GFT,1.457,,,1.583,1.583,1.583
AR52,0.542,0.629,0.46,0.722,0.73,0.591
ARGO(gt),0.726,0.422,0.704,0.824,0.819,0.764
"ARGO(gt,ath)",0.368,0.31,0.302,0.424,0.489,0.363
Net,0.67,0.457,0.749,0.685,0.867,0.717
ARGONet,0.402,0.289,0.544,0.47,0.53,0.507
