Week,SC,athena_flu,athena_ILI,athena_viral,thermoscan,how long is the flu contagious,influenza b symptoms,strep,signs of flu,flu fever,flu how long,how long flu,upper respiratory,strep throat,how long does flu last,cold or flu,the flu symptoms,expectorant,how long contagious,how to get rid of the flu,contagious flu,flu care,rsv in adults,influenza a symptoms,fever cough,oscillococcinum,flu symptoms,flu incubation,cold and flu,acute bronchitis,fever flu,what to eat when you have the flu,type a flu,tamiflu side effects,symptoms of flu,cold,type b flu,flu children,treatment for flu,cough and fever,flu shots,high fever,symptoms of rsv,flu cold,flu remedies,do i have the flu,flu treatment,body temperature,flu incubation period,flu test,symptoms of bronchitis,robitussin,tamiflu dosage,walking pneumonia,how to treat the flu,incubation period for flu,clarithromycin,the flu virus,tessalon,symptoms of pneumonia,stomach flu,tussin,how long does the flu last,flu virus,rsv baby,flu shot,chest cold,rsv infection,flu like symptoms,flu contagious,is the flu contagious,flu contagious period,rsv,tussionex,pneumonia,signs of the flu,how long are you contagious with the flu,flu a symptoms,bronchitis,cough fever,flu and cold,sinus,how to break a fever,the flu,flu a,normal body temperature,gripe,rsv symptoms,oseltamivir,how long is flu contagious,home remedies for flu,flu vaccine,cold vs flu,human temperature,influenza a,influenza b,flu vs cold,normal body,flu medicine,cold symptoms,rsv infant,stomach flu symptoms,symptoms of the flu,early flu symptoms,flu headache,flu type b,flu type a,what is rsv
2009-10-04,6.851754845,0.0318147590361,0.0504518072289,0.0694653614458,192.588356702,192.12620895,0.0,962.43886263,0.0,192.855495746,514.391829295,514.391829295,193.37170531,578.06283475,0.0,0.0,707.305775988,0.0,389.02393743,383.09293565,580.521648841,192.588356702,0.0,0.0,192.814565031,191.662135982,6298.60128146,256.953211303,191.951918468,192.588356702,192.855495746,0.0,289.35276326,385.292905474,1349.91123333,5214.75598152,0.0,449.886084763,321.341663888,192.704583833,1801.54639523,192.472269688,0.0,449.140038737,192.704583833,192.240514998,385.537191673,578.043709357,193.112485886,191.027684132,191.027684132,288.100049833,192.61130976,387.209580825,0.0,0.0,191.662135982,194.629498605,192.646452737,387.852884036,193.339230538,0.0,191.892323485,288.975250919,0.0,1925.22480004,0.0,0.0,0.0,580.521648841,0.0,192.239814874,256.87632436,388.203459104,899.579268903,194.511968715,194.277334253,449.772003031,321.73186584,192.814565031,191.951918468,1801.37152851,192.530295696,3594.37067622,1222.47605794,0.0,194.511968715,0.0,0.0,0.0,194.277334253,1797.93773165,0.0,191.315549841,256.740354532,0.0,0.0,389.376633656,289.789852154,385.692181756,0.0,0.0,385.633788328,191.488686085,0.0,0.0,289.35276326,0.0
2009-10-11,6.308213378,0.0315153802604,0.0413285525571,0.0609548971504,0.0,193.5524593,0.0,1219.57108743,193.285010384,193.285010384,450.509896371,450.509896371,192.282414275,642.182348246,0.0,193.894756038,643.268896881,0.0,579.430143104,0.0,321.440048208,192.712702813,0.0,0.0,288.793311672,0.0,4562.80200014,386.365751151,0.0,0.0,193.285010384,0.0,193.077373748,384.246113788,772.411148049,5794.47109606,0.0,321.30405482,0.0,193.485201635,1543.58833732,193.051855878,0.0,192.646482321,191.368793203,192.061530916,449.481398891,513.967243863,514.957232013,385.426053293,0.0,192.736028318,0.0,483.549421337,0.0,193.310207482,0.0,193.460060999,193.226589803,192.538695914,289.411220315,192.467948907,192.561974108,288.394287712,0.0,2373.99791818,0.0,0.0,192.061530916,321.440048208,192.514150014,0.0,0.0,290.030055297,1735.14566308,193.485201635,0.0,289.621901185,1092.52287004,288.793311672,0.0,1415.62637701,0.0,1990.18305498,900.339783156,0.0,0.0,0.0,0.0,192.817678675,193.543603446,1926.31490861,193.026818946,0.0,0.0,0.0,193.026818946,192.119485512,577.229351755,193.110416532,0.0,193.051538807,385.008051753,0.0,0.0,0.0,193.077373748,0.0
2009-10-18,3.897699352,0.0255615801704,0.0358249419055,0.0507358636716,0.0,0.0,0.0,1038.86746645,389.770890832,260.147601395,390.703631411,390.703631411,0.0,584.896129201,194.557820052,0.0,455.302766482,0.0,0.0,0.0,193.201595876,292.166354292,0.0,195.696165994,196.304240514,0.0,3837.0642881,294.043457295,192.678014316,0.0,260.147601395,0.0,195.637150262,577.512351572,1300.95445712,7946.7208905,0.0,325.101016326,193.084998655,0.0,1237.02369317,392.845134723,0.0,454.897696545,192.736049862,0.0,392.845134723,714.725777513,588.153028349,196.719009509,386.636668001,194.974468712,192.678014316,195.092047624,0.0,587.62028104,0.0,0.0,196.029007153,194.821837431,196.325159651,196.541036944,0.0,385.820732916,0.0,2987.00620059,0.0,0.0,0.0,193.201595876,0.0,0.0,390.685209436,0.0,1300.52375862,391.983559075,0.0,393.306130207,649.637821939,196.304240514,192.678014316,1301.8208901,0.0,2207.09549376,781.859228517,390.450069376,193.201595876,195.048944759,0.0,0.0,0.0,2663.60750954,0.0,195.519225518,485.178309082,0.0,0.0,587.265652024,389.144856538,195.155235372,0.0,196.704909117,291.294492688,196.83783706,197.37434237,0.0,195.637150262,0.0
2009-10-25,4.525916561,0.0231394621639,0.0337711069418,0.0496143422973,0.0,377.972106448,0.0,758.836499422,190.01421573,565.161412237,380.507530754,380.507530754,189.32862613,506.144771007,285.89881294,188.557726429,190.12914362,0.0,476.488217767,0.0,381.388016521,285.668684254,0.0,188.443966112,192.374536853,189.043062592,4369.73421893,253.167599587,253.454710609,190.982136305,565.161412237,0.0,376.774274825,191.969415988,950.167093938,6090.25938958,0.0,379.87543712,0.0,0.0,887.243798455,380.232213064,0.0,379.615183849,0.0,0.0,564.140651108,380.404666365,283.742266676,192.781371221,192.781371221,190.187620583,188.216856782,565.843974329,0.0,188.929078231,0.0,0.0,192.54868399,189.043062592,188.914277399,192.956256046,190.073101462,316.054673042,0.0,2402.56751176,0.0,0.0,189.32862613,381.388016521,188.701521376,0.0,285.841969785,477.454947527,1266.20245243,190.675883355,0.0,190.55042159,759.239664173,192.374536853,253.454710609,1077.04845522,0.0,2339.98793155,1077.08753982,187.99029421,190.866425864,0.0,0.0,567.129187775,0.0,2087.90370664,0.0,376.547165557,0.0,0.0,0.0,192.839630929,0.0,381.07196047,0.0,0.0,377.828106963,188.443966112,0.0,0.0,376.774274825,0.0
2009-11-01,3.540097017,0.0182387825892,0.0240572899183,0.0344634664876,0.0,0.0,0.0,1124.31773766,312.838866462,187.741102349,501.186238604,501.186238604,187.783202064,812.966412764,373.399548851,188.981919416,250.460176924,0.0,313.027653397,0.0,186.873749756,186.935203136,0.0,0.0,0.0,0.0,3378.26339449,0.0,0.0,0.0,187.741102349,0.0,0.0,187.09401226,750.851301398,6455.77388687,0.0,282.106127089,189.152995384,0.0,688.926573989,186.9248495,0.0,281.116068558,0.0,0.0,376.43510807,375.256124319,188.92496284,373.973378749,0.0,281.617602765,186.709912141,187.949363414,0.0,188.697479441,186.981203088,187.981525653,374.18802452,186.541299939,282.639293193,0.0,187.891479364,374.860283396,0.0,1873.9435074,0.0,187.04805264,0.0,186.873749756,0.0,0.0,280.071274333,187.797969772,1438.81507812,0.0,0.0,282.469460945,562.867592831,0.0,0.0,1627.44436983,0.0,2374.35661202,813.514467075,186.699774426,281.759517694,374.300935813,187.444101148,0.0,0.0,2063.20905938,0.0,0.0,186.755992364,0.0,0.0,188.316945994,0.0,374.368862293,0.0,0.0,376.29373011,0.0,0.0,0.0,0.0,0.0
2009-11-08,2.398156875,0.0154400991773,0.0217513805928,0.0329088245238,0.0,182.803618533,0.0,604.587337004,364.129628929,364.944705074,242.64301067,242.64301067,181.497657366,423.385697617,361.216376422,361.325406418,273.389411102,0.0,181.508488656,182.417258228,181.481120074,182.064814464,0.0,0.0,181.993818175,0.0,3390.47883897,273.251426194,181.454511489,0.0,364.944705074,0.0,182.362197178,180.553706103,605.316096018,5882.95925697,0.0,484.333080992,182.307169357,181.813409344,1090.49082769,181.15315837,0.0,362.261045311,0.0,0.0,0.0,271.535933704,364.174779536,182.229678468,182.527480136,182.351769341,0.0,363.75349432,0.0,0.0,0.0,0.0,180.336105975,271.525090969,182.064814464,0.0,180.227502478,180.951306405,0.0,1571.63101434,181.470298685,0.0,182.307169357,181.481120074,182.087389768,182.417258228,182.582641055,182.032527644,1088.81040483,0.0,0.0,0.0,363.62651843,181.993818175,181.454511489,2000.27777751,0.0,2540.591703,545.648709478,0.0,0.0,0.0,181.922902514,0.0,0.0,2178.07647551,0.0,0.0,181.087556782,0.0,0.0,182.582641055,181.333934007,181.645579697,0.0,0.0,0.0,0.0,180.608188211,0.0,182.362197178,0.0
2009-11-15,2.553718079,0.0098626276858,0.016555125044,0.0272396383703,0.0,0.0,0.0,668.259051243,0.0,183.432253228,181.170765679,181.170765679,182.714858736,486.322641154,0.0,0.0,366.200898666,181.389570952,0.0,0.0,0.0,366.177685893,0.0,0.0,0.0,0.0,1825.14885633,183.155666598,0.0,0.0,183.432253228,0.0,0.0,182.357411541,790.709335249,6521.6209919,0.0,183.266201098,0.0,0.0,637.744655437,0.0,0.0,181.943112318,0.0,0.0,0.0,364.563736551,183.045265352,0.0,183.487670827,182.541277865,0.0,183.454795132,0.0,0.0,0.0,0.0,181.007007832,180.843545753,366.99204811,183.088842946,0.0,365.968660947,0.0,1154.16017077,0.0,0.0,0.0,0.0,0.0,0.0,303.929087071,182.185482796,973.746762225,0.0,0.0,243.511136497,608.154534894,0.0,0.0,1035.34111845,0.0,971.931833112,365.045062037,0.0,183.376869094,0.0,0.0,0.0,0.0,1337.12126615,362.779141904,0.0,0.0,0.0,362.779141904,275.153668411,0.0,366.753738187,0.0,183.432253228,548.30953094,0.0,183.321518394,0.0,0.0,0.0
2009-11-22,1.421975993,0.00592334494774,0.0141114982578,0.0240418118467,0.0,0.0,0.0,756.86749594,0.0,227.66787556,226.485894757,226.485894757,226.829851874,530.188131286,0.0,228.136053009,0.0,228.094229643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1666.82381289,0.0,0.0,0.0,227.66787556,0.0,0.0,227.887809526,606.517273988,7058.1764825,0.0,341.50181334,0.0,227.65417239,342.224802948,227.407612456,0.0,0.0,227.65417239,227.105938381,227.407612456,454.020096629,226.14459594,227.205623501,0.0,227.544604994,0.0,228.094229643,0.0,0.0,0.0,0.0,0.0,682.756495295,227.516865893,0.0,0.0,0.0,0.0,680.858571818,0.0,0.0,0.0,0.0,0.0,0.0,302.779179442,227.998164793,985.054099115,228.23205093,0.0,227.43400835,453.771485933,0.0,0.0,1592.62489255,0.0,756.708384662,379.084980782,0.0,227.4760881,0.0,227.311216421,0.0,0.0,756.821144032,0.0,0.0,227.681762682,0.0,0.0,227.956574707,0.0,454.952432765,0.0,227.929283173,225.804324204,0.0,0.0,0.0,0.0,0.0
2009-11-29,1.308270677,0.00435940905788,0.0100508597723,0.0173165415355,0.0,0.0,0.0,774.281656492,0.0,179.481398105,179.399793247,179.399793247,178.779455212,655.63050742,0.0,0.0,178.903450369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1312.28537196,0.0,0.0,0.0,179.481398105,0.0,0.0,0.0,417.719840536,6213.56122247,0.0,179.020577454,179.318922488,0.0,358.053347949,0.0,0.0,268.558073033,0.0,0.0,358.96279621,357.873595841,0.0,178.365071042,179.209808855,417.505092778,0.0,179.164824088,0.0,0.0,178.66916344,357.985874437,358.637844976,178.776957807,178.72304437,0.0,0.0,0.0,0.0,476.41583031,179.047013635,0.0,178.795514652,0.0,0.0,0.0,357.799011728,0.0,954.341180388,0.0,0.0,179.436520826,894.446167288,0.0,0.0,1014.62058656,0.0,536.064628009,358.360549444,178.804954841,179.128649057,0.0,0.0,0.0,0.0,805.148775371,0.0,178.453964207,178.633855055,0.0,0.0,179.107647266,179.119713228,417.702329646,0.0,179.481398105,238.522436436,178.992937219,0.0,0.0,0.0,0.0
2009-12-06,0.936838924,0.00387551379918,0.00916030534351,0.0172636523782,0.0,0.0,0.0,783.636388523,180.905564143,361.811128285,180.905564143,180.905564143,363.332285037,542.835899378,0.0,0.0,181.069378417,0.0,180.920887981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1327.7078633,0.0,181.397898608,0.0,361.811128285,0.0,0.0,0.0,301.94570118,7918.25452239,0.0,180.81170217,0.0,180.578823208,271.857607283,0.0,0.0,181.532325016,0.0,0.0,181.228128914,271.748030866,0.0,0.0,0.0,181.940977833,0.0,302.219754957,0.0,0.0,181.124049123,0.0,0.0,180.376273628,181.194430297,0.0,0.0,360.94034338,0.0,602.617697185,0.0,0.0,0.0,0.0,0.0,0.0,543.606230799,272.174386926,1026.50998318,0.0,0.0,0.0,422.383561752,0.0,181.397898608,1328.80330224,0.0,421.890977334,181.200545623,180.702648067,0.0,180.361650841,0.0,0.0,0.0,271.283844507,0.0,0.0,180.796519197,0.0,0.0,271.994121998,181.288259503,181.288259503,0.0,181.666142519,0.0,0.0,0.0,0.0,0.0,0.0
