Metric,10.11,11.12,12.13,13.14,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.882,0.881,0.854,0.543,0.867,0.918,0.892,0.872
ARGO,,,0.949,0.939,0.984,0.626,0.905,0.946,0.965,0.957
ARGO_top10,,,0.975,0.945,0.984,0.524,0.896,0.942,0.967,0.968
ARGO_all_weighted1,,,0.967,0.942,0.986,0.72,0.899,0.942,0.965,0.965
ARGO_all_weighted2,,,0.973,0.941,0.987,0.703,0.915,0.954,0.967,0.967
ARGO_all_weighted_more_ar,,,0.963,0.944,0.984,0.743,0.912,0.952,0.963,0.964
ARGO_top10_weighted1,,,0.968,0.941,0.984,0.608,0.889,0.934,0.964,0.965
ARGO_top10_weighted2,,,0.973,0.938,0.985,0.614,0.909,0.948,0.964,0.966
ARGO_top10_weighted_more_ar,,,0.964,0.946,0.984,0.687,0.912,0.95,0.963,0.964
ARGO_obs_weight,,,0.95,0.938,0.986,0.688,0.902,0.949,0.967,0.958
ARGO_top10_obs,,,0.977,0.942,0.985,0.52,0.9,0.945,0.97,0.968
ARGO_top10_weighted2_obs,,,0.973,0.945,0.983,0.673,0.909,0.95,0.964,0.967
GFT,,,0.767,0.916,0.975,,,0.859,0.859,0.886
RMSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.53,0.376,0.798,0.693,1.126,0.639,0.502,0.568
ARGO,,,0.408,0.296,0.31,0.69,1.046,0.529,0.295,0.338
ARGO_top10,,,0.348,0.277,0.354,0.749,1.084,0.547,0.283,0.327
ARGO_all_weighted1,,,0.396,0.285,0.343,0.643,1.17,0.556,0.294,0.341
ARGO_all_weighted2,,,0.36,0.292,0.335,0.61,0.984,0.493,0.283,0.329
ARGO_all_weighted_more_ar,,,0.387,0.288,0.374,0.581,1.019,0.504,0.301,0.35
ARGO_top10_weighted1,,,0.388,0.295,0.358,0.744,1.214,0.587,0.297,0.347
ARGO_top10_weighted2,,,0.377,0.3,0.368,0.682,1.024,0.523,0.299,0.348
ARGO_top10_weighted_more_ar,,,0.382,0.288,0.378,0.646,1.022,0.515,0.3,0.349
ARGO_obs_weight,,,0.398,0.296,0.287,0.633,1.049,0.516,0.285,0.327
ARGO_top10_obs,,,0.34,0.281,0.332,0.745,1.051,0.534,0.273,0.317
ARGO_top10_weighted2_obs,,,0.375,0.294,0.374,0.613,1.03,0.512,0.298,0.348
GFT,,,2.505,0.733,0.803,,,1.316,1.316,1.347
MAPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.299,0.422,0.429,0.406,0.262,0.718,0.726,0.383
ARGO,,,0.31,0.395,0.401,0.322,0.244,0.666,0.739,0.369
ARGO_top10,,,0.296,0.273,0.383,0.336,0.266,0.635,0.67,0.317
ARGO_all_weighted1,,,0.276,0.267,0.416,0.301,0.3,0.649,0.709,0.319
ARGO_all_weighted2,,,0.236,0.258,0.368,0.309,0.225,0.618,0.657,0.287
ARGO_all_weighted_more_ar,,,0.244,0.237,0.368,0.286,0.236,0.617,0.673,0.283
ARGO_top10_weighted1,,,0.282,0.254,0.345,0.362,0.314,0.61,0.626,0.294
ARGO_top10_weighted2,,,0.272,0.275,0.326,0.318,0.243,0.617,0.63,0.291
ARGO_top10_weighted_more_ar,,,0.256,0.243,0.348,0.294,0.248,0.588,0.635,0.282
ARGO_obs_weight,,,0.281,0.394,0.397,0.311,0.243,0.637,0.69,0.357
ARGO_top10_obs,,,0.275,0.287,0.359,0.337,0.257,0.603,0.621,0.307
ARGO_top10_weighted2_obs,,,0.254,0.262,0.332,0.304,0.241,0.575,0.591,0.283
GFT,,,1.996,0.796,0.643,,,1.357,1.357,1.145
