Metric,10.11,11.12,12.13,13.14,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,0.767,0.916,0.975,,,0.859,0.859,0.886
AR52,,,0.882,0.881,0.854,0.543,0.867,0.918,0.892,0.872
ARGO,,,0.975,0.945,0.984,0.524,0.896,0.942,0.967,0.968
RMSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,2.505,0.733,0.803,,,1.316,1.316,1.347
AR52,,,0.53,0.376,0.798,0.693,1.126,0.639,0.502,0.568
ARGO,,,0.348,0.277,0.354,0.749,1.084,0.547,0.283,0.327
MAPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,1.996,0.796,0.643,,,1.357,1.357,1.145
AR52,,,0.299,0.422,0.429,0.406,0.262,0.718,0.726,0.383
ARGO,,,0.296,0.273,0.383,0.336,0.266,0.635,0.67,0.317
