Metric,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.975,,,0.977,0.977,0.977
AR52,0.854,0.543,0.867,0.911,0.875,0.889
ARGO(gt),0.967,0.545,0.902,0.939,0.97,0.921
"ARGO(gt,ath)",0.984,0.524,0.896,0.938,0.985,0.917
Net,0.95,0.712,0.926,0.951,0.956,0.938
ARGONet,0.983,0.639,0.918,0.951,0.984,0.934
RMSE,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.803,,,0.702,0.702,0.702
AR52,0.798,0.693,1.126,0.774,0.696,0.95
ARGO(gt),0.417,0.713,1.069,0.675,0.37,0.872
"ARGO(gt,ath)",0.354,0.749,1.084,0.682,0.317,0.883
Net,0.491,0.579,0.949,0.608,0.431,0.778
ARGONet,0.36,0.672,0.977,0.619,0.319,0.798
MAPE,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.643,,,0.719,0.719,0.719
AR52,0.429,0.406,0.262,0.647,0.532,0.454
ARGO(gt),0.299,0.359,0.253,0.518,0.46,0.385
"ARGO(gt,ath)",0.383,0.336,0.266,0.563,0.529,0.414
Net,0.335,0.307,0.215,0.476,0.431,0.346
ARGONet,0.328,0.31,0.226,0.485,0.415,0.355
