Week,SD,athena_flu,athena_ILI,athena_viral,influenza b symptoms,strep,flu how long,how long flu,strep throat,expectorant,influenza a treatment,rsv in adults,influenza a symptoms,flu symptoms,cold and flu,tamiflu side effects,cold,flu shots,symptoms of rsv,body temperature,symptoms of bronchitis,robitussin,influenza symptoms,walking pneumonia,tessalon,symptoms of pneumonia,stomach flu,how long does the flu last,rsv baby,flu shot,symptoms of influenza,symptoms of influenza b,rsv,pneumonia,bronchitis,sinus,the flu,normal body temperature,gripe,rsv symptoms,oseltamivir,flu vaccine,a influenza,influenza a,influenza b,cold symptoms,symptoms of the flu,what is rsv
2009-10-04,6.481481481,,,,665.720577778,2001.79773255,661.53221178,661.53221178,1335.8761821,0.0,0.0,0.0,667.741799297,9337.6090302,0.0,0.0,7777.98297898,1554.33677456,0.0,667.834508014,0.0,0.0,1003.11281499,0.0,0.0,668.344998755,0.0,665.530593235,0.0,3998.29551695,668.747737531,0.0,0.0,1777.90317799,1333.55850287,1784.5558441,5563.22630001,669.756711184,0.0,0.0,0.0,1331.64808941,1778.83487542,1778.83487542,664.919469983,1333.45773401,664.326012976,0.0
2009-10-11,10.09615385,,,,0.0,2025.89104989,1120.09776487,1120.09776487,1349.64239191,0.0,0.0,0.0,896.577882555,11003.4717201,670.741232247,669.794057294,8533.07659434,1794.91130681,0.0,1008.38467147,669.389836378,675.928757506,2021.40861078,675.151715003,0.0,669.389836378,0.0,676.705945693,0.0,3140.01548789,1350.14967532,0.0,0.0,1570.38173301,898.335217081,1351.88746812,4046.00354771,669.187908826,0.0,0.0,0.0,2914.93810673,3143.32616452,3143.32616452,672.15853479,897.051053945,677.872464819,0.0
2009-10-18,8.77016129,,,,655.662791456,1956.90602436,976.94419097,976.94419097,1635.59433845,0.0,0.0,0.0,867.428450425,6946.54814396,0.0,0.0,7595.14486512,1083.84373033,0.0,1304.49052455,648.755251965,652.639546011,868.475044217,977.594744392,0.0,977.238362663,649.399329034,0.0,0.0,3254.27784107,648.475214738,0.0,0.0,2603.2714186,2595.53833785,1524.41267913,3475.9295261,1944.25334795,0.0,0.0,0.0,3251.72509297,2822.36082696,2822.36082696,867.038050087,647.694154558,0.0,0.0
2009-10-25,5.100830368,,,,0.0,1290.68789717,644.265204634,644.265204634,1075.30189641,0.0,0.0,0.0,0.0,7301.85937398,0.0,0.0,7299.27450883,640.449446183,0.0,640.063167868,640.449446183,653.257676814,1293.5725891,0.0,0.0,643.560606292,0.0,641.417184845,0.0,3647.60114374,639.665880614,0.0,969.107810858,1717.05033147,960.424647242,2154.76756584,2795.26445326,652.666315006,0.0,0.0,0.0,2143.86566171,639.858783473,639.858783473,641.417184845,1277.79086179,647.774023076,0.0
2009-11-01,2.837837838,,,,0.0,1951.6045854,644.626776506,644.626776506,650.764269721,0.0,0.0,0.0,0.0,2597.62547858,648.123042561,0.0,6926.6170748,647.922178081,0.0,650.079057664,645.015339964,645.015339964,649.100317739,1935.04601989,644.044808306,644.626776506,0.0,646.379008759,0.0,1946.3139045,651.447189608,0.0,0.0,1947.68752501,1082.71972529,1085.996803,1946.72385794,0.0,0.0,0.0,0.0,1945.85489779,652.036556788,652.036556788,650.663022061,0.0,0.0,0.0
2009-11-08,2.053140097,,,,0.0,651.12977444,0.0,0.0,652.150781622,0.0,0.0,0.0,0.0,1733.55803796,0.0,0.0,5201.00598562,972.821759652,0.0,1297.08503554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,865.605443961,0.0,0.0,0.0,1946.87435167,1300.09736396,869.730430919,1084.39001723,0.0,651.137722991,0.0,0.0,1298.53654355,974.190515028,974.190515028,652.121611965,0.0,650.941301355,0.0
2009-11-15,1.775956284,,,,0.0,1267.50382132,638.825088562,638.825088562,1479.89286962,0.0,0.0,0.0,0.0,844.193906156,0.0,0.0,6749.80186795,952.584618601,0.0,944.007452728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1054.35267595,0.0,0.0,0.0,1269.03065169,0.0,2751.80543599,1267.37491139,628.356040283,640.561550597,0.0,0.0,1268.45525105,0.0,0.0,0.0,638.632729306,640.755073724,0.0
2009-11-22,1.408450704,,,,0.0,970.827915477,0.0,0.0,728.836080053,716.141207921,0.0,0.0,0.0,1805.24045887,0.0,0.0,7998.36751501,1473.78707367,0.0,0.0,0.0,715.710316701,0.0,726.071028863,0.0,0.0,719.172035283,0.0,0.0,1937.63383717,0.0,0.0,0.0,2182.11459829,717.437000215,1702.52731886,718.086656419,0.0,0.0,0.0,0.0,1089.12543593,718.303470023,718.303470023,0.0,736.227869682,0.0,0.0
2009-11-29,0.667556742,,,,0.0,608.738725621,0.0,0.0,1625.14322476,0.0,0.0,0.0,0.0,606.437918755,0.0,0.0,8505.81764935,614.087597202,0.0,609.685490987,0.0,612.240161591,0.0,0.0,604.430450471,604.976622565,605.038780468,0.0,0.0,914.98841799,0.0,0.0,0.0,607.699801462,1207.52234437,1016.52862653,1419.22512773,0.0,0.0,0.0,0.0,604.185487857,0.0,0.0,0.0,602.307639419,0.0,0.0
2009-12-06,0.296296296,,,,0.0,1014.73573673,0.0,0.0,609.965436582,0.0,0.0,0.0,608.172288868,1215.90572133,0.0,608.819373723,11543.5671582,0.0,0.0,608.769480614,0.0,0.0,0.0,0.0,0.0,0.0,611.113871886,0.0,0.0,608.635606933,0.0,0.0,0.0,1216.87655312,609.823435354,2235.73303123,1214.68652829,608.268405964,0.0,0.0,0.0,0.0,609.639532026,609.639532026,0.0,0.0,0.0,0.0
2009-12-13,0.68119891,,,,0.0,958.708282847,619.110463756,619.110463756,1278.21308889,0.0,0.0,0.0,0.0,620.04370232,641.890653068,0.0,11795.270154,619.110463756,0.0,0.0,0.0,621.16730915,620.979758634,0.0,0.0,0.0,1266.59766094,0.0,0.0,1052.39725892,0.0,0.0,632.154659142,1474.26085215,642.277800627,2535.95569765,1054.11248029,0.0,0.0,0.0,0.0,1273.59146778,0.0,0.0,618.924153053,618.924153053,0.0,0.0
2009-12-20,0.373134328,,,,0.0,759.662001992,0.0,0.0,762.993640899,0.0,0.0,0.0,0.0,757.546193115,0.0,0.0,6572.9679281,754.63954623,0.0,0.0,0.0,757.03811845,0.0,0.0,0.0,0.0,760.699729664,0.0,0.0,757.830656934,0.0,0.0,757.77012355,0.0,756.234978674,763.917641675,759.257711562,0.0,763.917641675,757.268898695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-12-27,0.936329588,,,,0.0,780.193782574,0.0,0.0,1171.17546169,0.0,0.0,0.0,0.0,781.122952298,0.0,0.0,7546.73886233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,774.067700836,775.235223764,0.0,0.0,786.857768055,0.0,0.0,782.119440859,784.25384644,0.0,2089.68735762,0.0,0.0,0.0,0.0,0.0,782.945779946,0.0,0.0,0.0,787.33306722,0.0,0.0
2010-01-03,0.746268657,,,,0.0,637.029228857,0.0,0.0,636.890734754,629.337437435,0.0,0.0,0.0,1279.5659873,0.0,0.0,12718.6148248,0.0,0.0,0.0,640.143262433,628.009721322,0.0,0.0,0.0,0.0,639.431192337,0.0,0.0,0.0,0.0,0.0,642.07547874,632.436513946,639.782964565,1276.5635122,638.466158844,0.0,0.0,0.0,0.0,636.7364191,0.0,0.0,0.0,0.0,0.0,0.0
