Metric,10.11,11.12,12.13,13.14,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.93,0.841,0.902,0.806,0.894,0.919,0.924,0.891
ARGO,,,0.878,0.889,0.906,0.846,0.941,0.927,0.919,0.891
ARGO_top10,,,0.899,0.89,0.916,0.855,0.942,0.931,0.928,0.902
ARGO_all_weighted1,,,0.813,0.872,0.893,0.788,0.961,0.91,0.898,0.859
ARGO_all_weighted2,,,0.881,0.878,0.904,0.783,0.95,0.926,0.92,0.888
ARGO_all_weighted_more_ar,,,0.888,0.857,0.898,0.784,0.946,0.924,0.917,0.881
ARGO_top10_weighted1,,,0.856,0.867,0.896,0.815,0.956,0.918,0.909,0.873
ARGO_top10_weighted2,,,0.885,0.877,0.904,0.82,0.948,0.928,0.921,0.889
ARGO_top10_weighted_more_ar,,,0.884,0.859,0.898,0.824,0.945,0.925,0.917,0.88
ARGO_obs_weight,,,0.884,0.889,0.888,0.847,0.955,0.929,0.915,0.887
ARGO_top10_obs,,,0.902,0.891,0.904,0.846,0.952,0.932,0.925,0.899
ARGO_top10_weighted2_obs,,,0.888,0.873,0.892,0.824,0.956,0.929,0.917,0.884
GFT,,,0.787,0.799,0.888,,,0.775,0.775,0.825
RMSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.252,0.297,0.357,0.308,0.489,0.312,0.276,0.302
ARGO,,,0.341,0.253,0.349,0.334,0.371,0.301,0.293,0.314
ARGO_top10,,,0.319,0.254,0.333,0.344,0.366,0.293,0.278,0.302
ARGO_all_weighted1,,,0.458,0.282,0.412,0.4,0.304,0.34,0.351,0.384
ARGO_all_weighted2,,,0.339,0.264,0.356,0.359,0.345,0.301,0.291,0.32
ARGO_all_weighted_more_ar,,,0.329,0.29,0.364,0.357,0.36,0.306,0.295,0.328
ARGO_top10_weighted1,,,0.39,0.289,0.406,0.376,0.321,0.323,0.327,0.362
ARGO_top10_weighted2,,,0.334,0.268,0.357,0.334,0.352,0.298,0.29,0.32
ARGO_top10_weighted_more_ar,,,0.334,0.286,0.364,0.336,0.362,0.303,0.295,0.328
ARGO_obs_weight,,,0.329,0.252,0.388,0.329,0.326,0.297,0.3,0.323
ARGO_top10_obs,,,0.308,0.25,0.365,0.341,0.335,0.291,0.284,0.308
ARGO_top10_weighted2_obs,,,0.324,0.27,0.384,0.326,0.328,0.297,0.297,0.326
GFT,,,2.575,0.561,1.097,,,1.362,1.362,1.411
MAPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.201,0.19,0.167,0.149,0.192,0.279,0.327,0.186
ARGO,,,0.312,0.172,0.154,0.136,0.159,0.285,0.356,0.212
ARGO_top10,,,0.277,0.176,0.148,0.167,0.158,0.279,0.344,0.2
ARGO_all_weighted1,,,0.366,0.203,0.179,0.188,0.128,0.329,0.413,0.249
ARGO_all_weighted2,,,0.296,0.177,0.174,0.149,0.147,0.303,0.369,0.216
ARGO_all_weighted_more_ar,,,0.265,0.185,0.18,0.158,0.145,0.294,0.354,0.21
ARGO_top10_weighted1,,,0.311,0.209,0.171,0.189,0.126,0.329,0.419,0.23
ARGO_top10_weighted2,,,0.297,0.185,0.173,0.153,0.154,0.308,0.376,0.218
ARGO_top10_weighted_more_ar,,,0.281,0.184,0.18,0.163,0.151,0.3,0.361,0.215
ARGO_obs_weight,,,0.29,0.169,0.163,0.135,0.15,0.275,0.342,0.207
ARGO_top10_obs,,,0.251,0.173,0.15,0.168,0.164,0.286,0.347,0.191
ARGO_top10_weighted2_obs,,,0.288,0.186,0.173,0.145,0.153,0.304,0.37,0.216
GFT,,,0.867,0.323,0.301,,,0.722,0.722,0.497
