Metric,10.11,11.12,12.13,13.14,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,0.787,0.799,0.888,,,0.775,0.775,0.825
AR52,,,0.93,0.841,0.902,0.806,0.894,0.919,0.924,0.891
ARGO,,,0.899,0.89,0.916,0.855,0.942,0.931,0.928,0.902
RMSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,2.575,0.561,1.097,,,1.362,1.362,1.411
AR52,,,0.252,0.297,0.357,0.308,0.489,0.312,0.276,0.302
ARGO,,,0.319,0.254,0.333,0.344,0.366,0.293,0.278,0.302
MAPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,0.867,0.323,0.301,,,0.722,0.722,0.497
AR52,,,0.201,0.19,0.167,0.149,0.192,0.279,0.327,0.186
ARGO,,,0.277,0.176,0.148,0.167,0.158,0.279,0.344,0.2
