Metric,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.888,,,0.906,0.906,0.906
AR52,0.902,0.806,0.894,0.91,0.919,0.902
ARGO(gt),0.896,0.797,0.954,0.931,0.915,0.942
"ARGO(gt,ath)",0.916,0.855,0.942,0.932,0.927,0.937
Net,0.927,0.823,0.929,0.932,0.94,0.93
ARGONet,0.926,0.805,0.956,0.941,0.939,0.949
RMSE,0.0,0.0,0.0,0.0,0.0,0.0
GFT,1.097,,,0.948,0.948,0.948
AR52,0.357,0.308,0.489,0.349,0.323,0.419
ARGO(gt),0.359,0.329,0.336,0.309,0.325,0.322
"ARGO(gt,ath)",0.333,0.344,0.366,0.314,0.311,0.34
Net,0.303,0.313,0.438,0.319,0.276,0.378
ARGONet,0.305,0.33,0.32,0.287,0.278,0.304
MAPE,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.301,,,0.285,0.285,0.285
AR52,0.167,0.149,0.192,0.198,0.191,0.195
ARGO(gt),0.183,0.129,0.158,0.195,0.206,0.177
"ARGO(gt,ath)",0.148,0.167,0.158,0.175,0.175,0.167
Net,0.154,0.143,0.15,0.178,0.164,0.164
ARGONet,0.15,0.152,0.154,0.17,0.165,0.162
