Week,TN,athena_flu,athena_ILI,athena_viral,thermoscan,how long is the flu contagious,how contagious is the flu,sinus infection cure,robitussin cough,strep,signs of flu,flu fever,flu how long,sinus infections,how long flu,upper respiratory,strep throat,generic tamiflu,intestinal flu,ear thermometer,how long does flu last,cold or flu,the flu symptoms,expectorant,how long contagious,how to get rid of the flu,tamiflu pediatric dosing,treat flu,can dogs get the flu from humans,flu in children,how long does it take to get over the flu,how to treat flu,contagious flu,flu care,flu or cold,can adults get rsv,rsv in adults,influenza a symptoms,fever cough,signs of rsv,oscillococcinum,flu symptoms,flu incubation,cold and flu,acute bronchitis,fever flu,what to eat when you have the flu,type a flu,tamiflu side effects,flu shot symptoms,symptoms of flu,cold,type b flu,medicine for flu,flu children,treatment for flu,cough and fever,flu shots,high fever,symptoms of rsv,flu cold,flu remedies,dangerous fever,do i have the flu,flu treatment,body temperature,flu incubation period,flu test,symptoms of bronchitis,tamiflu dose,robitussin,rsv treatment,influenza symptoms,tamiflu dosage,walking pneumonia,how to treat the flu,incubation period for flu,clarithromycin,the flu virus,tessalon,when is the flu contagious,symptoms of pneumonia,stomach flu,tussin,how long does the flu last,type b flu symptoms,flu virus,rsv baby,flu shot,chest cold,rsv infection,flu like symptoms,flu contagious,flu while pregnant,is the flu contagious,type a flu symptoms,flu contagious period,incubation period for the flu,rsv,tussionex,pneumonia,is rsv contagious,signs of the flu,tamiflu generic,incubation for flu,how long are you contagious with the flu,flu a symptoms,bronchitis,cough fever,flu and cold,sinus,how to break a fever,the flu,flu a,normal body temperature,gripe,flu duration,when is the flu no longer contagious,rsv symptoms,oseltamivir,how long is flu contagious,home remedies for flu,flu a and b,flu vaccine,cold vs flu,a influenza,human temperature,influenza a,influenza b,flu vs cold,normal body,flu medicine,cold symptoms,flu type,what is type a flu,b flu,stomach flu symptoms,how long does rsv last,how long is rsv contagious,symptoms of the flu,early flu symptoms,flu headache,flu type b,flu type a,what is rsv,is flu contagious
2009-10-04,3.687230065,0.0304938680809,0.0338084189592,0.0419843111258,0.0,0.0,0.0,0.0,0.0,1223.00947772,243.615270365,285.140933348,324.886218799,123.243083754,324.886218799,0.0,815.007135897,0.0,0.0,121.547112335,121.107785423,0.0,550.030013905,121.587677303,244.421431392,0.0,123.317595896,121.290451766,0.0,121.812029602,0.0,122.223968809,162.858901585,122.797895011,0.0,0.0,0.0,0.0,244.360305983,0.0,122.075399152,4844.70231405,366.404245169,364.531140168,122.413395291,285.140933348,0.0,183.17792774,245.965997724,121.812029602,1466.47983685,5158.60765685,0.0,0.0,426.621128003,122.291024274,122.254044829,1219.58600221,203.619519344,0.0,366.46573918,121.519124211,0.0,0.0,285.745061247,285.547433417,488.686410274,122.069482563,0.0,0.0,122.241287646,0.0,0.0,183.936561808,284.588538203,0.0,162.883486044,246.188658555,122.760941085,121.812029602,122.106350423,121.642296223,246.032123243,0.0,0.0,0.0,203.178244012,0.0,2202.00086429,123.243083754,0.0,122.143240559,162.858901585,123.05719675,122.871869646,0.0,0.0,0.0,183.943519117,0.0,1789.29987247,0.0,0.0,0.0,183.098654442,0.0,243.901709663,813.642773433,244.360305983,364.531140168,1262.29351893,0.0,2357.47821017,1383.67851614,304.00474895,122.653653066,121.144274663,0.0,121.995813594,123.317595896,0.0,121.363672685,0.0,2444.16221652,122.598438592,244.427545373,122.036751745,244.427545373,123.243083754,122.598438592,203.398393889,123.280328566,121.995813594,123.354885765,0.0,123.094329277,122.315038005,0.0,0.0,366.982145378,365.87703733,244.065273921,0.0,183.17792774,0.0,0.0
2009-10-11,4.196796648,0.0206556983307,0.0225771586406,0.0288219046475,0.0,124.841200037,124.765949163,0.0,124.463244888,829.689402283,186.065554173,290.173183172,414.071447135,124.275743766,414.071447135,186.453582094,580.509528658,0.0,0.0,124.350676382,0.0,124.954246701,290.148088178,249.908493403,247.209935742,123.106745873,0.0,0.0,0.0,123.837971775,0.0,124.500813027,289.935952974,165.515126329,124.954246701,0.0,0.0,0.0,124.400260839,0.0,124.388176586,4224.80964693,331.367221199,0.0,124.238311313,290.173183172,0.0,248.124745106,124.275743766,124.275743766,1036.27297076,6116.67272965,124.578218273,124.991974433,456.477007973,247.106108635,124.726698989,785.535407389,207.221840877,0.0,248.503590026,249.682400073,124.954246701,123.987466939,310.352745302,290.788094481,165.752364409,165.965451744,248.761841279,0.0,124.220671804,0.0,0.0,124.726698989,186.77123194,0.0,124.764426364,0.0,123.950025462,124.275743766,0.0,185.934570618,185.822675086,0.0,124.615719242,0.0,371.826858665,0.0,2073.87726716,123.366699786,0.0,123.366699786,289.935952974,0.0,0.0,0.0,0.0,0.0,123.143815053,249.45671547,1365.50408512,0.0,0.0,0.0,124.802176568,124.688994425,186.921550948,661.960572296,124.400260839,0.0,1242.65597891,0.0,1986.58465673,1035.49658014,249.682400073,0.0,123.218020425,0.0,0.0,124.688994425,0.0,0.0,125.180955344,2113.19027505,125.180955344,124.158319392,0.0,124.158319392,124.313198782,125.180955344,0.0,124.305675115,165.84002998,207.335260024,0.0,124.916541739,124.193933743,0.0,0.0,124.345639949,0.0,123.441174099,124.578218273,248.124745106,0.0,123.255156658
2009-10-18,3.905350978,0.0174282203106,0.019215730086,0.0264774885488,0.0,0.0,0.0,124.399081701,0.0,750.822156106,313.126592644,291.709111409,332.757912064,249.32432266,332.757912064,124.474133937,625.357472928,0.0,0.0,124.529914581,0.0,125.6966394,416.858556567,0.0,124.305063697,0.0,0.0,0.0,0.0,208.12131398,0.0,125.318490665,125.962704255,249.532459149,125.6966394,0.0,0.0,0.0,0.0,0.0,0.0,4081.54956992,333.282943824,125.036157438,124.70726284,291.709111409,0.0,124.717912641,124.960039506,249.569871287,1292.07569123,6441.77408815,0.0,125.187449083,125.42328793,0.0,0.0,1163.50404498,375.427119678,0.0,250.391620747,124.155613666,0.0,186.903305423,125.375502857,208.788868131,250.02191489,208.473407982,124.671186985,125.620827193,186.753303406,0.0,124.884796366,187.129398083,332.768201788,0.0,125.007129645,187.959739865,124.680267633,0.0,0.0,0.0,125.186655983,124.868720274,125.431696167,0.0,249.232209598,0.0,3045.75039026,186.716964885,0.0,124.511694026,125.962704255,0.0,0.0,0.0,0.0,0.0,291.294796724,124.797503318,1664.21917211,0.0,0.0,0.0,188.277118113,0.0,125.007288758,832.42251198,0.0,125.036157438,1583.05402157,124.605045752,2786.68947806,1332.6170341,166.522141224,125.848538662,0.0,0.0,0.0,0.0,124.755580389,0.0,0.0,2832.41276314,0.0,166.459541103,0.0,166.459541103,124.66216133,0.0,124.950556826,166.698112045,333.49689481,250.267026154,0.0,124.4458435,124.878775156,0.0,0.0,458.382224766,124.605045752,124.680267633,0.0,124.717912641,0.0,124.502405894
2009-10-25,4.456052106,0.0176016352487,0.0208948444243,0.0291846468317,117.436567086,0.0,0.0,0.0,0.0,905.414046891,294.42164658,314.75286596,274.486568414,176.927047114,274.486568414,117.990676126,353.990147093,0.0,0.0,0.0,117.990676126,117.96100248,196.577900345,0.0,0.0,0.0,0.0,117.937243941,0.0,235.709678249,0.0,117.848689752,196.589933611,157.032460272,117.96100248,0.0,0.0,0.0,0.0,0.0,117.888526537,3575.95413826,177.069357239,157.281312743,117.495214378,314.75286596,0.0,117.295077246,117.695047961,176.569171696,786.645295841,6705.13354183,0.0,237.12411909,197.089791423,118.347143425,0.0,823.279075048,235.816559642,0.0,471.488112123,117.498753832,0.0,0.0,196.994383143,532.185015344,177.229746149,275.361129516,118.05610849,0.0,294.886402078,0.0,117.747905425,237.627567326,313.970151678,0.0,0.0,117.925654928,117.695240336,234.943985797,0.0,196.471255493,236.215099156,118.041726723,0.0,0.0,313.899831876,0.0,3032.04848612,235.560736507,0.0,196.494863811,196.589933611,0.0,0.0,0.0,0.0,0.0,235.483842552,176.31593519,1138.61903539,0.0,0.0,0.0,0.0,0.0,274.744689134,863.636978319,0.0,157.281312743,1454.3189517,0.0,2237.27219633,1099.99687395,117.436567086,295.489997709,118.026226194,0.0,0.0,117.720573294,0.0,0.0,0.0,2712.35943433,236.123595381,117.766323236,117.919640198,117.766323236,117.817466546,236.123595381,196.317115331,117.959672299,589.781203631,0.0,0.0,0.0,235.298886077,0.0,0.0,196.57796486,118.099701129,177.176250905,0.0,117.295077246,0.0,117.675603251
2009-11-01,3.25509168,0.0146182999459,0.0159177043855,0.0220898754737,0.0,0.0,120.74506944,0.0,0.0,1043.15960845,120.46544765,180.304306752,439.809776925,120.318074228,439.809776925,159.887412861,1003.20971202,0.0,0.0,0.0,0.0,0.0,200.48911991,119.752757118,359.366416529,0.0,0.0,0.0,0.0,160.272778645,0.0,0.0,0.0,120.117077155,0.0,0.0,0.0,0.0,120.073735709,0.0,240.011104887,2525.27169372,300.803745963,120.599286078,0.0,180.304306752,0.0,180.322866748,120.001336712,0.0,842.561488086,6519.22064431,119.931338758,0.0,301.309125328,120.854638469,120.368545645,719.692274047,180.086744677,0.0,280.48642773,119.824875611,120.186774963,120.186774963,281.323142851,401.572273968,240.744677499,160.539157393,120.426855212,0.0,200.331981412,0.0,120.021809619,241.636186742,120.154732795,0.0,241.709276937,0.0,0.0,239.938747002,0.0,200.489178173,0.0,239.794162039,0.0,0.0,279.944048734,0.0,1687.16393811,120.255115974,0.0,120.286219958,0.0,0.0,0.0,0.0,120.854638469,120.854638469,240.331068863,240.69002095,1321.24037772,0.0,120.141165566,0.0,362.673617044,0.0,239.649751221,840.915821332,120.073735709,120.599286078,1563.67324572,0.0,1720.84644775,681.210702249,120.417551169,360.765347923,0.0,0.0,120.146222117,0.0,0.0,120.453854319,120.005552444,1443.52159058,119.933216366,120.336104027,0.0,120.336104027,0.0,119.933216366,120.001336712,120.562895225,320.956982581,160.685398267,0.0,120.0215804,0.0,0.0,0.0,120.150486686,120.239142336,240.22844063,119.931338758,180.322866748,0.0,120.272557127
2009-11-08,2.469296251,0.0114491331371,0.0127576054956,0.0172282193872,0.0,0.0,0.0,115.941823175,116.80577524,897.465788274,174.689686689,116.459791126,115.697441133,272.460496807,115.697441133,352.438517786,525.770455881,0.0,0.0,0.0,175.092832895,0.0,194.834324236,234.746891173,117.408777749,0.0,117.123566043,116.046874661,0.0,116.722469848,0.0,0.0,235.882648735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2414.7199002,115.906848266,116.946802436,116.876246296,116.459791126,118.191502934,0.0,0.0,116.616918232,740.402212594,5362.73263461,0.0,116.982112461,312.374179902,0.0,116.911513721,350.428155501,117.30065538,0.0,311.631464649,0.0,0.0,116.442220246,117.905671005,468.401685787,232.023672707,118.012695819,0.0,0.0,233.477123717,0.0,117.017443815,0.0,194.505492541,0.0,116.222384151,0.0,0.0,155.627839749,0.0,116.046874661,117.443090776,0.0,115.976819198,0.0,346.674768724,0.0,897.361800673,115.384745346,0.0,116.08193414,235.882648735,0.0,0.0,0.0,116.222384151,0.0,272.390292519,174.356379897,1478.5481446,0.0,117.656699754,0.0,0.0,0.0,175.89804956,700.325501638,0.0,116.946802436,1674.80258551,116.735389114,1477.61415075,428.369966473,116.775314728,0.0,117.514901983,0.0,0.0,116.152116688,116.982112461,0.0,0.0,1090.82937896,115.802050031,116.750392146,234.034887629,116.750392146,117.052796517,115.802050031,290.95632527,0.0,292.131978606,117.158982906,0.0,0.0,116.363174441,0.0,0.0,174.707438119,0.0,0.0,0.0,0.0,116.629968835,117.052796517
2009-11-15,2.394000577,0.00788177339901,0.0100711548987,0.0135741652983,117.225917299,0.0,0.0,0.0,0.0,743.628429677,117.372224894,117.254403213,155.968401699,117.140461842,155.968401699,292.435566617,547.099107253,0.0,0.0,117.296599191,117.093526444,0.0,234.563729518,116.939174008,175.35231922,0.0,0.0,0.0,0.0,117.124305288,0.0,0.0,175.797333956,117.053663366,0.0,0.0,0.0,117.33197211,117.600713079,0.0,117.095378225,2070.20534857,234.456009479,117.071161959,0.0,117.254403213,0.0,0.0,175.35554477,117.225917299,703.880886918,5885.32571609,0.0,0.0,470.747513026,0.0,0.0,527.232651224,117.141878456,0.0,234.526507877,116.965247156,0.0,117.071161959,0.0,234.871129237,117.234609437,117.141878456,0.0,0.0,156.1911487,0.0,117.120054038,0.0,156.061572017,0.0,0.0,117.035835718,0.0,234.00106158,0.0,234.367831561,117.567978045,233.895720231,117.438218991,0.0,155.885654886,0.0,900.613061585,117.088973672,0.0,0.0,175.797333956,0.0,116.824325171,0.0,0.0,0.0,234.28103709,234.381216576,1794.96907342,0.0,0.0,0.0,0.0,0.0,233.754861622,585.33694691,117.600713079,117.071161959,1992.78961367,0.0,897.345029773,429.522460672,116.965247156,117.265845234,117.035835718,0.0,117.088973672,0.0,0.0,0.0,117.053663366,742.625016336,0.0,234.226475417,0.0,234.226475417,116.983106607,0.0,156.155733942,117.212680438,195.465830111,117.86513769,0.0,0.0,117.502845288,0.0,0.0,273.543608201,0.0,116.965247156,0.0,0.0,0.0,0.0
2009-11-22,1.673992331,0.00937887099628,0.0115023889577,0.0143337462396,0.0,0.0,0.0,0.0,0.0,1076.78832722,140.41110979,0.0,210.951238264,279.598931233,210.951238264,139.237289453,986.568629063,0.0,0.0,140.959278596,0.0,141.04437324,140.262683629,140.705079017,0.0,0.0,0.0,0.0,0.0,210.362277439,0.0,0.0,0.0,0.0,141.04437324,0.0,0.0,140.577619899,0.0,0.0,0.0,1871.08714745,139.447300448,139.700151401,140.959278596,0.0,0.0,0.0,0.0,140.281140846,327.609540718,6813.63125623,0.0,0.0,141.194278624,141.557106497,210.449624005,209.415361547,281.325139859,0.0,210.005158779,139.943825208,140.492790123,0.0,139.742382402,140.705079017,141.001813079,0.0,0.0,0.0,186.987617025,0.0,282.259141374,0.0,186.874710293,0.0,141.001813079,139.279241032,140.53519664,0.0,0.0,139.321217898,283.285849376,140.747613805,0.0,0.0,233.312432864,0.0,421.797220685,141.17220802,0.0,139.447300448,0.0,0.0,0.0,0.0,0.0,0.0,233.706413413,139.447300448,1074.65763579,0.0,0.0,0.0,141.385781708,0.0,140.13606129,373.777649281,0.0,139.700151401,1450.52214406,0.0,700.880730717,374.228961252,0.0,279.315891834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,467.624259416,140.323419671,141.129570687,0.0,141.129570687,0.0,140.323419671,0.0,0.0,234.05903133,141.046078905,0.0,140.196659581,0.0,0.0,0.0,140.411045711,0.0,0.0,0.0,0.0,0.0,0.0
2009-11-29,1.564414966,0.00591850671523,0.00717049852037,0.0120646483041,0.0,113.488534951,113.831504231,0.0,0.0,1056.48571453,169.338872666,113.592650699,113.113718936,224.407839698,113.113718936,187.985905057,603.084152609,112.339677768,0.0,0.0,113.831504231,0.0,227.663008463,112.102316541,226.703850437,0.0,0.0,0.0,0.0,113.488534951,0.0,0.0,0.0,113.284347365,0.0,0.0,0.0,0.0,112.926760355,0.0,0.0,941.91329913,113.471789905,0.0,0.0,113.592650699,0.0,0.0,0.0,111.967131354,225.683368673,7480.58866016,0.0,113.695791726,0.0,0.0,0.0,281.785251784,112.170031622,112.102316541,113.250194713,0.0,0.0,112.102316541,113.831504231,377.780450074,113.728395985,0.0,113.728395985,0.0,225.909388032,0.0,113.113789781,0.0,0.0,0.0,0.0,227.115732489,113.523160435,112.034683167,0.0,113.76274464,227.731830412,169.146855217,0.0,0.0,169.101091375,0.0,528.740235276,0.0,0.0,113.318520622,0.0,0.0,113.591208535,0.0,0.0,0.0,301.269676886,113.318520622,828.130696695,0.0,112.722501302,112.339677768,0.0,0.0,113.522738849,752.770012186,112.926760355,0.0,2035.43545783,0.0,526.896261507,340.773625605,150.628912855,113.728395985,0.0,0.0,0.0,0.0,113.76274464,0.0,0.0,414.212585335,0.0,0.0,112.170031622,0.0,113.216062647,0.0,113.420532875,113.455420073,150.788088645,112.305707499,0.0,113.216062647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.147860199,113.38604681
2009-12-06,1.276254376,0.00454069158226,0.00663639538945,0.0103620910467,112.34218894,0.0,0.0,0.0,0.0,869.686360437,113.006701993,188.913786626,0.0,113.448364491,0.0,228.048908444,377.679275547,0.0,114.436963553,0.0,0.0,0.0,227.204842231,114.713631945,112.105536722,0.0,0.0,114.644339506,0.0,114.368004852,0.0,114.575130729,112.640004966,112.69998899,0.0,0.0,0.0,0.0,224.752155974,0.0,0.0,905.866584502,112.477867913,170.249280557,112.376077987,188.913786626,0.0,114.609724669,112.564205871,112.564205871,302.339940591,8700.80399474,0.0,0.0,170.814731918,0.0,0.0,113.305562237,229.357950517,0.0,281.42092424,0.0,0.0,0.0,0.0,227.023483092,112.409987485,0.0,112.511838878,0.0,188.606183243,0.0,0.0,114.783008196,188.49236606,0.0,0.0,229.635455599,0.0,0.0,0.0,170.334974205,170.591582299,112.598120967,0.0,0.0,113.305480198,224.413673811,416.120988063,0.0,0.0,112.73398597,112.640004966,0.0,112.206836906,0.0,0.0,0.0,490.285488943,113.095434722,1357.1464899,0.0,0.0,0.0,0.0,0.0,0.0,678.709114554,224.752155974,170.249280557,1699.44856197,0.0,377.008611486,397.060171552,113.362660587,225.808558,112.598120967,0.0,112.588721119,114.748309584,0.0,0.0,0.0,415.20705369,0.0,112.496436933,0.0,112.496436933,114.402473811,0.0,226.315928195,0.0,264.470078075,0.0,0.0,0.0,338.508300263,0.0,0.0,114.506005462,0.0,112.34218894,0.0,114.609724669,114.506005462,114.264722488
