Metric,10.11,11.12,12.13,13.14,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.865,0.9,0.928,0.433,0.777,0.896,0.92,0.898
ARGO,,,0.891,0.977,0.963,0.547,0.845,0.929,0.953,0.944
ARGO_top10,,,0.928,0.981,0.955,0.699,0.85,0.939,0.96,0.955
ARGO_all_weighted1,,,0.906,0.968,0.956,0.289,0.902,0.923,0.949,0.943
ARGO_all_weighted2,,,0.908,0.981,0.961,0.662,0.881,0.937,0.957,0.95
ARGO_all_weighted_more_ar,,,0.932,0.981,0.961,0.563,0.875,0.937,0.96,0.958
ARGO_top10_weighted1,,,0.933,0.973,0.961,0.327,0.891,0.928,0.955,0.956
ARGO_top10_weighted2,,,0.93,0.981,0.961,0.681,0.883,0.942,0.962,0.957
ARGO_top10_weighted_more_ar,,,0.933,0.98,0.96,0.582,0.879,0.938,0.96,0.958
ARGO_obs_weight,,,0.885,0.982,0.963,0.546,0.85,0.93,0.953,0.943
ARGO_top10_obs,,,0.925,0.978,0.953,0.735,0.861,0.941,0.96,0.952
ARGO_top10_weighted2_obs,,,0.928,0.979,0.959,0.72,0.883,0.944,0.962,0.955
GFT,,,0.872,0.96,0.964,,,0.883,0.883,0.932
RMSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,1.065,0.853,0.742,0.937,1.124,0.804,0.738,0.887
ARGO,,,0.984,0.432,0.626,0.813,0.982,0.681,0.595,0.681
ARGO_top10,,,0.783,0.41,0.727,0.663,1.002,0.641,0.554,0.64
ARGO_all_weighted1,,,0.925,0.528,0.843,0.969,0.861,0.724,0.654,0.765
ARGO_all_weighted2,,,0.909,0.402,0.74,0.694,0.91,0.649,0.596,0.684
ARGO_all_weighted_more_ar,,,0.779,0.385,0.764,0.765,0.93,0.643,0.558,0.643
ARGO_top10_weighted1,,,0.778,0.474,0.882,0.949,0.895,0.699,0.613,0.712
ARGO_top10_weighted2,,,0.782,0.407,0.736,0.677,0.903,0.621,0.555,0.642
ARGO_top10_weighted_more_ar,,,0.769,0.398,0.757,0.755,0.912,0.636,0.555,0.642
ARGO_obs_weight,,,1.003,0.388,0.617,0.824,0.98,0.68,0.594,0.669
ARGO_top10_obs,,,0.797,0.421,0.685,0.624,0.976,0.624,0.545,0.634
ARGO_top10_weighted2_obs,,,0.791,0.402,0.687,0.636,0.901,0.606,0.54,0.627
GFT,,,3.414,0.552,1.053,,,1.708,1.708,1.673
MAPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.381,0.355,0.241,0.404,0.227,0.759,1.016,0.325
ARGO,,,0.423,0.314,0.274,0.345,0.221,0.662,0.877,0.337
ARGO_top10,,,0.298,0.366,0.272,0.286,0.221,0.753,1.029,0.312
ARGO_all_weighted1,,,0.484,0.451,0.336,0.432,0.197,0.812,1.1,0.424
ARGO_all_weighted2,,,0.409,0.349,0.301,0.311,0.194,0.73,1.001,0.353
ARGO_all_weighted_more_ar,,,0.425,0.384,0.31,0.339,0.204,0.681,0.91,0.373
ARGO_top10_weighted1,,,0.359,0.439,0.289,0.411,0.193,0.834,1.144,0.362
ARGO_top10_weighted2,,,0.319,0.343,0.28,0.297,0.193,0.718,0.986,0.314
ARGO_top10_weighted_more_ar,,,0.389,0.406,0.275,0.322,0.199,0.705,0.953,0.357
ARGO_obs_weight,,,0.381,0.307,0.278,0.351,0.218,0.65,0.855,0.322
ARGO_top10_obs,,,0.343,0.365,0.274,0.274,0.215,0.863,1.212,0.327
ARGO_top10_weighted2_obs,,,0.317,0.302,0.279,0.284,0.19,0.647,0.874,0.299
GFT,,,1.221,0.552,0.45,,,1.121,1.121,0.741
