Metric,10.11,11.12,12.13,13.14,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,0.872,0.96,0.964,,,0.883,0.883,0.932
AR52,,,0.865,0.9,0.928,0.433,0.777,0.896,0.92,0.898
ARGO,,,0.932,0.981,0.961,0.563,0.875,0.937,0.96,0.958
RMSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,3.414,0.552,1.053,,,1.708,1.708,1.673
AR52,,,1.065,0.853,0.742,0.937,1.124,0.804,0.738,0.887
ARGO,,,0.779,0.385,0.764,0.765,0.93,0.643,0.558,0.643
MAPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,1.221,0.552,0.45,,,1.121,1.121,0.741
AR52,,,0.381,0.355,0.241,0.404,0.227,0.759,1.016,0.325
ARGO,,,0.425,0.384,0.31,0.339,0.204,0.681,0.91,0.373
