Metric,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.964,,,0.968,0.968,0.968
AR52,0.928,0.433,0.777,0.876,0.939,0.826
ARGO(gt),0.955,0.7,0.835,0.916,0.961,0.875
"ARGO(gt,ath)",0.961,0.563,0.875,0.917,0.966,0.896
Net,0.968,0.823,0.888,0.939,0.972,0.914
ARGONet,0.953,0.841,0.89,0.936,0.959,0.913
RMSE,0.0,0.0,0.0,0.0,0.0,0.0
GFT,1.053,,,0.918,0.918,0.918
AR52,0.742,0.937,1.124,0.824,0.643,0.974
ARGO(gt),0.62,0.663,1.023,0.701,0.542,0.862
"ARGO(gt,ath)",0.764,0.765,0.93,0.73,0.667,0.83
Net,0.505,0.606,0.859,0.614,0.446,0.736
ARGONet,0.663,0.531,0.847,0.625,0.581,0.736
MAPE,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.45,,,0.606,0.606,0.606
AR52,0.241,0.404,0.227,0.365,0.413,0.296
ARGO(gt),0.395,0.304,0.221,0.387,0.535,0.304
"ARGO(gt,ath)",0.31,0.339,0.204,0.356,0.444,0.28
Net,0.305,0.232,0.187,0.358,0.544,0.272
ARGONet,0.295,0.225,0.183,0.321,0.434,0.252
