Metric,10.11,11.12,12.13,13.14,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.931,0.894,0.85,0.684,0.928,0.902,0.909,0.892
ARGO,,,0.965,0.921,0.858,0.762,0.945,0.913,0.906,0.915
ARGO_top10,,,0.945,0.917,0.844,0.735,0.953,0.907,0.899,0.902
ARGO_all_weighted1,,,0.961,0.891,0.833,0.733,0.96,0.899,0.89,0.895
ARGO_all_weighted2,,,0.956,0.901,0.86,0.734,0.957,0.913,0.906,0.905
ARGO_all_weighted_more_ar,,,0.962,0.923,0.87,0.725,0.958,0.923,0.919,0.918
ARGO_top10_weighted1,,,0.959,0.888,0.836,0.695,0.961,0.897,0.889,0.894
ARGO_top10_weighted2,,,0.955,0.905,0.86,0.741,0.955,0.913,0.907,0.907
ARGO_top10_weighted_more_ar,,,0.962,0.899,0.869,0.726,0.956,0.919,0.914,0.91
ARGO_obs_weight,,,0.964,0.915,0.841,0.776,0.95,0.913,0.904,0.907
ARGO_top10_obs,,,0.954,0.92,0.841,0.745,0.958,0.916,0.908,0.905
ARGO_top10_weighted2_obs,,,0.964,0.92,0.853,0.745,0.959,0.92,0.914,0.912
GFT,,,0.928,0.918,0.918,,,0.805,0.805,0.922
RMSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.836,1.003,1.529,1.097,0.892,0.937,0.977,1.123
ARGO,,,0.85,0.951,1.525,0.721,0.811,0.891,0.999,1.109
ARGO_top10,,,0.972,1.065,1.561,0.73,0.784,0.924,1.046,1.2
ARGO_all_weighted1,,,0.874,1.145,1.61,0.815,0.786,0.961,1.082,1.21
ARGO_all_weighted2,,,0.899,1.071,1.486,0.761,0.748,0.892,1.005,1.152
ARGO_all_weighted_more_ar,,,0.759,0.942,1.438,0.759,0.73,0.837,0.929,1.046
ARGO_top10_weighted1,,,0.908,1.187,1.594,0.876,0.778,0.971,1.088,1.229
ARGO_top10_weighted2,,,0.904,1.077,1.486,0.754,0.778,0.895,1.006,1.156
ARGO_top10_weighted_more_ar,,,0.758,1.073,1.44,0.761,0.742,0.859,0.959,1.09
ARGO_obs_weight,,,0.866,0.953,1.576,0.691,0.769,0.894,1.013,1.132
ARGO_top10_obs,,,0.885,0.969,1.578,0.711,0.718,0.886,1.006,1.144
ARGO_top10_weighted2_obs,,,0.811,0.966,1.517,0.739,0.72,0.861,0.969,1.098
GFT,,,2.526,1.318,1.8,,,1.636,1.636,1.882
MAPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.122,0.105,0.181,0.179,0.167,0.153,0.145,0.136
ARGO,,,0.129,0.141,0.249,0.143,0.174,0.181,0.199,0.173
ARGO_top10,,,0.124,0.176,0.221,0.141,0.193,0.178,0.188,0.174
ARGO_all_weighted1,,,0.104,0.166,0.258,0.154,0.209,0.198,0.208,0.176
ARGO_all_weighted2,,,0.118,0.15,0.206,0.139,0.184,0.165,0.172,0.158
ARGO_all_weighted_more_ar,,,0.113,0.138,0.211,0.139,0.175,0.161,0.168,0.154
ARGO_top10_weighted1,,,0.126,0.169,0.255,0.167,0.201,0.198,0.207,0.183
ARGO_top10_weighted2,,,0.12,0.164,0.205,0.136,0.192,0.168,0.175,0.163
ARGO_top10_weighted_more_ar,,,0.112,0.149,0.214,0.138,0.178,0.163,0.171,0.158
ARGO_obs_weight,,,0.123,0.145,0.232,0.136,0.175,0.173,0.188,0.166
ARGO_top10_obs,,,0.119,0.156,0.21,0.134,0.18,0.164,0.17,0.162
ARGO_top10_weighted2_obs,,,0.108,0.152,0.197,0.133,0.173,0.157,0.163,0.152
GFT,,,0.331,0.275,0.243,,,0.268,0.268,0.283
