Metric,10.11,11.12,12.13,13.14,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,0.928,0.918,0.918,,,0.805,0.805,0.922
AR52,,,0.931,0.894,0.85,0.684,0.928,0.902,0.909,0.892
ARGO,,,0.962,0.923,0.87,0.725,0.958,0.923,0.919,0.918
RMSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,2.526,1.318,1.8,,,1.636,1.636,1.882
AR52,,,0.836,1.003,1.529,1.097,0.892,0.937,0.977,1.123
ARGO,,,0.759,0.942,1.438,0.759,0.73,0.837,0.929,1.046
MAPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,0.331,0.275,0.243,,,0.268,0.268,0.283
AR52,,,0.122,0.105,0.181,0.179,0.167,0.153,0.145,0.136
ARGO,,,0.113,0.138,0.211,0.139,0.175,0.161,0.168,0.154
