Metric,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.918,,,0.936,0.936,0.936
AR52,0.85,0.684,0.928,0.886,0.884,0.907
ARGO(gt),0.848,0.712,0.95,0.899,0.883,0.925
"ARGO(gt,ath)",0.87,0.725,0.958,0.914,0.899,0.936
Net,0.83,0.73,0.948,0.896,0.866,0.922
ARGONet,0.87,0.791,0.954,0.919,0.898,0.936
RMSE,0.0,0.0,0.0,0.0,0.0,0.0
GFT,1.8,,,1.559,1.559,1.559
AR52,1.529,1.097,0.892,1.046,1.333,0.969
ARGO(gt),1.551,0.825,0.771,0.977,1.362,0.874
"ARGO(gt,ath)",1.438,0.759,0.73,0.905,1.26,0.818
Net,1.68,0.711,0.806,1.0,1.454,0.903
ARGONet,1.44,0.657,0.75,0.885,1.255,0.817
MAPE,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.243,,,0.216,0.216,0.216
AR52,0.181,0.179,0.167,0.176,0.198,0.171
ARGO(gt),0.25,0.16,0.169,0.197,0.276,0.183
"ARGO(gt,ath)",0.211,0.139,0.175,0.179,0.239,0.177
Net,0.163,0.141,0.189,0.16,0.17,0.174
ARGONet,0.169,0.122,0.185,0.156,0.184,0.171
