Week,UT,athena_flu,athena_ILI,athena_viral,thermoscan,how long is the flu contagious,influenza b symptoms,strep,flu fever,flu how long,how long flu,upper respiratory,strep throat,expectorant,how long contagious,can adults get rsv,rsv in adults,influenza a symptoms,fever cough,signs of rsv,oscillococcinum,flu symptoms,cold and flu,acute bronchitis,fever flu,what to eat when you have the flu,tamiflu side effects,symptoms of flu,cold,flu shots,high fever,symptoms of rsv,flu cold,body temperature,symptoms of bronchitis,robitussin,influenza symptoms,walking pneumonia,clarithromycin,tessalon,symptoms of pneumonia,stomach flu,tussin,how long does the flu last,flu virus,rsv baby,flu shot,rsv infection,symptoms of influenza,rsv,tussionex,pneumonia,is rsv contagious,how long are you contagious with the flu,bronchitis,cough fever,flu and cold,sinus,how to break a fever,the flu,flu a,normal body temperature,gripe,rsv symptoms,oseltamivir,flu vaccine,cold vs flu,a influenza,human temperature,influenza a,influenza b,flu vs cold,flu medicine,cold symptoms,stomach flu symptoms,how long does rsv last,how long is rsv contagious,symptoms of the flu,what is rsv
2009-10-04,6.131682962,0.0514950166113,0.0614617940199,0.102990033223,0.0,0.0,0.0,809.50950456,441.05933681,441.607125388,441.607125388,221.1797498,589.084165311,221.187462307,441.371937873,0.0,0.0,219.98856003,0.0,0.0,0.0,5002.16270351,0.0,0.0,441.05933681,0.0,0.0,1031.04842542,8037.89159665,1617.20248683,0.0,0.0,294.420468346,441.474352239,0.0,220.313458922,220.852559631,331.590583894,0.0,0.0,219.922198474,367.880400099,0.0,221.85630858,367.216046632,0.0,2942.97490428,0.0,0.0,0.0,0.0,1249.49782482,0.0,0.0,367.858327181,0.0,0.0,809.629059108,0.0,2718.78028095,1324.51180644,0.0,221.172783388,0.0,0.0,2575.20797967,220.652622658,221.254165402,0.0,221.254165402,0.0,220.652622658,220.054961648,294.131172505,441.677976122,0.0,0.0,514.801767895,0.0
2009-10-11,12.69706008,0.0936300844206,0.121258633922,0.184190330008,0.0,227.343634571,0.0,981.290068838,452.936739322,830.706131188,830.706131188,224.499047988,756.478028081,0.0,677.529895053,0.0,0.0,0.0,226.014369212,0.0,0.0,10038.7076837,226.229775471,0.0,452.936739322,0.0,227.412214853,3550.88497642,8020.91390936,1962.95069053,227.755737836,0.0,679.897048841,455.312079812,227.555356509,224.499047988,0.0,0.0,0.0,0.0,455.174647179,226.456949874,0.0,448.051128011,301.420272563,0.0,3321.45814583,0.0,227.144111889,454.836219223,227.138141681,980.084719054,0.0,225.3005887,678.050710419,226.014369212,226.229775471,1206.80624913,0.0,3618.6706428,1056.93579838,227.624042098,0.0,0.0,0.0,3245.97536244,448.727125489,338.649788806,227.175525054,338.649788806,448.591762857,448.727125489,0.0,301.64671007,0.0,0.0,0.0,829.522907469,0.0
2009-10-18,13.82892969,0.0778931750742,0.11350148368,0.228486646884,0.0,219.219541145,0.0,654.48803048,363.604752787,1454.50547398,1454.50547398,218.184195913,873.046992486,216.572739552,435.080763815,0.0,0.0,0.0,439.632294187,0.0,217.988275307,9814.17083171,218.701842216,0.0,363.604752787,0.0,216.918335442,2110.16231869,8014.237439,1889.95884786,219.616917957,0.0,800.67980017,799.755761605,218.955421216,326.832391862,219.28567072,0.0,0.0,0.0,217.987657186,218.833490719,0.0,543.655551805,217.61592151,0.0,3054.12446685,0.0,0.0,0.0,217.988275307,1525.23222797,0.0,219.219541145,581.54819268,439.632294187,218.701842216,1017.77656523,0.0,5518.81379414,1163.27161623,218.317264554,216.768851299,0.0,220.215691741,4071.3427153,218.283384725,362.859860795,216.507447801,362.859860795,0.0,218.283384725,435.843177604,508.410716299,219.418049634,0.0,0.0,654.005973342,0.0
2009-10-25,12.27409639,0.0963194988254,0.129992169146,0.239624119029,0.0,218.053201823,0.0,866.295852099,288.830819377,577.465124802,577.465124802,0.0,867.061210368,0.0,360.913090191,0.0,0.0,0.0,0.0,0.0,217.594004346,8729.69169764,325.222781053,215.125264847,288.830819377,0.0,435.581132458,2744.58398638,9186.47327858,1154.8032296,430.510499803,0.0,722.439183951,865.775247864,0.0,216.565827378,0.0,216.489765743,0.0,0.0,433.581550552,217.371667135,0.0,214.995436685,432.146367312,0.0,2310.03542657,0.0,0.0,217.987483558,216.043667457,1947.03390517,0.0,214.865765131,794.432392894,0.0,325.222781053,1301.43733234,0.0,2451.61246598,1082.95772637,215.550507101,216.839920661,0.0,217.921804895,2958.93228235,288.83096478,218.053201823,322.887568812,218.053201823,216.500419396,288.83096478,0.0,218.316471611,215.060331172,0.0,0.0,431.491209808,0.0
2009-11-01,9.98438415,0.0855728429986,0.111032531825,0.239038189533,216.747459379,0.0,0.0,1303.532748,289.754257797,651.864661484,651.864661484,218.229889142,941.992146692,216.755447684,326.158492828,0.0,0.0,0.0,433.364269294,216.29101166,0.0,6586.20388398,216.98306735,0.0,289.754257797,0.0,506.191449752,1449.1017832,7038.44527627,1520.21360254,216.961476254,0.0,579.948414496,362.198753484,0.0,218.493611062,0.0,0.0,435.068879128,0.0,216.69820595,216.240898913,218.493611062,0.0,360.869948416,0.0,2462.24363378,0.0,0.0,0.0,0.0,1301.80880576,0.0,0.0,362.220370214,433.364269294,216.98306735,940.364805756,0.0,2892.6090791,1086.1579012,0.0,217.421104026,0.0,217.289022022,2389.25501988,326.191748842,217.420866821,0.0,217.420866821,0.0,326.191748842,435.802261293,434.069739261,0.0,0.0,0.0,216.50198059,0.0
2009-11-08,6.415451818,0.0796019900498,0.0945273631841,0.160625444208,0.0,216.262519364,0.0,937.452551978,432.582006886,288.482064761,288.482064761,0.0,972.745838947,217.282847231,360.444874733,0.0,0.0,0.0,325.076710691,0.0,0.0,4901.67816519,216.641613189,0.0,432.582006886,215.172656205,214.71952486,1009.87478178,7442.67050566,936.584747917,434.565694463,216.084680785,505.047618295,217.348511434,215.36744135,216.673870342,0.0,216.455450496,215.953918497,0.0,216.392994489,216.824306402,0.0,217.020586704,216.054927944,217.282847231,1658.75599191,0.0,0.0,215.237545426,216.693649996,1512.54802442,0.0,0.0,577.02988502,325.076710691,216.641613189,1368.98674544,0.0,1512.13571049,432.60387291,216.327737253,429.956446165,0.0,0.0,1513.65639557,0.0,215.237545426,432.995920732,215.237545426,0.0,0.0,324.880032891,323.574552237,0.0,0.0,0.0,0.0,0.0
2009-11-15,3.654760588,0.0397175639894,0.0573698146514,0.110326566637,218.378180178,0.0,0.0,660.97101383,442.863406567,367.220840704,367.220840704,0.0,734.819312583,0.0,293.794499425,0.0,0.0,0.0,222.101288113,0.0,0.0,3303.75085557,221.899987852,0.0,442.863406567,0.0,331.312176868,734.620324212,8168.4859787,219.038531494,0.0,0.0,655.727601374,440.718870691,221.231614395,221.364966784,220.193191503,332.552308176,0.0,0.0,0.0,220.279478792,0.0,221.632154433,221.231614395,0.0,514.073938043,0.0,219.762014858,218.31236397,0.0,880.166141423,0.0,0.0,587.589788481,222.101288113,221.899987852,1909.24912641,218.180850497,1319.90670458,367.154632261,220.168662959,0.0,0.0,0.0,807.536605877,218.575867125,0.0,0.0,0.0,0.0,218.575867125,0.0,220.319648693,220.652056129,0.0,0.0,329.841752514,0.0
2009-11-22,2.765757291,0.0262361251261,0.0353178607467,0.0776992936428,0.0,0.0,0.0,1520.91165917,267.401316768,535.801933244,535.801933244,0.0,805.701415446,0.0,537.503879505,0.0,0.0,0.0,267.416516411,0.0,0.0,1519.75309367,267.174947742,267.658522309,267.401316768,0.0,0.0,802.644775854,8876.01049985,400.921202594,0.0,0.0,1070.95715323,267.603019577,267.335944999,0.0,0.0,534.028288566,0.0,0.0,0.0,267.199443639,0.0,0.0,268.325236639,0.0,626.235641011,0.0,0.0,267.955341581,269.889913615,1251.09603712,0.0,0.0,626.101398197,267.416516411,267.174947742,1075.39089314,0.0,893.490244373,672.146128584,0.0,0.0,0.0,0.0,357.8762661,267.739288308,0.0,0.0,0.0,0.0,267.739288308,0.0,357.552257208,267.063716043,0.0,0.0,0.0,0.0
2009-11-29,1.81146676,0.0160055671538,0.0375782881002,0.0723729993041,0.0,0.0,0.0,1153.26711715,216.02444065,0.0,0.0,0.0,577.375369218,0.0,215.921582825,0.0,0.0,0.0,216.443921096,0.0,0.0,2016.65405792,216.222640978,0.0,216.02444065,0.0,0.0,504.517512233,9027.01610338,538.956304167,0.0,215.661357959,432.226299146,216.045453762,215.596399718,323.992445359,0.0,216.505372268,0.0,215.828884427,216.247748358,216.58876363,0.0,0.0,215.763777675,0.0,540.765257793,0.0,0.0,323.893519655,0.0,647.730020105,0.0,0.0,576.373393213,216.443921096,216.222640978,1298.3641821,0.0,791.747451885,216.254737354,216.208138415,0.0,216.051930898,216.837336281,576.307846576,216.581643597,0.0,0.0,0.0,0.0,216.581643597,216.719514469,324.41477279,0.0,0.0,0.0,0.0,0.0
2009-12-06,1.133485309,0.00910364145658,0.0245098039216,0.0336134453782,0.0,0.0,0.0,1107.44830355,220.904164304,0.0,0.0,221.520861747,590.827434212,0.0,0.0,0.0,0.0,0.0,221.572153914,0.0,0.0,1032.91096693,0.0,0.0,220.904164304,0.0,0.0,222.423948312,10652.9140013,444.245031919,221.371333231,0.0,220.771049411,221.438232999,220.704552107,221.987959098,0.0,0.0,223.62089473,0.0,0.0,330.857712049,0.0,0.0,220.38333377,0.0,738.45495488,0.0,0.0,222.744742943,0.0,516.355364736,0.0,0.0,443.064431016,221.572153914,0.0,960.987578215,0.0,1541.37465469,220.462558001,0.0,221.505173215,0.0,220.884199369,738.009902393,0.0,0.0,0.0,0.0,0.0,0.0,220.837586798,368.637671429,220.12993495,0.0,0.0,220.262863655,0.0
