Metric,10.11,11.12,12.13,13.14,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.888,0.668,0.902,0.867,0.893,0.901,0.893,0.819
ARGO,,,0.878,0.886,0.903,0.872,0.869,0.903,0.906,0.889
ARGO_top10,,,0.88,0.866,0.934,0.88,0.891,0.913,0.915,0.894
ARGO_all_weighted1,,,0.832,0.91,0.919,0.732,0.825,0.878,0.893,0.887
ARGO_all_weighted2,,,0.879,0.876,0.928,0.85,0.869,0.907,0.912,0.894
ARGO_all_weighted_more_ar,,,0.87,0.87,0.936,0.868,0.848,0.904,0.908,0.892
ARGO_top10_weighted1,,,0.852,0.879,0.946,0.726,0.806,0.887,0.906,0.892
ARGO_top10_weighted2,,,0.877,0.869,0.938,0.856,0.869,0.909,0.913,0.895
ARGO_top10_weighted_more_ar,,,0.879,0.853,0.949,0.862,0.856,0.908,0.914,0.894
ARGO_obs_weight,,,0.886,0.902,0.904,0.872,0.875,0.909,0.91,0.897
ARGO_top10_obs,,,0.879,0.871,0.933,0.887,0.901,0.915,0.914,0.894
ARGO_top10_weighted2_obs,,,0.871,0.863,0.94,0.868,0.881,0.909,0.909,0.891
GFT,,,0.847,0.84,0.896,,,0.869,0.869,0.861
RMSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.772,0.693,0.531,0.46,0.434,0.529,0.593,0.665
ARGO,,,0.849,0.403,0.59,0.474,0.53,0.536,0.581,0.614
ARGO_top10,,,0.889,0.437,0.449,0.47,0.49,0.51,0.557,0.592
ARGO_all_weighted1,,,1.084,0.445,0.523,0.621,0.651,0.623,0.657,0.684
ARGO_all_weighted2,,,0.848,0.426,0.498,0.504,0.513,0.521,0.561,0.591
ARGO_all_weighted_more_ar,,,0.906,0.439,0.472,0.489,0.531,0.532,0.575,0.606
ARGO_top10_weighted1,,,1.023,0.453,0.416,0.633,0.66,0.593,0.606,0.631
ARGO_top10_weighted2,,,0.869,0.439,0.446,0.498,0.513,0.516,0.556,0.584
ARGO_top10_weighted_more_ar,,,0.88,0.468,0.406,0.495,0.52,0.518,0.556,0.584
ARGO_obs_weight,,,0.835,0.375,0.599,0.454,0.505,0.524,0.574,0.603
ARGO_top10_obs,,,0.917,0.427,0.454,0.436,0.454,0.508,0.566,0.599
ARGO_top10_weighted2_obs,,,0.91,0.45,0.438,0.469,0.479,0.518,0.57,0.6
GFT,,,1.102,0.657,0.675,,,0.729,0.729,0.811
MAPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.147,0.189,0.122,0.189,0.286,0.294,0.328,0.152
ARGO,,,0.159,0.14,0.162,0.182,0.426,0.324,0.344,0.154
ARGO_top10,,,0.151,0.154,0.116,0.183,0.383,0.296,0.319,0.14
ARGO_all_weighted1,,,0.218,0.159,0.149,0.192,0.555,0.37,0.376,0.175
ARGO_all_weighted2,,,0.16,0.152,0.14,0.184,0.394,0.321,0.353,0.151
ARGO_all_weighted_more_ar,,,0.155,0.155,0.135,0.173,0.365,0.311,0.344,0.149
ARGO_top10_weighted1,,,0.191,0.164,0.116,0.207,0.532,0.344,0.34,0.157
ARGO_top10_weighted2,,,0.163,0.151,0.131,0.181,0.394,0.311,0.34,0.149
ARGO_top10_weighted_more_ar,,,0.154,0.164,0.118,0.175,0.356,0.3,0.331,0.145
ARGO_obs_weight,,,0.137,0.132,0.164,0.18,0.371,0.315,0.343,0.144
ARGO_top10_obs,,,0.144,0.139,0.112,0.172,0.33,0.285,0.312,0.132
ARGO_top10_weighted2_obs,,,0.15,0.154,0.131,0.171,0.345,0.301,0.337,0.145
GFT,,,0.18,0.221,0.17,,,0.393,0.393,0.19
