Metric,10.11,11.12,12.13,13.14,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,0.847,0.84,0.896,,,0.869,0.869,0.861
AR52,,,0.888,0.668,0.902,0.867,0.893,0.901,0.893,0.819
ARGO,,,0.886,0.902,0.904,0.872,0.875,0.909,0.91,0.897
RMSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,1.102,0.657,0.675,,,0.729,0.729,0.811
AR52,,,0.772,0.693,0.531,0.46,0.434,0.529,0.593,0.665
ARGO,,,0.835,0.375,0.599,0.454,0.505,0.524,0.574,0.603
MAPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,0.18,0.221,0.17,,,0.393,0.393,0.19
AR52,,,0.147,0.189,0.122,0.189,0.286,0.294,0.328,0.152
ARGO,,,0.137,0.132,0.164,0.18,0.371,0.315,0.343,0.144
