Metric,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.896,,,0.902,0.902,0.902
AR52,0.902,0.867,0.893,0.924,0.933,0.909
ARGO(gt),0.854,0.829,0.856,0.886,0.885,0.871
"ARGO(gt,ath)",0.926,0.849,0.836,0.891,0.933,0.864
Net,0.929,0.834,0.84,0.916,0.946,0.878
ARGONet,0.93,0.849,0.88,0.921,0.944,0.901
RMSE,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.675,,,0.602,0.602,0.602
AR52,0.531,0.46,0.434,0.427,0.471,0.43
ARGO(gt),0.685,0.514,0.534,0.527,0.622,0.53
"ARGO(gt,ath)",0.519,0.537,0.593,0.502,0.475,0.547
Net,0.482,0.489,0.52,0.444,0.43,0.482
ARGONet,0.485,0.47,0.466,0.43,0.436,0.448
MAPE,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.17,,,0.221,0.221,0.221
AR52,0.122,0.189,0.286,0.211,0.156,0.248
ARGO(gt),0.189,0.212,0.428,0.283,0.242,0.356
"ARGO(gt,ath)",0.151,0.184,0.492,0.296,0.203,0.394
Net,0.136,0.176,0.328,0.219,0.165,0.273
ARGONet,0.134,0.161,0.326,0.222,0.169,0.274
