Week,VA,athena_flu,athena_ILI,athena_viral,thermoscan,how long is the flu contagious,how contagious is the flu,influenza b symptoms,sinus infection cure,robitussin cough,strep,signs of flu,flu fever,flu how long,how to reduce fever,braun thermoscan,sinus infections,how long flu,upper respiratory,strep throat,intestinal flu,ear thermometer,how long does flu last,cold or flu,the flu symptoms,expectorant,how long contagious,how to get rid of the flu,treat flu,flu in children,how to treat flu,contagious flu,flu care,flu or cold,rsv in adults,influenza a symptoms,fever cough,oscillococcinum,flu symptoms,flu incubation,cold and flu,acute bronchitis,fever flu,what to eat when you have the flu,type a flu,tamiflu side effects,flu shot symptoms,symptoms of flu,cold,type b flu,medicine for flu,flu children,treatment for flu,cough and fever,flu shots,high fever,symptoms of rsv,flu cold,flu remedies,dangerous fever,do i have the flu,flu treatment,body temperature,biaxin side effects,flu incubation period,flu test,symptoms of bronchitis,robitussin,rsv treatment,influenza symptoms,tamiflu dosage,walking pneumonia,oscillo,how to treat the flu,incubation period for flu,clarithromycin,the flu virus,tessalon,when is the flu contagious,symptoms of pneumonia,stomach flu,tussin,how long does the flu last,type b flu symptoms,flu virus,rsv baby,flu shot,chest cold,remedies for flu,rsv infection,flu like symptoms,flu contagious,flu while pregnant,is the flu contagious,type a flu symptoms,flu contagious period,what is influenza,rsv,tussionex,pneumonia,signs of the flu,tamiflu generic,how long are you contagious with the flu,flu a symptoms,fever reducer,bronchitis,cough fever,flu and cold,sinus,how to break a fever,the flu,flu a,normal body temperature,gripe,flu duration,when is the flu no longer contagious,rsv symptoms,oseltamivir,how long is flu contagious,home remedies for flu,flu a and b,flu vaccine,cold vs flu,a influenza,human temperature,influenza a,influenza b,flu vs cold,cure flu,normal body,flu medicine,cold symptoms,tamiflu wiki,stomach flu symptoms,treat the flu,symptoms of the flu,early flu symptoms,flu headache,flu type b,flu type a,what is rsv,is flu contagious
2009-10-04,6.088217022,0.0172332547964,0.0188488724335,0.0259171995961,18.0358877351,17.9806130782,17.8278795703,0.0,17.8690243462,17.8010948955,359.871733505,54.010541434,126.014957079,155.602046827,0.0,27.0633908268,78.026128073,155.602046827,17.9734910431,257.937196797,0.0,27.0388325212,47.8698771052,18.0477942632,131.922346721,35.7525913169,35.9805480144,17.9048596677,24.0443911857,89.9294684095,29.9825988039,45.1862432699,53.9761405448,18.0477942632,0.0,18.014177371,27.0187759952,18.058700912,2286.85152842,101.867872723,53.9706912535,27.1385132396,126.014957079,17.9249754348,53.8117413409,42.0309405072,42.0436348414,576.264125658,3629.82963269,17.8278795703,35.709489941,179.829985277,35.9659970553,17.9175205965,768.051156707,45.1101681118,0.0,168.211615714,47.9747863928,0.0,18.1651499023,72.0717119351,150.146615659,0.0,89.891520877,42.105408579,0.0,36.1856452067,0.0,24.0208178336,17.9757797042,48.0237685755,0.0,0.0,35.7110898165,17.966805385,18.0246663305,17.9141348086,0.0,24.0280507886,48.0090379718,18.2035888531,27.1549839114,0.0,126.123833025,0.0,1247.66999948,18.0113918926,18.1596718716,17.9589039167,27.1139806491,45.1862432699,0.0,17.8816914615,18.1816038424,17.9697519408,36.2974514322,35.9552129277,41.9513066454,707.772694637,27.0008222833,17.9480689822,18.2421908289,108.068329,0.0,209.820272007,27.0187759952,53.9706912535,635.975431342,0.0,1096.1713607,444.063589619,54.0286982875,1280.83354258,35.7811262815,0.0,0.0,29.9716816656,17.952832821,17.9589039167,17.8010948955,1088.53666799,18.2035888531,167.776673951,41.9441684877,167.776673951,24.0208025025,18.2035888531,30.1135057183,102.10108011,24.0008642427,167.995196956,0.0,18.0141085429,35.6772320458,149.732239754,17.8709031107,45.1426643118,17.8278795703,53.8117413409,0.0,30.0332396173
2009-10-11,8.912076109,0.0250259965338,0.0275216637782,0.0365337954939,18.0256326681,30.0378827057,29.9384253748,18.1516843229,17.9115005226,17.8930737162,414.121743744,84.0350043702,96.0599195186,191.603015579,17.9015191765,17.9913086594,35.8779933435,191.603015579,65.8847747306,186.041170431,0.0,17.9254155656,53.8833523423,18.0227071057,233.950744806,54.024270362,60.02143725,0.0,35.9564983942,71.9666191017,18.033670821,119.981236391,66.0401636449,18.0227071057,0.0,17.8791595647,29.9546585503,18.0335985937,2774.41116005,161.982859667,35.9968696676,17.9069079541,96.0599195186,0.0,47.9820561172,42.0609925913,60.0938724568,732.713611482,4129.6668541,0.0,17.9602319328,221.891462295,23.988266194,17.9439586933,978.494302299,66.0384022128,0.0,192.218826788,66.0077281619,17.9767923372,23.9774770254,89.9762898533,162.11168939,53.7021216332,131.96631154,126.388398905,36.10758799,108.307865484,18.135262413,24.0190668746,45.048419906,66.0043845218,0.0,17.965662907,53.9358756941,29.9619579767,35.8770816628,18.0721887131,0.0,71.8655973707,84.0568576514,36.1107977627,35.9049293135,17.9277149166,144.236067466,0.0,1914.57114396,17.9875934884,23.9774368312,0.0,30.0053237488,119.981236391,17.922708213,30.0088566566,0.0,30.1017714046,27.0442581008,35.9770456481,44.7770394175,660.153338853,18.020464984,0.0,17.9115005226,108.081388229,17.9308058155,329.959066476,29.9546585503,35.9968696676,600.283061091,17.9277149166,1524.56036897,552.32269291,45.1600764693,999.894993907,41.9651872832,0.0,18.1462070494,18.0308732553,27.0769186263,17.9447204294,17.8930737162,1430.3612337,41.8984736798,197.969049634,41.9904414284,197.969049634,42.0610189069,41.8984736798,18.2730264849,42.0646414359,54.0116140089,162.103745225,17.9331262401,41.9975543558,0.0,137.8081503,36.1614733383,24.0009422367,0.0,47.9820561172,0.0,36.0494272418
2009-10-18,14.54038917,0.0486808624615,0.053100308022,0.0664256059997,23.2528487046,26.0826357445,23.1723539107,0.0,0.0,17.3937180591,487.631108843,116.143222535,185.850866684,266.448055751,17.2307295043,17.3413415526,63.8871453854,266.448055751,69.4857563532,284.474110109,0.0,60.7861143933,121.619431345,26.0696248509,342.356616206,26.0799932444,92.8660187804,17.4735507404,52.3544809225,185.668621666,58.0997890989,127.731980017,87.0837406302,26.0696248509,0.0,0.0,34.755911298,29.0279504887,3891.92765378,208.843301525,52.2299016711,0.0,185.850866684,0.0,69.6411288339,110.432986897,69.7532435603,976.257302938,4355.02068315,17.4779879991,17.3884507539,272.664784308,40.6096487268,17.3857971714,1074.47964273,75.5073186076,0.0,238.439760162,43.507198888,0.0,26.1669485902,98.7865909328,162.733586913,17.3088615909,220.449002191,122.258980207,26.1405995764,63.8904980598,0.0,52.2046855693,40.6026643826,98.8064264411,0.0,17.5271259787,81.14966974,34.8959696638,46.5214980614,43.4711229816,35.001331891,81.4192337099,92.9395622629,17.41389519,70.0948944212,0.0,174.404501155,0.0,2293.00842534,52.3597159995,17.4006466827,0.0,46.4111538356,127.731980017,35.0510799233,34.8415342775,17.5043738506,40.8033883604,26.0590196625,52.2404747053,23.2020219143,772.026297412,28.9772039826,0.0,17.413984279,168.524067588,0.0,382.970810496,34.755911298,52.2299016711,661.900752818,0.0,1952.84371984,661.613081773,92.9693622393,1239.60414628,46.4234403426,0.0,0.0,40.6114330725,58.1877043522,17.2723119586,26.1616767541,1823.69798025,34.7781202877,191.419940698,29.017509396,191.419940698,26.2828790754,34.7781202877,17.4483677488,110.413683097,81.2911225603,209.023045642,17.3088615909,43.4395603786,17.3622221906,208.706709251,26.0511681981,52.2264385404,17.4779879991,69.6411288339,17.4532386665,104.628111603
2009-10-25,14.73018753,0.0478592855195,0.049836378511,0.0611535314971,34.5174136005,17.1957463862,34.3927456107,0.0,0.0,17.2175482729,489.275903408,126.687641812,195.809396308,327.409886455,17.1543482607,34.5122427413,63.3335459846,327.409886455,51.6926969365,282.033806029,0.0,46.0394892093,114.838847741,34.5708363438,373.994723535,17.3280475411,120.800544708,17.2560820426,25.9023799252,184.07456579,23.0267332781,155.440204978,86.3201127949,34.5708363438,17.2269263434,17.2513275929,40.1940860384,63.2622521779,3881.93124422,241.65326516,92.065030562,0.0,195.809396308,0.0,34.5253306642,109.498017399,28.8133450976,1094.54174235,3926.37959247,17.1543482607,17.2730734706,327.858067024,43.075176157,69.3540579928,972.997863827,69.0818580179,0.0,293.835102379,34.5254050448,34.5102624007,34.3707562679,115.245085562,276.501968628,0.0,212.835890864,132.761737586,75.0199605311,57.6319728103,0.0,40.2980166494,40.242489755,51.8558722883,17.348217148,0.0,91.9820481597,17.3010752536,51.8817882938,17.3071514934,0.0,92.2162920789,51.8314023517,0.0,40.3920635637,0.0,219.095742442,17.3063005859,1934.08419233,46.0203815137,25.8509030996,0.0,57.5191528031,155.440204978,17.3219955381,34.5408823287,17.245674273,52.0671550526,34.5079104812,51.7723391091,68.9322503663,690.696206539,34.4836753214,0.0,17.1905606967,190.045627869,0.0,425.608461292,40.1940860384,92.065030562,627.592986139,17.221721834,1797.67211906,702.518397517,86.4070971501,924.587417166,34.6335214505,0.0,0.0,43.0674165712,23.0580717166,0.0,17.3071514934,1779.29183331,46.0050544096,172.666844582,57.5660475618,172.666844582,17.3381036955,46.0050544096,34.7762548473,167.171803074,97.8812540777,224.558452854,17.3280475411,28.771623777,17.1646790938,212.628244718,40.2442900199,34.4965477214,17.1543482607,34.5253306642,0.0,97.9646715105
2009-11-01,10.11299526,0.0253782668501,0.0270288858322,0.034250343879,17.5378152802,17.4960846526,17.2611398017,0.0,0.0,17.4513722943,525.506467583,64.2406404658,163.518118758,320.431450527,23.3092445585,0.0,105.225438622,320.431450527,52.4234923617,332.817897277,0.0,17.4373157569,75.7255889321,23.3478876167,239.311889012,52.4485995217,116.8329104,17.3236801633,26.2692264872,128.373781758,29.1845003578,99.2316887433,70.0753735697,23.3478876167,0.0,26.4410042725,29.1352518679,29.1756811399,2646.89708074,157.630871118,64.2053617083,17.3446277814,163.518118758,0.0,17.4697358503,111.073938488,75.9983292459,683.633050097,3667.54708671,0.0,23.3549631771,198.382226454,26.1559522398,17.5166471105,636.78308227,75.9066757934,0.0,146.222969238,70.0081651266,17.4902966873,17.5264739934,58.4553982651,210.380243146,17.297566687,128.370330528,76.1132730386,61.367278695,111.065208972,0.0,52.9510965871,34.8719895532,70.1710553952,17.6164891166,0.0,46.6466732422,29.1405306977,40.9456978528,17.5307663298,0.0,46.7680690856,52.5958415058,17.6825435549,17.6388032433,0.0,111.102393814,0.0,1308.19551913,17.6016025633,17.3027830823,0.0,34.9184350532,99.2316887433,17.3446277814,17.661194272,0.0,35.0772948297,17.292353436,75.8627210125,40.8381346008,753.303613159,26.1769254586,0.0,17.612207533,81.8137994838,0.0,373.510871429,29.1352518679,64.2053617083,665.858821203,17.5952260036,1301.86710142,438.058490807,88.1754054559,1019.4573292,0.0,0.0,0.0,52.4249291247,52.4723797191,0.0,17.2455752031,1292.55924843,46.5994850087,210.184534645,29.210945171,210.184534645,35.0053587319,46.5994850087,17.4342232454,122.789415714,52.4222365524,169.3951681,26.2454318893,35.2350392303,0.0,128.222932847,34.9893257217,34.8720038556,0.0,17.4697358503,0.0,17.4960686978
2009-11-08,6.879280384,0.0145267458576,0.0160399485511,0.0215631383824,34.4501150358,17.0952611478,25.6040662473,0.0,34.3670276314,17.0866142946,428.438644766,62.8755452418,97.1630056963,136.824707489,34.2740320665,0.0,68.6044253387,136.824707489,39.9334601378,262.819660586,0.0,22.8525490341,85.4958272458,17.0952611478,177.045131181,22.8611521091,51.3890536626,0.0,17.1500398612,97.0681484283,17.1642295446,45.7223479056,39.9919392641,17.0952611478,0.0,0.0,51.2180835662,34.2702604699,2023.81933548,125.727280715,39.9815925126,0.0,97.1630056963,0.0,0.0,45.7637475095,17.1055812571,486.001834341,3794.61212041,0.0,17.1045504845,137.032514033,25.6529530047,34.1802115228,497.339505021,45.7361717801,0.0,188.751904743,39.9834650717,0.0,34.2424337646,74.3055848806,137.362470716,17.1190177813,85.6384888676,63.0190171755,77.4736794622,91.4878341145,0.0,34.2245763136,34.1781844621,51.4081973487,0.0,0.0,34.3153012201,25.6556326316,51.4454975166,22.8646374984,0.0,62.9203989843,57.2090619601,0.0,51.5288272052,0.0,74.4142334961,0.0,811.269747017,34.2142521578,17.0901057614,0.0,17.1123629021,45.7223479056,17.0695152725,17.1174517933,0.0,17.2490224728,17.1307871521,74.2208842974,68.4967213274,645.665186192,17.1134561973,0.0,17.1835138157,74.31917423,34.169906967,308.306847009,51.2180835662,39.9815925126,645.90580769,0.0,797.495357306,245.701171484,62.9412019858,1003.25743223,22.8354020123,0.0,17.1345147798,39.9626717874,17.1252112874,34.1905222955,0.0,780.62803807,68.0934703573,131.287093663,17.1342890743,131.287093663,25.7020403418,68.0934703573,25.8908414645,85.8161289598,25.7451456363,142.883606936,0.0,17.1359527334,17.1938809432,125.48787491,17.0839890722,34.2785273671,0.0,0.0,17.0695152725,22.8853289266
2009-11-15,4.247564309,0.0104678024834,0.012272596015,0.0168206757147,33.2443082602,0.0,0.0,0.0,0.0,16.4793169264,430.986109564,49.7837378262,93.9762812545,143.341631904,0.0,16.5163916503,55.3113643741,143.341631904,55.1430564527,298.40293919,0.0,27.6139065771,41.3079024641,16.5439416987,77.3168868922,33.1636606004,49.6947993507,0.0,16.6221632413,93.8778919836,16.5412507587,27.6339027948,24.8768421366,16.5439416987,0.0,16.5679795389,16.5661848117,24.8968838898,1293.85617424,49.7564694325,41.4210066176,24.8777102243,93.9762812545,16.5911941487,16.5661848117,33.1920507006,41.4885839592,342.77532365,3829.89055371,0.0,16.5289833427,110.428888451,16.5634076508,16.5929538825,221.076176552,41.5014674735,0.0,116.124320499,24.792732702,22.0559171475,16.6029647144,38.6652456866,149.264626071,16.5789500396,44.1799079639,22.1642939444,27.7057859715,83.0320450522,16.5489338356,27.6522762516,22.0774642661,77.5710393275,0.0,16.6162791111,16.5412507587,16.5535003208,49.7735824461,16.5920733053,0.0,49.7735824461,38.6868476542,16.6380979529,16.5689325471,0.0,99.5629366987,0.0,569.036242752,16.5610131117,33.0779051454,0.0,33.1223839786,27.6339027948,0.0,0.0,0.0,16.7189635566,33.1759059845,71.7939008426,33.085160526,585.656369363,33.1959155779,0.0,0.0,16.5829551155,0.0,353.361734878,16.5661848117,41.4210066176,657.591028486,0.0,582.734396759,215.614383916,66.3908424267,749.706860704,16.5821428999,0.0,0.0,24.8768557231,0.0,0.0,0.0,655.714457005,49.423100088,127.018620149,16.5709860706,127.018620149,24.9395143281,49.423100088,33.4480875285,121.705338093,33.1570052935,105.012494749,16.5995761194,16.5711806455,16.5761794934,60.6844580577,49.631825096,24.8893719921,0.0,16.5661848117,16.5462315629,16.5909208668
2009-11-22,3.557698175,0.00590128755365,0.00708154506438,0.0104077253219,17.3721956189,52.0645139167,0.0,0.0,0.0,0.0,324.850135367,34.8043858932,43.6400818036,63.6305838048,0.0,17.3791344405,69.649245755,63.6305838048,17.3655340466,237.832097426,17.297337003,0.0,17.3639293354,17.3979644157,86.9811496438,17.3643174869,34.785528726,17.2817209901,35.0203122493,43.5743033016,0.0,40.6062767963,17.3979644157,17.3979644157,0.0,0.0,17.394590352,17.4084783591,737.300653283,28.9868254587,23.1953196921,17.4392597582,43.6400818036,17.4422356851,17.3129812632,23.2321086666,26.15345715,162.551326573,3428.89251026,0.0,52.4670831934,34.7798673307,17.4784826436,0.0,98.6199649949,26.1877918422,0.0,81.3776420621,17.384375434,0.0,17.2609434476,17.4787462009,98.7377095937,0.0,17.3916922943,43.5119106847,43.5013821236,92.9179939845,0.0,17.4242620359,17.318202307,40.653805072,17.3477547214,0.0,0.0,70.0194769671,34.8563690256,35.0097384835,17.3391180103,43.44094703,52.2346406794,17.5260359519,0.0,0.0,46.441464952,0.0,324.761222652,17.3874852882,26.1508843441,0.0,17.3952328034,40.6062767963,0.0,17.3286538474,0.0,17.5001025913,34.7024515578,98.5203966401,46.3696697535,464.006219258,0.0,0.0,0.0,29.0357867727,0.0,371.105211311,17.394590352,23.1953196921,522.246512715,0.0,401.918658128,168.199783548,61.105739077,787.035484246,0.0,0.0,0.0,34.788635181,34.8148886633,17.4365524471,0.0,370.173487712,17.297337003,115.980488254,17.3129812632,115.980488254,17.3800721931,17.297337003,17.4001173979,87.1230773547,26.1561434461,168.269007238,0.0,17.4365524471,0.0,34.7764237385,17.4103439039,26.0137722037,0.0,17.3129812632,0.0,34.8642616142
2009-11-29,3.190589827,0.00435540069686,0.00566202090592,0.00892857142857,0.0,0.0,0.0,0.0,0.0,15.9163737028,404.272097134,31.9187907292,58.5309731037,68.995192814,0.0,15.9363483699,37.2358213959,68.995192814,15.9747607794,276.601782308,0.0,23.9174460998,15.938798726,15.9795753547,53.1794506639,23.9511157134,63.819976628,0.0,15.9943260903,31.8209586024,0.0,15.9597844309,15.958172528,15.9795753547,0.0,15.8913215898,21.2295485794,21.2743859993,867.526063257,31.9739378467,63.81661368,23.9273681726,58.5309731037,0.0,15.9441166781,31.9075069939,31.919101874,223.66532181,4123.67240432,0.0,0.0,58.4779864852,21.2647223583,15.9509156757,159.64755402,47.9147127261,16.0230374816,165.155878323,15.9509156757,15.9461068377,0.0,31.9160752563,111.845653378,15.9747607794,26.5777101023,15.9943260903,16.0183491872,85.2260032848,0.0,0.0,15.9652283331,58.5426094687,0.0,0.0,15.9393026333,15.9603344451,15.9846589243,23.9562122744,0.0,21.3097037757,47.9211564862,15.9821201872,31.9834929388,0.0,42.6307455977,15.9221060748,409.697814829,37.1924612664,23.9032209914,15.9798297222,39.9346829618,15.9597844309,15.9988627118,0.0,0.0,0.0,0.0,69.0896085365,39.8962305964,526.659665708,15.9449582662,0.0,15.9843928329,37.2711204494,0.0,297.854489426,21.2295485794,63.81661368,590.650373176,0.0,320.478582704,164.908813362,42.5969386734,567.927459351,15.9653596078,0.0,15.9940365088,31.8729957099,15.9523272364,23.905624533,0.0,275.732054179,47.9098473133,101.022155967,21.2695870877,101.022155967,0.0,47.9098473133,32.0751548861,85.2162880109,31.9332336564,143.671741602,0.0,26.5921272177,0.0,37.1812919074,0.0,15.9569932928,0.0,15.9441166781,0.0,15.9344914945
2009-12-06,2.836548337,0.00326094498023,0.00409352667731,0.00770138069798,0.0,0.0,0.0,0.0,16.2451132637,0.0,340.928614492,16.2767911607,64.9420852358,48.6030997681,16.1960307756,0.0,75.8646366618,48.6030997681,32.3688917065,227.311791838,0.0,16.2418366639,16.1509741076,0.0,32.4579615151,16.2076468269,32.4841236388,0.0,16.3482724347,24.3639542129,16.1558359301,16.2891644898,32.3920615512,0.0,0.0,0.0,24.3492756512,16.2744542268,568.641716811,48.7936470088,32.4661132564,24.386095474,64.9420852358,16.3581654891,16.1801890141,0.0,16.3186649386,124.589820974,4758.56562698,0.0,16.2242100845,48.7181109173,16.2989861144,16.2565329614,173.23978352,27.065466637,0.0,81.2705063851,16.2331275155,16.25470374,0.0,24.298167997,146.304010512,0.0,37.8815080773,16.3482724347,37.9846051537,43.3311982305,0.0,0.0,0.0,70.3709028277,0.0,16.3186649386,16.2253714111,32.3945424788,0.0,0.0,0.0,48.8014829437,48.7433732267,16.2101294477,0.0,0.0,48.8673448671,0.0,357.126189906,40.4763762774,0.0,0.0,0.0,16.2891644898,0.0,0.0,0.0,16.3088195902,16.1850684438,64.9404844938,43.2512015398,465.478886629,0.0,0.0,0.0,32.6767826784,0.0,286.669479016,24.3492756512,32.4661132564,666.069166659,0.0,249.983700611,102.863301097,37.9338237497,437.40183504,16.2400816299,0.0,0.0,0.0,16.3088195902,0.0,0.0,226.755331477,0.0,37.8718049567,32.4629612553,37.8718049567,16.2291161051,0.0,16.2340250937,81.3141257903,21.6664225639,86.6558768251,0.0,24.3688514898,0.0,24.2590319084,0.0,16.2253714111,0.0,16.1801890141,0.0,16.3334552693
