Metric,10.11,11.12,12.13,13.14,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.918,0.955,0.9,0.785,0.865,0.926,0.934,0.924
ARGO,,,0.963,0.975,0.981,0.904,0.959,0.97,0.973,0.973
ARGO_top10,,,0.961,0.986,0.982,0.955,0.944,0.967,0.97,0.976
ARGO_all_weighted1,,,0.935,0.978,0.981,0.963,0.944,0.968,0.971,0.965
ARGO_all_weighted2,,,0.96,0.984,0.975,0.941,0.939,0.967,0.971,0.973
ARGO_all_weighted_more_ar,,,0.956,0.983,0.971,0.963,0.939,0.968,0.972,0.97
ARGO_top10_weighted1,,,0.939,0.974,0.976,0.969,0.944,0.966,0.97,0.963
ARGO_top10_weighted2,,,0.963,0.984,0.978,0.936,0.941,0.966,0.97,0.975
ARGO_top10_weighted_more_ar,,,0.958,0.984,0.97,0.954,0.941,0.968,0.971,0.971
ARGO_obs_weight,,,0.963,0.976,0.986,0.902,0.957,0.972,0.976,0.975
ARGO_top10_obs,,,0.964,0.987,0.983,0.963,0.947,0.97,0.973,0.978
ARGO_top10_weighted2_obs,,,0.962,0.984,0.98,0.944,0.946,0.97,0.973,0.976
GFT,,,0.948,0.977,0.973,,,0.829,0.829,0.966
RMSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.739,0.286,0.901,0.391,0.69,0.539,0.572,0.642
ARGO,,,0.587,0.247,0.438,0.272,0.392,0.359,0.383,0.424
ARGO_top10,,,0.646,0.212,0.502,0.186,0.476,0.383,0.417,0.453
ARGO_all_weighted1,,,0.644,0.256,0.405,0.209,0.485,0.367,0.39,0.435
ARGO_all_weighted2,,,0.636,0.227,0.478,0.222,0.5,0.377,0.399,0.447
ARGO_all_weighted_more_ar,,,0.618,0.228,0.489,0.175,0.499,0.371,0.395,0.445
ARGO_top10_weighted1,,,0.636,0.273,0.473,0.179,0.501,0.38,0.409,0.461
ARGO_top10_weighted2,,,0.631,0.228,0.497,0.229,0.494,0.38,0.404,0.452
ARGO_top10_weighted_more_ar,,,0.603,0.231,0.506,0.191,0.501,0.374,0.398,0.447
ARGO_obs_weight,,,0.602,0.243,0.37,0.274,0.402,0.352,0.37,0.405
ARGO_top10_obs,,,0.606,0.195,0.469,0.168,0.46,0.36,0.389,0.423
ARGO_top10_weighted2_obs,,,0.597,0.21,0.456,0.216,0.473,0.357,0.377,0.421
GFT,,,1.328,0.436,1.492,,,0.976,0.976,1.086
MAPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.139,0.082,0.112,0.117,0.143,0.115,0.11,0.111
ARGO,,,0.131,0.088,0.127,0.088,0.12,0.129,0.13,0.115
ARGO_top10,,,0.111,0.083,0.135,0.062,0.134,0.123,0.133,0.11
ARGO_all_weighted1,,,0.12,0.09,0.131,0.074,0.156,0.118,0.119,0.114
ARGO_all_weighted2,,,0.101,0.086,0.132,0.064,0.126,0.109,0.113,0.106
ARGO_all_weighted_more_ar,,,0.105,0.091,0.126,0.06,0.132,0.107,0.108,0.107
ARGO_top10_weighted1,,,0.128,0.1,0.138,0.061,0.157,0.124,0.131,0.122
ARGO_top10_weighted2,,,0.097,0.091,0.129,0.069,0.127,0.111,0.116,0.106
ARGO_top10_weighted_more_ar,,,0.104,0.093,0.132,0.062,0.134,0.112,0.118,0.109
ARGO_obs_weight,,,0.127,0.088,0.109,0.089,0.12,0.124,0.123,0.108
ARGO_top10_obs,,,0.099,0.078,0.129,0.057,0.128,0.114,0.121,0.102
ARGO_top10_weighted2_obs,,,0.095,0.076,0.119,0.063,0.119,0.102,0.105,0.097
GFT,,,0.341,0.183,0.34,,,0.256,0.256,0.288
