Metric,10.11,11.12,12.13,13.14,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,0.948,0.977,0.973,,,0.829,0.829,0.966
AR52,,,0.918,0.955,0.9,0.785,0.865,0.926,0.934,0.924
ARGO,,,0.964,0.987,0.983,0.963,0.947,0.97,0.973,0.978
RMSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,1.328,0.436,1.492,,,0.976,0.976,1.086
AR52,,,0.739,0.286,0.901,0.391,0.69,0.539,0.572,0.642
ARGO,,,0.606,0.195,0.469,0.168,0.46,0.36,0.389,0.423
MAPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,0.341,0.183,0.34,,,0.256,0.256,0.288
AR52,,,0.139,0.082,0.112,0.117,0.143,0.115,0.11,0.111
ARGO,,,0.099,0.078,0.129,0.057,0.128,0.114,0.121,0.102
