Metric,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.973,,,0.975,0.975,0.975
AR52,0.9,0.785,0.865,0.91,0.917,0.888
ARGO(gt),0.981,0.854,0.954,0.911,0.981,0.932
"ARGO(gt,ath)",0.985,0.961,0.945,0.971,0.986,0.958
Net,0.963,0.957,0.946,0.967,0.968,0.956
ARGONet,0.983,0.97,0.95,0.975,0.985,0.963
RMSE,0.0,0.0,0.0,0.0,0.0,0.0
GFT,1.492,,,1.292,1.292,1.292
AR52,0.901,0.391,0.69,0.597,0.777,0.643
ARGO(gt),0.922,0.609,0.41,0.601,0.801,0.505
"ARGO(gt,ath)",0.459,0.175,0.46,0.354,0.432,0.407
Net,0.563,0.191,0.441,0.372,0.49,0.407
ARGONet,0.459,0.155,0.428,0.328,0.406,0.378
MAPE,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.34,,,0.324,0.324,0.324
AR52,0.112,0.117,0.143,0.121,0.112,0.132
ARGO(gt),0.216,0.177,0.132,0.191,0.211,0.162
"ARGO(gt,ath)",0.127,0.055,0.136,0.13,0.181,0.133
Net,0.139,0.073,0.099,0.103,0.138,0.101
ARGONet,0.125,0.054,0.096,0.097,0.134,0.096
