Week,VT,athena_flu,athena_ILI,athena_viral,strep,flu how long,how long flu,strep throat,expectorant,flu symptoms,cold,flu shots,body temperature,robitussin,walking pneumonia,tessalon,symptoms of pneumonia,stomach flu,how long does the flu last,flu shot,rsv,pneumonia,bronchitis,sinus,the flu,gripe,flu vaccine,cold symptoms,symptoms of the flu
2009-10-04,2.616738101,,,,1719.7471638,855.891854533,855.891854533,2574.91626555,0.0,2873.87913779,5149.34637972,855.031691055,1721.05276366,0.0,861.716454615,857.010452898,0.0,0.0,0.0,1434.03197283,856.235345464,1150.17882789,858.046115076,1287.98152285,1725.47130628,0.0,3863.1712158,855.636235623,853.70191761
2009-10-11,3.415270829,,,,1168.15206019,0.0,0.0,880.051477227,0.0,4105.41902501,7887.43475774,1758.25568322,0.0,0.0,0.0,0.0,880.778545872,0.0,0.0,4396.26370066,875.367653628,880.939093651,881.310899179,1316.27636954,2637.39399803,0.0,3227.23289069,1318.73737295,0.0
2009-10-18,7.232704403,,,,1150.46441361,861.041252833,861.041252833,1732.49106375,0.0,5778.71856121,9206.73407904,1723.64095194,0.0,0.0,854.041813856,0.0,0.0,0.0,0.0,3753.76922136,869.498762558,1733.1027401,0.0,1303.35359524,3173.47023268,854.556451888,3466.28567947,870.551743197,859.509876768
2009-10-25,12.42819843,,,,826.891036766,1378.59275482,1378.59275482,0.0,0.0,13561.3797668,5510.46182958,1654.44316169,1651.85711923,833.737463435,820.418752993,0.0,0.0,831.223934755,0.0,3037.88154469,826.601338467,2492.95615171,1642.32287488,1934.55045435,3040.37781533,0.0,5812.11363722,834.747136416,824.980659465
2009-11-01,12.58383339,,,,826.113509821,828.840216695,828.840216695,1251.79386221,830.946811536,10268.866969,9115.57757713,1382.28905049,1249.77259746,829.187928053,0.0,0.0,0.0,0.0,836.613293704,1938.75836698,0.0,3609.25877188,830.169220023,1248.63804359,3048.49896209,0.0,3880.69142346,1248.26062182,0.0
2009-11-08,9.320425209,,,,1471.81708976,1465.4628356,1465.4628356,738.583850779,737.087622615,4433.73125716,6862.37218403,1226.68295454,733.065446253,0.0,741.00231453,728.415180682,0.0,0.0,735.530708506,1475.30650938,1098.10206872,1108.71692478,1718.05292686,1721.39500434,2212.76524574,0.0,1722.51431466,1098.8790906,741.225575245
2009-11-15,7.213688509,,,,1161.50244195,580.610097657,580.610097657,932.755679853,0.0,3266.98539893,5692.44094584,701.654365271,348.87206277,349.981461832,0.0,0.0,0.0,580.329837154,346.874302314,1048.12963609,581.66292439,1050.56187777,581.416462917,1048.68903566,1048.65358303,580.400378588,699.821052598,351.357453468,693.539581247
2009-11-22,2.997982127,,,,996.562221785,372.339026355,372.339026355,936.498828334,0.0,2000.66781647,7845.44031291,0.0,374.51208272,0.0,374.075888705,0.0,0.0,374.696061125,0.0,748.683122765,0.0,876.192139457,747.476346398,874.184655225,624.498449871,372.50204381,625.104574534,370.994032882,0.0
2009-11-29,2.143351003,,,,1019.26543026,0.0,0.0,512.725588063,0.0,1479.00993638,8041.50001838,0.0,0.0,341.109292273,0.0,0.0,0.0,338.351011407,0.0,851.358316149,341.86381588,1024.96794797,510.917250467,681.462203137,681.358977622,340.119973944,341.717463626,340.9940017,0.0
2009-12-06,2.21978022,,,,1127.81404304,342.270582906,342.270582906,1019.7361245,0.0,1359.21172446,9362.00340805,342.374019166,452.4437435,0.0,0.0,0.0,0.0,341.034205123,341.857462106,506.541182981,337.182436984,566.778479509,451.48539744,1196.2391371,565.646129698,0.0,339.682818379,668.53491939,339.227950619
2009-12-13,2.344322344,,,,1037.42168078,0.0,0.0,1214.27407305,344.222315339,1272.65972468,8644.02059907,345.243599171,343.184563408,0.0,0.0,0.0,0.0,345.389732105,0.0,1390.70412177,343.184563408,463.32395308,518.073847651,1502.7265497,578.111580713,0.0,346.08017445,0.0,0.0
2009-12-20,1.556970984,,,,966.985818223,386.892852687,386.892852687,777.687748521,0.0,907.837109716,8133.24137952,516.838908621,581.386078792,384.368621712,0.0,0.0,0.0,583.338368362,0.0,0.0,387.551603643,1037.87129479,384.02025136,1552.979337,1165.59668754,780.800349918,388.76463862,581.679305487,0.0
2009-12-27,1.229796205,,,,1406.25627682,0.0,0.0,705.401096329,352.893469635,1058.8117049,9716.78977854,0.0,527.73301526,352.146492228,350.767605361,0.0,352.424022519,698.150245025,0.0,706.000878931,701.742416946,588.27238736,937.844402905,821.744448444,1410.29179509,350.873290086,353.619546931,702.97109317,0.0
2010-01-03,1.682349587,,,,1375.79655014,341.802379028,341.802379028,689.650439882,0.0,805.303390493,9619.98215353,684.636458567,344.435548508,345.233385662,515.569660419,0.0,343.913901704,343.096918664,0.0,345.708704705,345.233385662,1151.34003517,343.983099706,1033.19739559,459.546191787,343.786276826,343.875164832,343.475813602,0.0
2010-01-10,1.079467157,,,,1130.43924943,339.653387521,339.653387521,680.510744813,0.0,680.887332701,8245.40168733,340.165994505,340.401453187,340.737648356,339.301235505,0.0,0.0,679.716489624,0.0,341.047034841,1017.23698021,1135.47779531,339.192483731,2152.11914906,678.236066358,340.577195466,509.345196448,339.191969593,336.090901618
2010-01-17,1.036407122,,,,972.950946003,0.0,0.0,761.131384239,648.883511167,760.636596499,7247.89052797,433.074206387,324.938395818,0.0,324.597083962,0.0,325.337657944,809.030629671,0.0,434.124182463,649.873420231,869.858710255,812.073309671,1084.94608784,868.01573704,325.927572102,0.0,324.905579027,322.588360107
2010-01-24,1.986754967,,,,1276.3735159,0.0,0.0,1024.63196966,0.0,640.349749598,9188.2748056,0.0,386.272299179,768.933999813,385.6332485,0.0,0.0,509.901568527,0.0,0.0,1149.62833022,1536.56972067,1021.92055449,1663.23392338,384.932597242,0.0,0.0,384.932597242,0.0
2010-01-31,2.561005074,,,,1665.35721441,381.899771522,381.899771522,900.5016056,0.0,642.985721336,10508.4943831,384.636971006,579.040112061,382.823629452,383.247135519,0.0,387.240373843,0.0,0.0,385.219048746,384.735191482,1288.3110895,767.049925589,1285.541469,576.230668499,0.0,383.75196805,383.209710049,382.670997311
2010-02-07,2.692399333,,,,1251.27448157,0.0,0.0,754.162367742,0.0,378.525634923,7509.07505133,378.263681726,0.0,566.843088289,377.466137818,0.0,372.418852147,375.036450835,0.0,379.868923176,748.227141563,1635.67861348,1253.31358343,1506.4565615,564.796946331,0.0,0.0,0.0,374.693897613
2010-02-14,3.870788081,,,,2008.82321665,375.883229951,375.883229951,1008.67371619,0.0,378.127894112,6022.74780179,0.0,0.0,375.583258996,373.999951069,0.0,375.356251889,0.0,0.0,380.317901549,1130.16674534,631.118007747,628.258010639,1762.5220347,378.663078374,0.0,375.583258996,1131.05854623,375.769977998
2010-02-21,1.977552111,,,,1149.09100399,0.0,0.0,897.547194235,0.0,641.049206962,7272.84260874,0.0,383.422010234,0.0,384.269177064,384.269177064,383.261976812,381.396775322,0.0,0.0,510.903550841,898.402355709,638.648252307,1664.04943029,511.985320277,385.198204993,0.0,382.957678402,0.0
2010-02-28,1.554828151,,,,1613.69500883,0.0,0.0,1371.55617196,0.0,561.205700105,6699.44502449,0.0,744.506192719,0.0,371.750811526,0.0,0.0,740.788908248,0.0,375.607696446,744.07399891,873.05458888,557.465185707,1492.67105266,0.0,372.10855188,0.0,371.477040094,0.0
2010-03-07,1.201923077,,,,817.205471158,307.886225953,307.886225953,820.949416949,0.0,769.43048955,6643.5240259,0.0,614.170658721,0.0,305.891603138,0.0,918.228459376,408.263127023,0.0,0.0,306.730584232,1232.43201021,1023.13896858,1332.79279034,717.416619326,0.0,307.759936432,306.961889743,306.405113621
2010-03-14,1.414027149,,,,979.440673111,0.0,0.0,491.738852322,294.510485405,590.508271844,7639.26049423,0.0,293.568174068,294.455891558,294.344221181,0.0,0.0,586.347997992,0.0,0.0,784.214281151,1181.8119885,1176.8538011,1375.48897035,294.732753857,586.782544973,294.599758059,0.0,585.649052026
2010-03-21,1.143002286,,,,1456.52742148,290.629171148,290.629171148,780.355763222,0.0,876.322260797,7180.43549366,0.0,0.0,290.892820229,291.022973252,0.0,290.717001057,290.895123954,0.0,291.156948093,292.886576802,780.207235666,486.016310037,1168.4217288,290.892820229,291.777013139,0.0,293.241268387,0.0
2010-03-28,1.025236593,,,,1056.50384966,0.0,0.0,1060.05455774,0.0,674.324313054,5181.5074231,0.0,288.89911942,0.0,575.468331021,0.0,577.555251532,573.245834837,0.0,0.0,0.0,579.119218191,719.740600487,866.021701645,434.60442889,571.2983706,290.964170887,431.420551076,0.0
2010-04-04,3.195084485,,,,1248.65598156,288.132768153,288.132768153,964.426894552,0.0,385.904410961,6437.74026958,0.0,288.733203474,0.0,287.698833261,0.0,0.0,576.246071361,0.0,289.631485512,289.893912107,482.987074518,384.883932004,1156.48578393,385.611886688,580.138255054,0.0,573.082168334,0.0
2010-04-11,1.187111362,,,,1427.72560164,0.0,0.0,947.115920098,284.300642741,563.155864467,6047.21817255,0.0,284.459783597,0.0,0.0,286.456970478,0.0,281.438614242,0.0,0.0,0.0,380.023948438,472.884907743,1137.11015573,473.771903947,566.774637807,0.0,281.066437352,0.0
2010-04-18,0.69213732,,,,1041.47309661,0.0,0.0,711.621590619,0.0,429.168938618,6532.25029977,0.0,428.52177826,0.0,0.0,0.0,0.0,282.126307179,0.0,0.0,283.879663159,761.259619023,852.80263601,1613.85353579,283.150978997,568.373318922,0.0,285.034829168,0.0
2010-04-25,0.784655623,,,,1406.64590053,282.279735223,282.279735223,753.565259127,0.0,424.471109943,7785.43658891,0.0,281.341755689,283.304344062,280.475089192,0.0,0.0,280.390659605,0.0,0.0,0.0,660.015255758,562.03495458,1222.71373123,282.219394266,563.207926215,0.0,422.339640985,282.194685589
2010-05-02,1.641221374,,,,843.441705226,0.0,0.0,469.793104033,0.0,0.0,7679.75762563,0.0,423.04210448,281.121609861,0.0,279.988969569,0.0,560.547673221,0.0,0.0,280.58162841,564.661646004,563.354240511,1033.28568878,281.291780327,279.567172387,0.0,0.0,0.0
2010-05-09,1.480347116,,,,1693.04472659,282.49871806,282.49871806,944.900783641,0.0,282.840519292,7052.39346965,0.0,569.272251005,0.0,0.0,0.0,0.0,563.82221963,0.0,0.0,0.0,472.621625265,376.43587877,1319.98813659,0.0,376.180980585,0.0,562.847154328,0.0
2010-05-16,1.441614608,,,,1692.38455415,0.0,0.0,728.563875257,0.0,364.024073036,7249.54621622,0.0,363.913724978,363.033377291,0.0,0.0,0.0,361.257941641,0.0,0.0,0.0,728.968309675,542.568828058,1089.97968794,363.473018075,0.0,0.0,0.0,0.0
2010-05-23,1.126760563,,,,740.803920934,0.0,0.0,927.398050241,0.0,373.435237649,6904.39349254,0.0,0.0,0.0,0.0,0.0,373.096674424,369.075700947,0.0,0.0,372.196833183,747.470076701,558.414459056,865.925686536,367.88566378,371.972550668,0.0,372.283939256,0.0
2010-05-30,1.205479452,,,,1098.03623343,0.0,0.0,611.805216076,0.0,735.004196753,5976.81170894,0.0,366.787732069,0.0,364.469522675,0.0,0.0,366.849937015,0.0,367.071331062,364.909039736,735.691660347,366.374301533,1098.5496366,368.182321774,0.0,0.0,366.834519633,0.0
2010-06-06,1.392470346,,,,1190.35069997,0.0,0.0,1075.51414337,0.0,356.983670868,6425.24226737,0.0,538.465631336,356.875722978,475.292814137,0.0,356.660022934,355.264303398,0.0,0.0,0.0,717.841294109,357.384818543,897.603990723,0.0,355.228962931,0.0,355.264303398,354.873217734
2010-06-13,0.66603235,0.0,0.0,0.0,844.754728919,0.0,0.0,606.525678401,0.0,363.132133665,6521.4260184,0.0,360.962704342,0.0,0.0,0.0,0.0,543.453662353,0.0,0.0,0.0,361.530246629,361.378930847,726.640368819,360.546342117,730.680572739,0.0,358.918348399,0.0
2010-06-20,1.27388535,0.0,0.0,0.0,1801.72177046,0.0,0.0,1097.50599887,0.0,0.0,4371.14161899,367.839099554,0.0,360.998138829,0.0,0.0,0.0,359.368105089,0.0,369.400102099,365.422677332,728.316930894,368.28375244,545.672703258,363.580104912,367.174129805,0.0,0.0,0.0
2010-06-27,0.769971126,0.0,0.0,0.0384615384615,989.139622007,0.0,0.0,331.167354391,0.0,330.894385404,5935.52425135,0.0,332.018125996,329.893797604,0.0,0.0,0.0,328.899242893,0.0,0.0,0.0,663.438634562,331.0162608,551.286954207,332.018125996,330.104864764,0.0,331.61665305,0.0
2010-07-04,0.507099391,0.0,0.0,0.0178571428571,930.501106646,0.0,0.0,679.436531573,0.0,0.0,7101.32307141,0.0,382.448145072,0.0,0.0,0.0,0.0,380.795167699,0.0,0.0,0.0,893.668490784,0.0,764.502223716,254.370369224,378.888607351,0.0,254.297503417,0.0
2010-07-11,0.723140496,0.0,0.0,0.0,1022.9422015,0.0,0.0,710.54771525,0.0,474.434952188,6842.43622835,0.0,355.094584553,0.0,0.0,235.44808134,0.0,235.235134628,0.0,0.0,235.920029303,474.506422993,314.920766195,709.756783837,236.72825213,0.0,0.0,236.133983381,235.09338402
2010-07-18,0.941993059,0.0,0.0,0.0,962.571120881,0.0,0.0,363.280360416,0.0,362.080867961,5210.59088709,0.0,482.572857548,0.0,0.0,0.0,0.0,239.927216974,0.0,0.0,0.0,242.187218849,401.106685354,803.985284855,0.0,240.412764756,240.222157889,0.0,240.659930989
2010-07-25,0.647732935,0.0,0.0,0.0,882.597858147,0.0,0.0,483.104052786,0.0,242.880596449,5371.2838516,0.0,361.729232935,0.0,0.0,0.0,0.0,240.515514466,0.0,0.0,239.983712353,402.898824595,240.878798195,723.692490504,480.984304843,240.128761439,240.743762332,240.201351754,0.0
2010-08-01,1.279426817,0.0,0.0,0.0,315.975449137,0.0,0.0,594.946125233,0.0,238.193479908,6557.79911492,0.0,554.498860579,0.0,0.0,236.604520982,0.0,236.798331908,0.0,238.089373813,237.565727143,357.614668522,0.0,792.757741028,237.599138532,236.743809371,0.0,0.0,0.0
2010-08-08,1.286939943,0.0,0.0,0.0,781.143288314,0.0,0.0,628.576263988,0.0,236.7498098,6175.87629623,0.0,0.0,0.0,233.489609809,0.0,0.0,0.0,0.0,0.0,0.0,234.621337697,234.781384064,940.806711538,0.0,235.180513079,0.0,233.912486314,0.0
2010-08-15,0.901803607,0.0,0.0,0.0,703.600446952,0.0,0.0,550.613469905,0.0,352.90180028,5484.28719696,0.0,235.603402302,237.117013187,0.0,0.0,236.830553491,313.063742471,0.0,232.843358926,233.054331465,629.80549554,392.251727659,864.501749043,472.633349567,235.462260774,0.0,0.0,0.0
