Metric,10.11,11.12,12.13,13.14,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.864,0.743,0.888,0.668,0.807,0.872,0.853,0.832
ARGO,,,0.886,0.792,0.876,0.691,0.761,0.873,0.855,0.851
ARGO_top10,,,0.889,0.786,0.879,0.688,0.791,0.877,0.858,0.852
ARGO_all_weighted1,,,0.896,0.837,0.885,0.52,0.788,0.864,0.854,0.873
ARGO_all_weighted2,,,0.915,0.814,0.892,0.683,0.817,0.891,0.876,0.874
ARGO_all_weighted_more_ar,,,0.913,0.82,0.899,0.673,0.826,0.89,0.876,0.877
ARGO_top10_weighted1,,,0.893,0.833,0.889,0.516,0.788,0.866,0.858,0.872
ARGO_top10_weighted2,,,0.914,0.818,0.892,0.684,0.82,0.892,0.878,0.875
ARGO_top10_weighted_more_ar,,,0.912,0.819,0.898,0.673,0.828,0.89,0.876,0.876
ARGO_obs_weight,,,0.881,0.774,0.87,0.709,0.773,0.874,0.854,0.842
ARGO_top10_obs,,,0.882,0.776,0.873,0.684,0.794,0.878,0.859,0.843
ARGO_top10_weighted2_obs,,,0.911,0.793,0.886,0.702,0.817,0.893,0.877,0.863
GFT,,,0.766,0.701,0.818,,,0.701,0.701,0.762
RMSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.811,0.77,0.841,0.587,0.296,0.63,0.722,0.807
ARGO,,,0.743,0.727,0.934,0.57,0.391,0.65,0.741,0.801
ARGO_top10,,,0.737,0.728,0.939,0.565,0.38,0.642,0.733,0.801
ARGO_all_weighted1,,,0.706,0.733,1.042,0.756,0.367,0.705,0.777,0.827
ARGO_all_weighted2,,,0.647,0.728,0.893,0.58,0.314,0.613,0.696,0.756
ARGO_all_weighted_more_ar,,,0.651,0.701,0.916,0.594,0.292,0.618,0.702,0.756
ARGO_top10_weighted1,,,0.717,0.725,1.001,0.756,0.366,0.694,0.761,0.814
ARGO_top10_weighted2,,,0.65,0.711,0.89,0.578,0.312,0.608,0.689,0.75
ARGO_top10_weighted_more_ar,,,0.655,0.703,0.922,0.594,0.293,0.618,0.703,0.76
ARGO_obs_weight,,,0.766,0.749,0.938,0.535,0.372,0.646,0.744,0.818
ARGO_top10_obs,,,0.751,0.741,0.934,0.543,0.364,0.639,0.734,0.809
ARGO_top10_weighted2_obs,,,0.655,0.728,0.889,0.54,0.311,0.602,0.688,0.757
GFT,,,1.793,0.986,0.981,,,1.147,1.147,1.253
MAPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.211,0.22,0.268,0.438,0.295,0.341,0.322,0.233
ARGO,,,0.189,0.196,0.335,0.471,0.546,0.409,0.36,0.24
ARGO_top10,,,0.188,0.2,0.35,0.463,0.537,0.404,0.356,0.246
ARGO_all_weighted1,,,0.207,0.194,0.389,0.547,0.506,0.463,0.424,0.263
ARGO_all_weighted2,,,0.183,0.201,0.328,0.445,0.392,0.372,0.351,0.237
ARGO_all_weighted_more_ar,,,0.185,0.196,0.309,0.448,0.37,0.369,0.351,0.23
ARGO_top10_weighted1,,,0.205,0.196,0.37,0.546,0.506,0.459,0.416,0.257
ARGO_top10_weighted2,,,0.184,0.2,0.324,0.444,0.392,0.37,0.348,0.236
ARGO_top10_weighted_more_ar,,,0.186,0.2,0.312,0.448,0.373,0.37,0.351,0.232
ARGO_obs_weight,,,0.19,0.204,0.319,0.441,0.506,0.383,0.335,0.237
ARGO_top10_obs,,,0.189,0.201,0.325,0.441,0.5,0.378,0.329,0.238
ARGO_top10_weighted2_obs,,,0.181,0.203,0.318,0.415,0.383,0.352,0.328,0.234
GFT,,,0.387,0.242,0.333,,,0.487,0.487,0.32
